npc	pattern	handler	branch	priority	guards	order	kind	a1	a2	a3	place	x	y	z	group
209486	InvadePortal_TestKeeper02	cycle	1	19	hp_between:31:99	0	arm	0	6000	0		0.0	0.0	0.0	0
209486	InvadePortal_TestKeeper02	on_enter_attack_state	0	30	set_flag_var:0	0	sysmsg	1401493	0	0		0.0	0.0	0.0	0
209486	InvadePortal_TestKeeper02	on_enter_attack_state	0	30	set_flag_var:0	1	arm	0	6000	0		0.0	0.0	0.0	0
209487	InvadePortal_TestKeeper04	cycle	0	20	hp_below:30|set_flag_var:1	0	sysmsg	1401494	0	0		0.0	0.0	0.0	0
209487	InvadePortal_TestKeeper04	cycle	1	19	hp_between:31:99	0	arm	0	6000	0		0.0	0.0	0.0	0
209487	InvadePortal_TestKeeper04	on_enter_attack_state	0	30	set_flag_var:0	0	sysmsg	1401493	0	0		0.0	0.0	0.0	0
209487	InvadePortal_TestKeeper04	on_enter_attack_state	0	30	set_flag_var:0	1	arm	0	6000	0		0.0	0.0	0.0	0
210067	Brownie_FnH	cycle	0	2	timer:0	0	arm	0	7000	0		0.0	0.0	0.0	0
210067	Brownie_FnH	cycle	0	2	timer:0	1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210067	Brownie_FnH	cycle	0	2	timer:0	2	broadcast	1001	25	0		0.0	0.0	0.0	0
210067	Brownie_FnH	cycle	0	2	timer:0	3	say	340411	0	0		0.0	0.0	0.0	0
210067	Brownie_FnH	on_enter_attack_state	0	1		0	arm	0	7000	0		0.0	0.0	0.0	0
210067	Brownie_FnH	on_enter_attack_state	0	1		1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210067	Brownie_FnH	on_enter_attack_state	0	1		2	broadcast	1001	25	0		0.0	0.0	0.0	0
210067	Brownie_FnH	on_enter_attack_state	0	1		3	say	340411	0	0		0.0	0.0	0.0	0
210068	Brownie_FnH	cycle	0	2	timer:0	0	arm	0	7000	0		0.0	0.0	0.0	0
210068	Brownie_FnH	cycle	0	2	timer:0	1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210068	Brownie_FnH	cycle	0	2	timer:0	2	broadcast	1001	25	0		0.0	0.0	0.0	0
210068	Brownie_FnH	cycle	0	2	timer:0	3	say	340411	0	0		0.0	0.0	0.0	0
210068	Brownie_FnH	on_enter_attack_state	0	1		0	arm	0	7000	0		0.0	0.0	0.0	0
210068	Brownie_FnH	on_enter_attack_state	0	1		1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210068	Brownie_FnH	on_enter_attack_state	0	1		2	broadcast	1001	25	0		0.0	0.0	0.0	0
210068	Brownie_FnH	on_enter_attack_state	0	1		3	say	340411	0	0		0.0	0.0	0.0	0
210069	Brownie_FnH	cycle	0	2	timer:0	0	arm	0	7000	0		0.0	0.0	0.0	0
210069	Brownie_FnH	cycle	0	2	timer:0	1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210069	Brownie_FnH	cycle	0	2	timer:0	2	broadcast	1001	25	0		0.0	0.0	0.0	0
210069	Brownie_FnH	cycle	0	2	timer:0	3	say	340411	0	0		0.0	0.0	0.0	0
210069	Brownie_FnH	on_enter_attack_state	0	1		0	arm	0	7000	0		0.0	0.0	0.0	0
210069	Brownie_FnH	on_enter_attack_state	0	1		1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210069	Brownie_FnH	on_enter_attack_state	0	1		2	broadcast	1001	25	0		0.0	0.0	0.0	0
210069	Brownie_FnH	on_enter_attack_state	0	1		3	say	340411	0	0		0.0	0.0	0.0	0
210159	Krall_KeB	cycle	0	6	timer:0|hp_below:45|set_flag_var:2	0	arm	0	6000	0		0.0	0.0	0.0	0
210159	Krall_KeB	cycle	0	6	timer:0|hp_below:45|set_flag_var:2	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210159	Krall_KeB	cycle	0	6	timer:0|hp_below:45|set_flag_var:2	2	skill	16618	0	0	ME	0.0	0.0	0.0	0
210159	Krall_KeB	cycle	1	5	timer:0|hp_below:30|set_flag_var:1	0	skill	16518	0	0	ME	0.0	0.0	0.0	0
210159	Krall_KeB	cycle	2	4	timer:1	0	arm	0	6000	0		0.0	0.0	0.0	0
210159	Krall_KeB	cycle	2	4	timer:1	1	skill	16602	0	0	MOST_HATED	0.0	0.0	0.0	0
210159	Krall_KeB	cycle	3	3	timer:0|hp_between:37:69|set_flag_var:0	0	arm	1	6000	0		0.0	0.0	0.0	0
210159	Krall_KeB	cycle	3	3	timer:0|hp_between:37:69|set_flag_var:0	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210159	Krall_KeB	cycle	3	3	timer:0|hp_between:37:69|set_flag_var:0	2	switch_to	0	0	0	RANDOM_EXCEPT_CURRENT_TARGET	0.0	0.0	0.0	0
210159	Krall_KeB	cycle	4	2	timer:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210159	Krall_KeB	on_enter_attack_state	0	7		0	arm	0	6000	0		0.0	0.0	0.0	0
210159	Krall_KeB	on_enter_attack_state	0	7		1	skill	16536	0	0	ME	0.0	0.0	0.0	0
210159	Krall_KeB	on_enter_attack_state	0	7		2	say	340316	0	0		0.0	0.0	0.0	0
210533	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	0	arm	0	7000	0		0.0	0.0	0.0	0
210533	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210533	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	2	skill	16394	0	0	ME	0.0	0.0	0.0	0
210533	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210533	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210533	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	2	switch_to	0	0	0	RANDOM	0.0	0.0	0.0	0
210533	Lycan_KeA	cycle	2	2	timer:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210533	Lycan_KeA	on_enter_attack_state	0	5		0	arm	0	4000	0		0.0	0.0	0.0	0
210533	Lycan_KeA	on_enter_attack_state	0	5		1	skill	16536	0	0	ME	0.0	0.0	0.0	0
210533	Lycan_KeA	on_enter_attack_state	0	5		2	say	340316	0	0		0.0	0.0	0.0	0
210534	Lycan_KeB	cycle	0	6	timer:0|hp_below:45|set_flag_var:2	0	arm	0	7000	0		0.0	0.0	0.0	0
210534	Lycan_KeB	cycle	0	6	timer:0|hp_below:45|set_flag_var:2	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210534	Lycan_KeB	cycle	0	6	timer:0|hp_below:45|set_flag_var:2	2	skill	16618	0	0	ME	0.0	0.0	0.0	0
210534	Lycan_KeB	cycle	1	5	timer:0|hp_below:30|set_flag_var:1	0	skill	16518	0	0	ME	0.0	0.0	0.0	0
210534	Lycan_KeB	cycle	2	4	timer:1	0	skill	16602	0	0	MOST_HATED	0.0	0.0	0.0	0
210534	Lycan_KeB	cycle	3	3	timer:0|hp_between:37:69|set_flag_var:0	0	arm	1	7000	0		0.0	0.0	0.0	0
210534	Lycan_KeB	cycle	3	3	timer:0|hp_between:37:69|set_flag_var:0	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210534	Lycan_KeB	cycle	3	3	timer:0|hp_between:37:69|set_flag_var:0	2	switch_to	0	0	0	RANDOM_EXCEPT_CURRENT_TARGET	0.0	0.0	0.0	0
210534	Lycan_KeB	cycle	4	2	timer:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210534	Lycan_KeB	on_enter_attack_state	0	7		0	arm	0	6000	0		0.0	0.0	0.0	0
210534	Lycan_KeB	on_enter_attack_state	0	7		1	skill	16536	0	0	ME	0.0	0.0	0.0	0
210534	Lycan_KeB	on_enter_attack_state	0	7		2	say	340316	0	0		0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	0	6	timer:0|hp_below:35|set_flag_var:0	0	arm	2	15000	0		0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	0	6	timer:0|hp_below:35|set_flag_var:0	1	broadcast	2310	50	0		0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	0	6	timer:0|hp_below:35|set_flag_var:0	2	skill	17232	0	0	MOST_HATED	0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	0	6	timer:0|hp_below:35|set_flag_var:0	3	skill	17233	0	0	ME	0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	1	5	timer:2	0	arm	2	15000	0		0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	1	5	timer:2	1	skill	17232	0	0	MOST_HATED	0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	1	5	timer:2	2	skill	17233	0	0	ME	0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	2	4	timer:1	0	skill	17222	0	0	MOST_HATED	0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	3	3	timer:0|hp_between:39:54|set_flag_var:2	0	arm	1	6000	0		0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	3	3	timer:0|hp_between:39:54|set_flag_var:2	1	skill	17221	0	0	MOST_HATED	0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	3	3	timer:0|hp_between:39:54|set_flag_var:2	2	switch_to	0	0	0	RANDOM_EXCEPT_CURRENT_TARGET	0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	4	2	timer:0|hp_between:57:84|set_flag_var:1	0	arm	1	6000	0		0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	4	2	timer:0|hp_between:57:84|set_flag_var:1	1	skill	17221	0	0	MOST_HATED	0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	4	2	timer:0|hp_between:57:84|set_flag_var:1	2	switch_to	0	0	0	RANDOM_EXCEPT_CURRENT_TARGET	0.0	0.0	0.0	0
210548	Lycan_FhA	cycle	5	1	timer:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210548	Lycan_FhA	on_enter_attack_state	0	7		0	arm	0	6000	0		0.0	0.0	0.0	0
210548	Lycan_FhA	on_enter_attack_state	0	7		1	broadcast	1019	35	0		0.0	0.0	0.0	0
210548	Lycan_FhA	on_enter_attack_state	0	7		2	skill	17220	0	0	ME	0.0	0.0	0.0	0
210562	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	0	arm	0	7000	0		0.0	0.0	0.0	0
210562	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210562	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	2	skill	16394	0	0	ME	0.0	0.0	0.0	0
210562	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210562	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210562	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	2	switch_to	0	0	0	RANDOM	0.0	0.0	0.0	0
210562	Lycan_KeA	cycle	2	2	timer:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210562	Lycan_KeA	on_enter_attack_state	0	5		0	arm	0	4000	0		0.0	0.0	0.0	0
210562	Lycan_KeA	on_enter_attack_state	0	5		1	skill	16536	0	0	ME	0.0	0.0	0.0	0
210562	Lycan_KeA	on_enter_attack_state	0	5		2	say	340316	0	0		0.0	0.0	0.0	0
210563	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	0	arm	0	7000	0		0.0	0.0	0.0	0
210563	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210563	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	2	skill	16394	0	0	ME	0.0	0.0	0.0	0
210563	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210563	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210563	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	2	switch_to	0	0	0	RANDOM	0.0	0.0	0.0	0
210563	Lycan_KeA	cycle	2	2	timer:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210563	Lycan_KeA	on_enter_attack_state	0	5		0	arm	0	4000	0		0.0	0.0	0.0	0
210563	Lycan_KeA	on_enter_attack_state	0	5		1	skill	16536	0	0	ME	0.0	0.0	0.0	0
210563	Lycan_KeA	on_enter_attack_state	0	5		2	say	340316	0	0		0.0	0.0	0.0	0
210630	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	0	arm	0	7000	0		0.0	0.0	0.0	0
210630	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210630	Lycan_KeA	cycle	0	4	timer:0|hp_below:35|set_flag_var:1	2	skill	16394	0	0	ME	0.0	0.0	0.0	0
210630	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210630	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210630	Lycan_KeA	cycle	1	3	timer:0|hp_between:37:69|set_flag_var:0	2	switch_to	0	0	0	RANDOM	0.0	0.0	0.0	0
210630	Lycan_KeA	cycle	2	2	timer:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210630	Lycan_KeA	on_enter_attack_state	0	5		0	arm	0	4000	0		0.0	0.0	0.0	0
210630	Lycan_KeA	on_enter_attack_state	0	5		1	skill	16536	0	0	ME	0.0	0.0	0.0	0
210630	Lycan_KeA	on_enter_attack_state	0	5		2	say	340316	0	0		0.0	0.0	0.0	0
210708	Krall_KeB	cycle	0	6	timer:0|hp_below:45|set_flag_var:2	0	arm	0	6000	0		0.0	0.0	0.0	0
210708	Krall_KeB	cycle	0	6	timer:0|hp_below:45|set_flag_var:2	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210708	Krall_KeB	cycle	0	6	timer:0|hp_below:45|set_flag_var:2	2	skill	16618	0	0	ME	0.0	0.0	0.0	0
210708	Krall_KeB	cycle	1	5	timer:0|hp_below:30|set_flag_var:1	0	skill	16518	0	0	ME	0.0	0.0	0.0	0
210708	Krall_KeB	cycle	2	4	timer:1	0	arm	0	6000	0		0.0	0.0	0.0	0
210708	Krall_KeB	cycle	2	4	timer:1	1	skill	16602	0	0	MOST_HATED	0.0	0.0	0.0	0
210708	Krall_KeB	cycle	3	3	timer:0|hp_between:37:69|set_flag_var:0	0	arm	1	6000	0		0.0	0.0	0.0	0
210708	Krall_KeB	cycle	3	3	timer:0|hp_between:37:69|set_flag_var:0	1	skill	16606	0	0	MOST_HATED	0.0	0.0	0.0	0
210708	Krall_KeB	cycle	3	3	timer:0|hp_between:37:69|set_flag_var:0	2	switch_to	0	0	0	RANDOM_EXCEPT_CURRENT_TARGET	0.0	0.0	0.0	0
210708	Krall_KeB	cycle	4	2	timer:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210708	Krall_KeB	on_enter_attack_state	0	7		0	arm	0	6000	0		0.0	0.0	0.0	0
210708	Krall_KeB	on_enter_attack_state	0	7		1	skill	16536	0	0	ME	0.0	0.0	0.0	0
210708	Krall_KeB	on_enter_attack_state	0	7		2	say	340316	0	0		0.0	0.0	0.0	0
210831	Brownie_FnH	cycle	0	2	timer:0	0	arm	0	7000	0		0.0	0.0	0.0	0
210831	Brownie_FnH	cycle	0	2	timer:0	1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210831	Brownie_FnH	cycle	0	2	timer:0	2	broadcast	1001	25	0		0.0	0.0	0.0	0
210831	Brownie_FnH	cycle	0	2	timer:0	3	say	340411	0	0		0.0	0.0	0.0	0
210831	Brownie_FnH	on_enter_attack_state	0	1		0	arm	0	7000	0		0.0	0.0	0.0	0
210831	Brownie_FnH	on_enter_attack_state	0	1		1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210831	Brownie_FnH	on_enter_attack_state	0	1		2	broadcast	1001	25	0		0.0	0.0	0.0	0
210831	Brownie_FnH	on_enter_attack_state	0	1		3	say	340411	0	0		0.0	0.0	0.0	0
210861	Brownie_FnH	cycle	0	2	timer:0	0	arm	0	7000	0		0.0	0.0	0.0	0
210861	Brownie_FnH	cycle	0	2	timer:0	1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210861	Brownie_FnH	cycle	0	2	timer:0	2	broadcast	1001	25	0		0.0	0.0	0.0	0
210861	Brownie_FnH	cycle	0	2	timer:0	3	say	340411	0	0		0.0	0.0	0.0	0
210861	Brownie_FnH	on_enter_attack_state	0	1		0	arm	0	7000	0		0.0	0.0	0.0	0
210861	Brownie_FnH	on_enter_attack_state	0	1		1	skill	16439	0	0	ME	0.0	0.0	0.0	0
210861	Brownie_FnH	on_enter_attack_state	0	1		2	broadcast	1001	25	0		0.0	0.0	0.0	0
210861	Brownie_FnH	on_enter_attack_state	0	1		3	say	340411	0	0		0.0	0.0	0.0	0
210929	ND2_QeenNeut	cycle	0	6	timer:0|hp_between:62:89|set_flag_var:2	0	arm	0	6000	0		0.0	0.0	0.0	0
210929	ND2_QeenNeut	cycle	0	6	timer:0|hp_between:62:89|set_flag_var:2	1	spawn	280327	2	360	self	0.0	0.0	0.0	1
210929	ND2_QeenNeut	cycle	0	6	timer:0|hp_between:62:89|set_flag_var:2	2	skill	16604	0	0	ME	0.0	0.0	0.0	0
210929	ND2_QeenNeut	cycle	1	5	timer:0|hp_between:32:59|set_flag_var:1	0	arm	0	6000	0		0.0	0.0	0.0	0
210929	ND2_QeenNeut	cycle	1	5	timer:0|hp_between:32:59|set_flag_var:1	1	spawn	280327	2	360	self	0.0	0.0	0.0	1
210929	ND2_QeenNeut	cycle	1	5	timer:0|hp_between:32:59|set_flag_var:1	2	skill	16604	0	0	ME	0.0	0.0	0.0	0
210929	ND2_QeenNeut	cycle	2	4	timer:0|hp_below:30|set_flag_var:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210929	ND2_QeenNeut	cycle	2	4	timer:0|hp_below:30|set_flag_var:0	1	spawn	280327	2	360	self	0.0	0.0	0.0	1
210929	ND2_QeenNeut	cycle	2	4	timer:0|hp_below:30|set_flag_var:0	2	skill	16604	0	0	ME	0.0	0.0	0.0	0
210929	ND2_QeenNeut	cycle	3	3	timer:0	0	arm	0	6000	0		0.0	0.0	0.0	0
210929	ND2_QeenNeut	cycle	4	2	timer:1	0	arm	2	20000	0		0.0	0.0	0.0	0
210929	ND2_QeenNeut	cycle	4	2	timer:1	1	skill	16519	0	0	MOST_HATED	0.0	0.0	0.0	0
210929	ND2_QeenNeut	on_enter_attack_state	0	9		0	broadcast	2003	20	0		0.0	0.0	0.0	0
210929	ND2_QeenNeut	on_enter_attack_state	0	9		1	arm	1	20000	0		0.0	0.0	0.0	0
210929	ND2_QeenNeut	on_enter_attack_state	0	9		2	arm	0	6000	0		0.0	0.0	0.0	0
211041	ND2_FhO	cycle	0	8	timer:4	0	arm	5	35000	0		0.0	0.0	0.0	0
211041	ND2_FhO	cycle	0	8	timer:4	1	skill	16858	0	0	ME	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	0	8	timer:4	2	skill	17063	0	0	THIRD_MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	0	8	timer:4	3	skill	17063	0	0	LOWEST_HP	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	0	8	timer:4	4	switch_to	0	0	0	LOWEST_HP	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	1	7	timer:5	0	arm	4	35000	0		0.0	0.0	0.0	0
211041	ND2_FhO	cycle	1	7	timer:5	1	skill	16858	0	0	ME	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	1	7	timer:5	2	skill	17935	0	0	THIRD_MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	1	7	timer:5	3	skill	17935	0	0	SECOND_MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	1	7	timer:5	4	switch_to	0	0	0	SECOND_MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	2	6	hp_below:40|timer:0|set_flag_var:1	0	arm	4	35000	0		0.0	0.0	0.0	0
211041	ND2_FhO	cycle	2	6	hp_below:40|timer:0|set_flag_var:1	1	skill	16858	0	0	ME	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	2	6	hp_below:40|timer:0|set_flag_var:1	2	skill	17063	0	0	MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	2	6	hp_below:40|timer:0|set_flag_var:1	3	skill	17063	0	0	THIRD_MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	2	6	hp_below:40|timer:0|set_flag_var:1	4	switch_to	0	0	0	THIRD_MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	3	4	timer:3|hp_between:42:99	0	arm	2	25000	0		0.0	0.0	0.0	0
211041	ND2_FhO	cycle	3	4	timer:3|hp_between:42:99	1	skill	16858	0	0	ME	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	3	4	timer:3|hp_between:42:99	2	skill	17935	0	0	THIRD_MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	3	4	timer:3|hp_between:42:99	3	switch_to	0	0	0	LOWEST_HP	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	4	3	timer:2|hp_between:42:99	0	arm	3	20000	0		0.0	0.0	0.0	0
211041	ND2_FhO	cycle	4	3	timer:2|hp_between:42:99	1	skill	16525	0	0	MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	4	3	timer:2|hp_between:42:99	2	skill	16525	0	0	LOWEST_HP	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	4	3	timer:2|hp_between:42:99	3	skill	16525	0	0	THIRD_MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	4	3	timer:2|hp_between:42:99	4	switch_to	0	0	0	THIRD_MOST_HATED	0.0	0.0	0.0	0
211041	ND2_FhO	cycle	5	2	timer:0|hp_between:42:99|set_flag_var:0	0	arm	0	10000	0		0.0	0.0	0.0	0
211041	ND2_FhO	cycle	5	2	timer:0|hp_between:42:99|set_flag_var:0	1	arm	2	25000	0		0.0	0.0	0.0	0
