uses	world	expression
108	GAb1_01	(v04 == 6) && (GAb1_PvPStatus == 3)
108	iddc1_dreadgion	dreadgion_weapon_a > 0
108	iddc1_dreadgion	dreadgion_weapon_b > 0
107	LDF4_Advance	v13==2
107	LDF4_Advance	v13==3
106	GAb1_01	(v02 == 1) && (GAb1_PvPStatus == 3)
106	GAb1_01	(v02 == 11) && (GAb1_PvPStatus == 3)
106	GAb1_01	(v02 == 16) && (GAb1_PvPStatus == 3)
106	GAb1_01	(v02 == 6) && (GAb1_PvPStatus == 3)
105	ab1	WORLDRAID_03 == 1
104	iddc1_dreadgion	dreadgion_weapon_a > 1
104	iddc1_dreadgion	dreadgion_weapon_b > 1
103	df5	directpotal_p1 == 1
101	ab1	WORLDRAID_02 == 1
100	ab1	WORLDRAID_01 == 1
98	iddf2flying_event01	(Condition_S3>=1)&&(Condition_S3<=172)
96	GAb1_01	GAb1_PvPStatus == 2
94	ab1	(InterServer_Cond == 0) && (SpecialServer_Cond == 0) && (L_BuildupLevel >= 6)
92	GAb1_01	(v01 == 21) && (GAb1_PvPStatus == 3)
92	GAb1_01	(v03 == 21) && (GAb1_PvPStatus == 3)
92	GAb1_01	(v04 == 21) && (GAb1_PvPStatus == 3)
91	ab1	(InterServer_Cond == 0) && (SpecialServer_Cond == 0) && (D_BuildupLevel >= 6)
91	idasteria_iu_party	Condition_S1>=2
90	GAb1_01	(v02 == 21) && (GAb1_PvPStatus == 3)
84	IDDF2_Dflame_Event	BOSSROOM_START == 1
84	IDInfinity	event == 1
80	iddc1_dreadgion	(dreadgion_strong_raid > 0) && (dreadgion_strong_raid < 3)
80	IDDF2_Dflame_Event	BOSSROOM_N4 == 1
80	df5	directpotal_p2 == 1
80	ab1	v06==3
80	LDF4_Advance	v07==2
79	IDDF2_Dflame_Event	BOSSROOM_N3 == 1
79	ab1	v06==2
79	LDF4_Advance	v07==3
77	LDF4_Advance	v04==2
77	LDF4_Advance	v04==3
76	idasteria_iu_party	Condition_S1==1
72	IDDF2_Dflame_Event	BOSSROOM_N2 == 1
72	iddc1_dreadgion	dreadgion_raid_01 == 1
72	iddc1_dreadgion	dreadgion_raid_02 == 1
72	iddc1_dreadgion	dreadgion_raid_03 == 1
72	ldf5b	v17==2
72	ldf5b	v17==3
71	DF4_M	ldf4_sp_craid == 3
71	LDF4_Advance	v03==2
71	LDF4_Advance	v03==3
70	iddf2flying_event01	(Condition_S2>=64)&&(Condition_S2<=129)
70	iddf2flying_event01	(Condition_S3>=106)&&(Condition_S3<=172)
69	DF4_M	ldf4_sp_c03 == 1
69	DF4_M	ldf4_sp_c04 == 1
69	DF4_M	ldf4_sp_craid == 4
68	LDF4_Advance	v12==2
68	LDF4_Advance	v12==3
67	LDF4_Advance	v13==1
66	IDAbRe_Up3_Crotan_02	(Tbox_01 ==1)&&(Start ==1)
66	IDAbRe_Up3_Crotan_02	(Tbox_02 ==1)&&(Start ==1)
66	IDAbRe_Up3_Crotan_02	(Tbox_03 ==1)&&(Start ==1)
66	IDAbRe_Up3_Crotan_02	(Tbox_04 ==1)&&(Start ==1)
66	idvritra_base	GAMECONTROL<=1
66	ab1	v05==2
66	ab1	v05==3
64	iddf2flying_event01	(Condition_S4>=85)&&(Condition_S4<=140)
64	IDTransform	(level_check == 66) && (boss == 1)
64	IDTransform	(level_check == 67) && (boss == 1)
64	IDTransform	(level_check == 68) && (boss == 1)
64	IDTransform	(level_check == 69) && (boss == 1)
64	IDTransform	(level_check == 70) && (boss == 1)
64	IDTransform	(level_check == 71) && (boss == 1)
64	IDTransform	(level_check == 72) && (boss == 1)
64	IDTransform	(level_check == 73) && (boss == 1)
64	IDTransform	(level_check == 74) && (boss == 1)
64	IDTransform	(level_check == 75) && (boss == 1)
64	iddc1_dreadgion	dreadgion_strong_raid == 2
64	LDF4_Advance	v11==2
64	LDF4_Advance	v11==3
61	df6	(event_start == 1) && (event_cinema >= 3)
61	LDF4_Advance	v07==1
61	LDF4_Advance	v10==2
61	LDF4_Advance	v10==3
60	df2a	DirectPortalDest_41 == 0
60	IDAb1_Heroes_D	boss_skill == 1
60	IDEvent_Solo	con_remove_all == 1
60	ab1	v06==1
57	LDF4_Advance	v04==1
57	LDF4_Advance	v09==2
57	LDF4_Advance	v09==3
56	GAb1_01	(v05 == 21) && (GAb1_PvPStatus == 1)
56	GAb1_01	(v06 == 21) && (GAb1_PvPStatus == 1)
56	GAb1_01	(v07 == 21) && (GAb1_PvPStatus == 1)
56	GAb1_01	(v08 == 21) && (GAb1_PvPStatus == 1)
56	GAb1_01	(v09 == 21) && (GAb1_PvPStatus == 1)
56	GAb1_01	(v10 == 21) && (GAb1_PvPStatus == 1)
56	GAb1_01	(v11 == 21) && (GAb1_PvPStatus == 1)
56	GAb1_01	(v12 == 21) && (GAb1_PvPStatus == 1)
55	df3	(SpecialServer_Cond == 1) && (DF3_RVR_Control == 3)
55	IDSweep	IDSweep_Reward==1
55	idtiamat_1	KAHRUN_SPAWN == 1
55	LDF4_Advance	v08==2
55	LDF4_Advance	v08==3
54	LDF4_Advance	v01==2
54	LDF4_Advance	v01==3
53	LDF4_Advance	v02==2
53	LDF4_Advance	v02==3
53	ldf5b	v17==1
52	iddc1_dreadgion	(dreadgion_main_raid_01 > 0) && (dreadgion_main_raid_01 < 3)
52	iddc1_dreadgion	(dreadgion_main_raid_02 > 0) && (dreadgion_main_raid_02 < 3)
52	iddc1_dreadgion	(dreadgion_main_raid_03 > 0) && (dreadgion_main_raid_03 < 3)
52	GAb1_01	GAb1_PvPStatus == 3
52	iddc1_dreadgion	dreadgion_main_raid_02 == 2
52	LDF4_Advance	v03==1
51	IDEternity_03	zone1close == 1
50	IDF6_LF1	(con_A01 == 1) || (con_B01 == 1) || (con_C01 == 1) || (con_D01 == 1)
49	ldf5b	v16==2
49	ldf5b	v16==3
49	ldf5b	v18==2
49	ldf5b	v18==3
49	ldf5b	v19==2
49	ldf5b	v19==3
48	IDF6_LF1	con_AllArea_fire == 1
48	IDF6_LF1	con_AllArea_fire_before == 1
48	iddc1_dreadgion	dreadgion_main_raid_01 == 2
48	iddc1_dreadgion	dreadgion_raid_04 == 1
48	iddc1_dreadgion	dreadgion_raid_05 == 1
48	IDEternity_War	op_set == 1
48	IDEternity_War	op_set == 2
48	LDF4_Advance	v12==1
48	ldf5b	v15==2
48	ldf5b	v15==3
46	lf4	[SAVE]lf4_v07 == 2
46	ldf5b	v14==2
46	ldf5b	v14==3
45	IDSweep_02	(IDSweep_Reward == 1) || (IDSweep_Reward_S == 1)
45	idldf5re_solo	(game == 2)&&(timeout == 1)
45	idtiamat_1	ARIANASORUS_SPAWN == 1
44	iddf2flying_event01	(Condition_S2>=25)&&(Condition_S2<=129)
44	lf2a	DirectPortalDest_42 == 0
44	idtiamat_2	GOD_SPAWN == 1
44	lf4	[SAVE]lf4_v06 == 2
44	iddc1_dreadgion	dreadgion_main_raid_03 == 2
42	df3	(DF3_RVR_Control == 1) || (DF3_RVR_Control == 2)
42	ldf5b	6021_WaterBoom_01==1
42	lf4	[SAVE]lf4_v06 == 3
42	lf4	[SAVE]lf4_v07 == 3
42	df5	directpotal_p1 == 2
42	df5	directpotal_p2 == 2
42	IDEternity_02	ideternity_02_da == 1
42	IDEternity_02	ideternity_02_li == 1
42	ab1	v05==1
42	LDF4_Advance	v10==1
41	iddf2flying_event01	(Condition_S4>=1)&&(Condition_S4<=140)
41	LDF4_Advance	v11==1
40	iddf2flying_event01	(Condition_S4>=51)&&(Condition_S4<=140)
40	df5	(directpotal_p1 == 2) && (InterServer_Cond == 0) && (SpecialServer_Cond == 0)
40	df5	(directpotal_p2 == 2) && (InterServer_Cond == 0) && (SpecialServer_Cond == 0)
40	idldf5re_solo	(game == 1)&&(timeout == 1)
40	ldf5b	6021_WaterBoom_02==1
40	df5	directpotal_i == 1
39	LDF4_Advance	v01==1
39	LDF4_Advance	v09==1
38	IDTransform	(level_check == 66) && (b_battle == 1)
38	IDTransform	(level_check == 66) && (b_battle == 2)
38	IDTransform	(level_check == 67) && (b_battle == 1)
38	IDTransform	(level_check == 67) && (b_battle == 2)
38	IDTransform	(level_check == 68) && (b_battle == 1)
38	IDTransform	(level_check == 68) && (b_battle == 2)
38	IDTransform	(level_check == 69) && (b_battle == 1)
38	IDTransform	(level_check == 69) && (b_battle == 2)
38	IDTransform	(level_check == 70) && (b_battle == 1)
38	IDTransform	(level_check == 70) && (b_battle == 2)
38	IDTransform	(level_check == 71) && (b_battle == 1)
38	IDTransform	(level_check == 71) && (b_battle == 2)
38	IDTransform	(level_check == 72) && (b_battle == 1)
38	IDTransform	(level_check == 72) && (b_battle == 2)
38	IDTransform	(level_check == 73) && (b_battle == 1)
38	IDTransform	(level_check == 73) && (b_battle == 2)
38	IDTransform	(level_check == 74) && (b_battle == 1)
38	IDTransform	(level_check == 74) && (b_battle == 2)
38	IDTransform	(level_check == 75) && (b_battle == 1)
38	IDTransform	(level_check == 75) && (b_battle == 2)
38	iddc1_dreadgion	(strong_raid_die == 1) && (time_35 == 1)
37	LDF4_Advance	v02==1
36	lf4	[SAVE]lf4_v01 == 2
36	lf4	[SAVE]lf4_v01 == 3
36	lf4	[SAVE]lf4_v02 == 2
36	lf4	[SAVE]lf4_v02 == 3
36	lf4	[SAVE]lf4_v03 == 2
36	lf4	[SAVE]lf4_v04 == 2
36	lf4	[SAVE]lf4_v05 == 2
36	IDAb1_Ere	bridge_door == 12
36	IDEternity_03	race == 1
36	IDEternity_03	race == 2
36	LDF4_Advance	v08==1
34	GAb1_Sub	GAB1_SUB_BASE == 1
34	idabre_core	NmdC_BoxSpawn == 1
34	lf4	[SAVE]lf4_v03 == 3
34	lf4	[SAVE]lf4_v04 == 3
34	lf4	[SAVE]lf4_v05 == 3
34	GAb1_01	v02 == 1
34	ldf5b	v16==1
33	IDAbRe_Up3_Crotan_02_N	(Tbox_05 ==1)&&(Start ==1)
33	idf5_td_war	v01 == 2
33	idf5_td_war	v08_BOMB_03 == 1
33	ldf5b	v18==1
33	ldf5b	v19==1
32	IDEternity_01	(Spawn_Set == 1) || (Spawn_Set == 2) || (Spawn_Set == 11) || (Spawn_Set == 12)
32	IDEternity_01	(Spawn_Set == 1) || (Spawn_Set == 2) || (Spawn_Set == 5) || (Spawn_Set == 6)
32	IDEternity_01	(Spawn_Set == 12)
32	IDEternity_01	(Spawn_Set == 3) || (Spawn_Set == 4) || (Spawn_Set == 9) || (Spawn_Set == 10)
32	IDEternity_01	(Spawn_Set == 9)
32	idf5_td_war	v01 == 1
32	idf5_td_war	v01 == 3
32	idf5_td_war	v02 == 3
32	ldf5b	v14==1
31	DF4_M	WORLDRAID_01 == 2
31	ab1	[SAVE]v09==2
31	ab1	[SAVE]v09==3
31	ldf5_fortress	gb01 == 1
31	idf5_td_war	v02 == 2
31	ldf5b	v15==1
30	IDEternity_01	(Spawn_Set == 1) || (Spawn_Set == 2) || (Spawn_Set == 3) || (Spawn_Set == 4)
30	IDEternity_01	(Spawn_Set == 6)
30	IDEternity_01	(Spawn_Set == 7) || (Spawn_Set == 8) || (Spawn_Set == 11) || (Spawn_Set == 12)
30	idldf5_under_02	(cSetGameStart == 1)&&(chkSN == 1)
30	ldf5b	6021_WaterBoom_04==1
30	ab1	[SAVE]v01==2
30	ab1	[SAVE]v01==3
30	ab1	[SAVE]v02==2
30	ab1	[SAVE]v02==3
30	ab1	[SAVE]v03==2
30	ab1	[SAVE]v03==3
30	ab1	[SAVE]v04==2
30	ab1	[SAVE]v04==3
30	ab1	[SAVE]v07==2
30	ab1	[SAVE]v07==3
30	ab1	[SAVE]v08==2
30	ab1	[SAVE]v08==3
30	ab1	[SAVE]v09==1
30	ab1	[SAVE]v10==2
30	ab1	[SAVE]v10==3
30	ab1	[SAVE]v11==2
30	ab1	[SAVE]v11==3
30	ab1	[SAVE]v12==2
30	ab1	[SAVE]v12==3
30	iddc1_dreadgion	dreadgion_ship_die_01 == 2
30	iddc1_dreadgion	dreadgion_ship_die_03 == 2
30	iddc1_dreadgion	dreadgion_ship_die_04 == 2
30	ldf5_fortress	gb01 == 2
30	ldf5_fortress	gb01 == 3
29	IDEternity_01	(Spawn_Set == 3) || (Spawn_Set == 5) || (Spawn_Set == 7) || (Spawn_Set == 10)
29	ab1	[SAVE]v01==1
29	ab1	[SAVE]v02==1
29	ab1	[SAVE]v03==1
29	ab1	[SAVE]v04==1
29	ab1	[SAVE]v05==2
29	ab1	[SAVE]v05==3
29	ab1	[SAVE]v06==2
29	ab1	[SAVE]v06==3
29	ab1	[SAVE]v07==1
29	ab1	[SAVE]v08==1
29	ab1	[SAVE]v10==1
29	ab1	[SAVE]v11==1
29	ab1	[SAVE]v12==1
28	df2a	(InterServer_Cond == 1) && (SpecialServer_Cond == 0)
28	IDRaksha_solo	Wave_C_01_Start >= 1
28	IDRaksha_solo	Wave_C_02_Start >= 1
28	ab1	[SAVE]v05==1
28	ab1	[SAVE]v06==1
28	iddc1_dreadgion	dreadgion_ship_die_02 == 2
28	df6	event_start == 1
28	iddc1_dreadgion	main_raid_die_01 == 1
28	iddc1_dreadgion	main_raid_die_02 == 1
28	iddc1_dreadgion	main_raid_die_03 == 1
28	iddc1_dreadgion	turret_01_wave > 13
28	iddc1_dreadgion	turret_01_wave > 14
28	iddc1_dreadgion	turret_01_wave > 15
28	iddc1_dreadgion	turret_01_wave > 16
28	iddc1_dreadgion	turret_01_wave > 17
28	iddc1_dreadgion	turret_01_wave > 18
28	iddc1_dreadgion	turret_01_wave > 19
28	iddc1_dreadgion	turret_01_wave > 20
28	iddc1_dreadgion	turret_01_wave > 21
28	iddc1_dreadgion	turret_wave > 13
28	iddc1_dreadgion	turret_wave > 15
28	iddc1_dreadgion	turret_wave > 16
28	iddc1_dreadgion	turret_wave > 17
28	iddc1_dreadgion	turret_wave > 18
28	iddc1_dreadgion	turret_wave > 19
28	iddc1_dreadgion	turret_wave > 20
28	iddc1_dreadgion	turret_wave > 21
27	df1a	(WORLDRAID_01 == 1) || (WORLDRAID_02 == 1) || (WORLDRAID_03 == 1)
27	Concert	IDIUSTAGE2==1
27	DF4_M	WORLDRAID_03 == 2
27	IDEternity_03	zone3close == 1
26	ldf5b	6021_WaterBoom_03==1
26	idarena_solo	Condition_S2>=1
26	idvritra_base	GAMECONTROL <= 1
25	IDEvent_def	(Wave_3_Start == 1) && (SpecialServer_Cond == 0)
25	IDLDF5_Under_03	BOSS == 5
25	idarena	Condition_S3_L >= 1
25	df2a	InterServer_Cond == 0
25	iddramata_01	Phage4 >= 2
25	IDSeal_Q	TWINTRAP == 1
24	iddf2flying_event01	(Condition_S2>=1)&&(Condition_S2<=129)
24	idasteria_iu_party	Condition_S2==2
24	Concert	IDIUSTAGE1==1
24	lf4	[SAVE]lf4_v01 == 1
24	lf4	[SAVE]lf4_v02 == 1
24	lf4	[SAVE]lf4_v03 == 1
24	lf4	[SAVE]lf4_v04 == 1
24	lf4	[SAVE]lf4_v05 == 1
24	lf4	[SAVE]lf4_v06 == 1
24	lf4	[SAVE]lf4_v07 == 1
24	IDAb1_Heroes_D	boss_piece == 1
24	IDLDF4Re_01	cSet_1_1_13 == 1
24	IDLDF4Re_01	cSet_1_1_14 == 1
24	IDLDF4Re_01	cSet_1_1_15 == 1
24	IDLDF4Re_01	cSet_1_1_19 == 1
24	IDLDF4Re_01	cSet_1_1_20 == 1
24	IDLDF4Re_01	cSet_1_1_21 == 1
24	df6	df6_event_df_succ == 1
24	iddc1_dreadgion	dreadgion_defense_02 > 5
24	iddc1_dreadgion	dreadgion_defense_04 > 5
24	iddc1_dreadgion	turret_01_wave > 22
24	iddc1_dreadgion	turret_wave > 22
23	IDEvent_def	(Wave_3_Start == 1) && (SpecialServer_Cond == 1)
23	DF4_M	WORLDRAID_02 == 2
23	ldf5_fortress	gb02 == 2
23	ldf5_fortress	gb02 == 3
23	ldf5_fortress	gb03 == 2
23	ldf5_fortress	gb03 == 3
22	IDEvent_def	(Wave_3_Rest == 1) && (SpecialServer_Cond == 0)
22	IDLDF5_Under_02_War	Da_Win_01 == 1
22	IDLDF5_Under_02_War	Da_Win_02 == 1
22	lf4	DirectPortalDest_50>=1
22	IDLDF5_Under_02_War	Li_Win_01 == 1
22	IDLDF5_Under_02_War	Li_Win_02 == 1
22	ab1	WORLDRAID_04 == 1
22	idldf5re_solo	Wave_A_01_Start == 1
22	IDLDF4Re_01	cSet_1_1_16 == 1
22	IDLDF4Re_01	cSet_1_1_17 == 1
22	IDLDF4Re_01	cSet_1_1_18 == 1
22	df5	directpotal_i == 2
22	idstation	door_02 == 7
22	iddc1_dreadgion	dreadgion_defense_01 > 5
22	IDInfinity	floor_07 >= 1
22	ldf5_fortress	gb01_2 == 1
21	IDEvent_def	(Wave_3_Rest == 1) && (SpecialServer_Cond == 1)
21	ldf5_fortress	(v01 == 1) && (7011on == 1)
21	ldf5_fortress	(v01 == 2) && (7011on == 1)
21	ldf5_fortress	(v01 == 3) && (7011on == 1)
21	Concert	IDIUSTAGE3==1
21	IDLuna_def	IDLUNA_DEF_PHASE_1_1==1
21	IDLuna_def	IDLUNA_DEF_PHASE_2_1==1
21	IDLuna_def	IDLUNA_DEF_PHASE_3_1==1
20	GAb1_01	(GAB1_ATT1 == 1) && (GAb1_PvPStatus == 1)
20	GAb1_01	(GAB1_ATT1 == 2) && (GAb1_PvPStatus == 1)
20	GAb1_01	(GAB1_ATT2 == 1) && (GAb1_PvPStatus == 1)
20	GAb1_01	(GAB1_ATT2 == 2) && (GAb1_PvPStatus == 1)
20	GAb1_01	(GAB1_ATT3 == 1) && (GAb1_PvPStatus == 1)
20	GAb1_01	(GAB1_ATT3 == 2) && (GAb1_PvPStatus == 1)
20	GAb1_01	(GAB1_ATT4 == 1) && (GAb1_PvPStatus == 1)
20	GAb1_01	(GAB1_ATT4 == 2) && (GAb1_PvPStatus == 1)
20	df6	([SAVE]df6_v01 == 2) && ([SAVE]df6_v02 == 2) && ([SAVE]df6_v03 == 2) && ([SAVE]df6_v04 == 2)
20	df5	(directpotal_i == 2) && (InterServer_Cond == 0) && (SpecialServer_Cond == 0)
20	IDTransform	(level_check == 66) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 66) && (a_battle == 2) && (a_path_01 > 1)
20	IDTransform	(level_check == 67) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 67) && (a_battle == 2) && (a_path_01 > 1)
20	IDTransform	(level_check == 68) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 68) && (a_battle == 2) && (a_path_01 > 1)
20	IDTransform	(level_check == 69) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 69) && (a_battle == 2) && (a_path_01 > 1)
20	IDTransform	(level_check == 70) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 70) && (a_battle == 2) && (a_path_01 > 1)
20	IDTransform	(level_check == 71) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 71) && (a_battle == 2) && (a_path_01 > 1)
20	IDTransform	(level_check == 72) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 72) && (a_battle == 2) && (a_path_01 > 1)
20	IDTransform	(level_check == 73) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 73) && (a_battle == 2) && (a_path_01 > 1)
20	IDTransform	(level_check == 74) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 74) && (a_battle == 2) && (a_path_01 > 1)
20	IDTransform	(level_check == 75) && (a_battle == 1) && (a_path_01 > 1)
20	IDTransform	(level_check == 75) && (a_battle == 2) && (a_path_01 > 1)
20	ldf5_fortress	(v02 == 1) && (7011on == 1)
20	ldf5_fortress	(v02 == 2) && (7011on == 1)
20	ldf5_fortress	(v02 == 3) && (7011on == 1)
20	IDLDF5_Under_01_War	C_RaceDark >= 1
20	IDLDF5_Under_01_War	C_RaceLight >= 1
20	IDSeal_Q	DEFENCE_WAVE == 1
20	IDLDF5_Under_01_War	D_RaceDark >= 1
20	IDLDF5_Under_01_War	D_RaceLight >= 1
20	idldf5b_td	Wave_Z1 == 3
20	IDLDF4Re_01	cSet_1_1_7 == 1
20	IDLDF4Re_01	cSet_1_1_8 == 1
20	IDLDF4Re_01	cSet_1_1_9 == 1
20	iddc1_dreadgion	dreadgion_defense_01 > 1
20	iddc1_dreadgion	dreadgion_defense_01 > 2
20	iddc1_dreadgion	dreadgion_defense_01 > 3
20	iddc1_dreadgion	dreadgion_defense_01 > 4
20	iddc1_dreadgion	dreadgion_defense_01 >= 1
20	iddc1_dreadgion	dreadgion_defense_02 > 1
20	iddc1_dreadgion	dreadgion_defense_02 > 2
20	iddc1_dreadgion	dreadgion_defense_02 > 3
20	iddc1_dreadgion	dreadgion_defense_02 > 4
20	iddc1_dreadgion	dreadgion_defense_02 >= 1
20	iddc1_dreadgion	dreadgion_defense_04 > 1
20	iddc1_dreadgion	dreadgion_defense_04 > 2
20	iddc1_dreadgion	dreadgion_defense_04 > 3
20	iddc1_dreadgion	dreadgion_defense_04 > 4
20	iddc1_dreadgion	dreadgion_defense_04 >= 1
20	iddc1_dreadgion	dreadgion_weapon_a_wave > 3
20	iddc1_dreadgion	dreadgion_weapon_a_wave > 6
20	iddc1_dreadgion	dreadgion_weapon_a_wave > 9
20	iddc1_dreadgion	dreadgion_weapon_b_wave > 3
20	iddc1_dreadgion	dreadgion_weapon_b_wave > 6
20	iddc1_dreadgion	dreadgion_weapon_b_wave > 9
20	IDInfinity	floor_08 >= 1
20	idstation	tower_die >= 6
20	iddc1_dreadgion	turret_01_wave > 1
20	iddc1_dreadgion	turret_01_wave > 10
20	iddc1_dreadgion	turret_01_wave > 11
20	iddc1_dreadgion	turret_01_wave > 12
20	iddc1_dreadgion	turret_01_wave > 2
20	iddc1_dreadgion	turret_01_wave > 3
20	iddc1_dreadgion	turret_01_wave > 4
20	iddc1_dreadgion	turret_01_wave > 5
20	iddc1_dreadgion	turret_01_wave > 6
20	iddc1_dreadgion	turret_01_wave > 7
20	iddc1_dreadgion	turret_01_wave > 8
20	iddc1_dreadgion	turret_01_wave > 9
20	iddc1_dreadgion	turret_wave > 1
20	iddc1_dreadgion	turret_wave > 10
20	iddc1_dreadgion	turret_wave > 11
20	iddc1_dreadgion	turret_wave > 12
20	iddc1_dreadgion	turret_wave > 14
20	iddc1_dreadgion	turret_wave > 3
20	iddc1_dreadgion	turret_wave > 4
20	iddc1_dreadgion	turret_wave > 5
20	iddc1_dreadgion	turret_wave > 6
20	iddc1_dreadgion	turret_wave > 7
20	iddc1_dreadgion	turret_wave > 8
20	iddc1_dreadgion	turret_wave > 9
20	GAb1_01	v01ctrl == 1
20	GAb1_01	v01ctrl == 11
20	GAb1_01	v01ctrl == 16
20	GAb1_01	v01ctrl == 6
20	GAb1_01	v02ctrl == 1
20	GAb1_01	v02ctrl == 11
20	GAb1_01	v02ctrl == 16
20	GAb1_01	v02ctrl == 6
20	GAb1_01	v03ctrl == 1
20	GAb1_01	v03ctrl == 11
20	GAb1_01	v03ctrl == 16
20	GAb1_01	v03ctrl == 6
20	GAb1_01	v04ctrl == 1
20	GAb1_01	v04ctrl == 11
20	GAb1_01	v04ctrl == 16
20	GAb1_01	v04ctrl == 6
19	IDEternity_01	(Spawn_Set == 5)
19	IDF6_Q	f6_mission_start == 1
19	IDF6_Q	f6_mission_start == 2
19	ldf5_fortress	gb02 == 1
19	ldf5_fortress	gb03 == 1
19	idf5_td_war	v08_BOMB_02 == 1
19	LDF4_Advance	village_dr_bm == 2
19	LDF4_Advance	village_dr_bm == 3
18	IDLDF5_Under_03	BOSS < 5
18	lf4	DirectPortalDest_49>=1
18	lf4	DirectPortalDest_51>=1
18	IDSeal_Q	MOB2 == 1
18	IDEternity_Q	SCENE >= 1
18	IDLDF5_Under_03	TIMEOVER == 1
18	df6	[SAVE]df6_v01 == 3
18	df6	[SAVE]df6_v02 == 3
18	df6	[SAVE]df6_v04 == 3
18	LDF4_Advance	godelite == 2
18	LDF4_Advance	village_dr_gm == 2
18	LDF4_Advance	village_dr_gm == 3
17	IDEternity_01	(Spawn_Set == 4) || (Spawn_Set == 8)
17	idtiamat_1	IDTIAMAT_ENTER_S1 == 1
17	iddramata_01	Phage >= 2
17	df6	[SAVE]df6_v03 == 3
17	ab1	[SAVE]v13==2
17	ab1	[SAVE]v13==3
17	ab1	[SAVE]v14==2
17	ab1	[SAVE]v14==3
17	ab1	[SAVE]v15==2
17	ab1	[SAVE]v15==3
17	ab1	[SAVE]v16==2
17	ab1	[SAVE]v16==3
17	LDF4_Advance	godelite_quest == 1
17	LDF4_Advance	godelite_quest == 2
16	IDDF2_Dflame_Event	(BOSSROOM_N4 == 1) && (BOSSROOM_WAVE >= 140)
16	idldf5b_td	(Race == 1) && (Wave_Z1 <= 4)
16	IDEternity_01	(Spawn_Set == 1) || (Spawn_Set == 2) || (Spawn_Set == 5) || (Spawn_Set == 7) || (Spawn_Set == 10) || (Spawn_Set == 11)
16	IDEternity_01	(Spawn_Set == 1) || (Spawn_Set == 2) || (Spawn_Set == 9) || (Spawn_Set == 12)
16	IDEternity_01	(Spawn_Set == 1) || (Spawn_Set == 3) || (Spawn_Set == 5) || (Spawn_Set == 7) || (Spawn_Set == 9)
16	IDEternity_01	(Spawn_Set == 1) || (Spawn_Set == 4) || (Spawn_Set == 5) || (Spawn_Set == 11)
16	IDEternity_01	(Spawn_Set == 1) || (Spawn_Set == 7) || (Spawn_Set == 12)
16	IDEternity_01	(Spawn_Set == 11)
