guard_npc_id	pattern	low_hp	high_hp	chance	placement	live_seconds	spawn_range	attack_hate	summons
207586	DGuard_ReA_L50	0	34	100	TARGET	100	1	0	295142*1
207587	DGuard_RhA_L50	0	34	100	SELF	600	3	0	295143*2,295142*3
207587	DGuard_RhA_L50	36	70	100	TARGET	600	3	0	295142*3
207596	DGuard_PhA_L50	0	34	50	SELF	600	3	0	295151*3,295152*2
207596	DGuard_PhA_L50	36	70	50	SELF	600	3	0	295151*2,295152*1
207596	DGuard_PhA_L50	71	100	50	SELF	600	3	0	295151*2
207601	DGuard_ReA_L50	0	34	100	TARGET	100	1	0	295142*1
207602	DGuard_RhA_L50	0	34	100	SELF	600	3	0	295143*2,295142*3
207602	DGuard_RhA_L50	36	70	100	TARGET	600	3	0	295142*3
207611	DGuard_PhA_L50	0	34	50	SELF	600	3	0	295151*3,295152*2
207611	DGuard_PhA_L50	36	70	50	SELF	600	3	0	295151*2,295152*1
207611	DGuard_PhA_L50	71	100	50	SELF	600	3	0	295151*2
207651	LGuard_ReA_L41	0	34	100	TARGET	100	1	0	207632*1
207652	LGuard_RhB_L42	0	34	100	TARGET	100	3	0	207633*3
207652	LGuard_RhB_L42	36	70	100	TARGET	100	3	0	207633*2
207657	LGuard_ReA_L51	0	34	100	TARGET	100	1	0	207635*1
207658	LGuard_RhB_L52	0	34	100	TARGET	100	3	0	207636*3
207658	LGuard_RhB_L52	36	70	100	TARGET	100	3	0	207636*2
207663	DGuard_ReA_L41	0	34	100	TARGET	100	1	0	207637*1
207664	DGuard_RhB_L42	0	34	100	TARGET	100	3	0	207638*3
207664	DGuard_RhB_L42	36	70	100	TARGET	100	3	0	207638*2
207669	DGuard_ReA_L51	0	34	100	TARGET	100	1	0	207640*1
207670	DGuard_RhB_L52	0	34	100	TARGET	100	3	0	207641*3
207670	DGuard_RhB_L52	36	70	100	TARGET	100	3	0	207641*2
207749	LGuard_ReA	0	34	100	TARGET	600	1	0	294707*1
207750	LGuard_ReA_L45	0	34	100	TARGET	100	1	0	207812*1
207751	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
207752	LGuard_RhB	0	34	100	TARGET	100	3	0	294707*3
207752	LGuard_RhB	36	70	100	TARGET	100	3	0	294707*2
207753	LGuard_RhB_L45	0	34	100	TARGET	100	3	0	207812*3
207753	LGuard_RhB_L45	36	70	100	TARGET	100	3	0	207812*2
207754	LGuard_RhB_L50	0	34	100	TARGET	100	3	0	295131*3
207754	LGuard_RhB_L50	36	70	100	TARGET	100	3	0	295131*2
207755	LGuard_RhA_L50	0	34	100	SELF	600	3	0	295132*2,295131*3
207755	LGuard_RhA_L50	36	70	100	TARGET	600	3	0	295131*3
207762	LGuard_AhA_L50	0	34	100	SELF	600	3	0	295133*2,295134*1
207769	LGuard_WhA_L50	0	34	100	SELF	600	3	0	295135*1
207773	LGuard_PhB	0	34	50	TARGET	100	3	0	294737*2
207773	LGuard_PhB	0	100	50	TARGET	100	3	0	294734*2
207774	LGuard_PhB_L45	0	34	50	TARGET	600	3	0	207822*2
207774	LGuard_PhB_L45	0	100	50	TARGET	600	3	0	207821*2
207775	LGuard_PhB_L50	0	34	50	TARGET	600	3	0	295141*2
207775	LGuard_PhB_L50	0	100	50	TARGET	600	3	0	295141*2
207776	LGuard_PhA	0	34	50	SELF	600	3	0	294734*3,294737*2
207776	LGuard_PhA	36	70	50	SELF	600	3	0	294734*2,294737*1
207776	LGuard_PhA	71	100	50	SELF	600	3	0	294734*2
207784	DGuard_ReA	0	34	100	SELF	600	1	0	294740*1
207785	DGuard_ReA_L45	0	34	100	TARGET	100	1	0	207823*1
207786	DGuard_ReA_L50	0	34	100	TARGET	100	1	0	295142*1
207787	DGuard_RhB	0	34	100	TARGET	100	3	0	294740*3
207787	DGuard_RhB	36	70	100	TARGET	100	3	0	294740*2
207788	DGuard_RhB_L45	0	34	100	TARGET	100	3	0	207823*3
207788	DGuard_RhB_L45	36	70	100	TARGET	100	3	0	207823*2
207789	DGuard_RhB_L50	0	34	100	TARGET	100	3	0	295142*3
207789	DGuard_RhB_L50	36	70	100	TARGET	100	3	0	295142*2
207790	DGuard_RhA_L50	0	34	100	SELF	600	3	0	295143*2,295142*3
207790	DGuard_RhA_L50	36	70	100	TARGET	600	3	0	295142*3
207797	DGuard_AhA_L50	0	34	100	SELF	600	3	0	295144*2,295145*1
207804	DGuard_WhA_L50	0	34	100	SELF	600	3	0	295146*1
207808	DGuard_PhB	0	34	50	TARGET	100	3	0	294770*2
207808	DGuard_PhB	0	100	50	TARGET	100	3	0	294767*2
207809	DGuard_PhB_L45	0	34	50	TARGET	600	3	0	207833*2
207809	DGuard_PhB_L45	0	100	50	TARGET	600	3	0	207832*2
207810	DGuard_PhB_L50	0	34	50	TARGET	600	3	0	295152*2
207810	DGuard_PhB_L50	0	100	50	TARGET	600	3	0	295152*2
207811	DGuard_PhA	0	34	50	SELF	600	3	0	294767*3,294770*2
207811	DGuard_PhA	36	70	50	SELF	600	3	0	294767*2,294770*1
207811	DGuard_PhA	71	100	50	SELF	600	3	0	294767*2
207849	LGuard_ReA_L45	0	34	100	TARGET	100	1	0	207812*1
207850	LGuard_RhA_L45	0	34	100	SELF	600	3	0	207813*2,207812*3
207850	LGuard_RhA_L45	36	70	100	TARGET	600	3	0	207812*3
207859	LGuard_PhA_L45	0	34	50	SELF	600	3	0	207821*3,207822*2
207859	LGuard_PhA_L45	36	70	50	SELF	600	3	0	207821*2,207822*1
207859	LGuard_PhA_L45	71	100	50	SELF	600	3	0	207821*2
207864	DGuard_ReA_L45	0	34	100	TARGET	100	1	0	207823*1
207865	DGuard_RhA_L45	0	34	100	SELF	600	3	0	207824*2,207823*3
207865	DGuard_RhA_L45	36	70	100	TARGET	600	3	0	207823*3
207874	DGuard_PhA_L45	0	34	50	SELF	600	3	0	207832*3,207833*2
207874	DGuard_PhA_L45	36	70	50	SELF	600	3	0	207832*2,207833*1
207874	DGuard_PhA_L45	71	100	50	SELF	600	3	0	207832*2
207875	DGuard_ReA_L50	0	34	100	TARGET	100	1	0	295142*1
207876	DGuard_RhB_L50	0	34	100	TARGET	100	3	0	295142*3
207876	DGuard_RhB_L50	36	70	100	TARGET	100	3	0	295142*2
207946	LGuard_RhB_L45	0	34	100	TARGET	100	3	0	207812*3
207946	LGuard_RhB_L45	36	70	100	TARGET	100	3	0	207812*2
207947	LGuard_RhB_L45	0	34	100	TARGET	100	3	0	207812*3
207947	LGuard_RhB_L45	36	70	100	TARGET	100	3	0	207812*2
209013	LGuard_ReA_L55	0	34	100	TARGET	100	1	0	296617*1
209014	LGuard_ReA_L56	0	34	100	TARGET	100	1	0	296618*1
209015	LGuard_RhB_L53	0	34	100	TARGET	100	3	0	207684*3
209015	LGuard_RhB_L53	36	70	100	TARGET	100	3	0	207684*2
209016	LGuard_RhB_L55	0	34	100	TARGET	100	3	0	296617*3
209016	LGuard_RhB_L55	36	70	100	TARGET	100	3	0	296617*2
209017	LGuard_RhA_L56	0	34	100	SELF	600	3	0	207698*2,207697*3
209017	LGuard_RhA_L56	36	70	100	TARGET	600	3	0	207697*3
209018	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209018	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209019	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209019	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209027	LGuard_AhA_L56	0	34	100	SELF	600	3	0	296626*2,296627*1
209028	LGuard_AhA_L57	0	34	100	SELF	600	3	0	296628*2,296629*1
209029	LGuard_AhA_L57	0	34	100	SELF	600	3	0	296628*2,296629*1
209037	LGuard_WhA_L56	0	34	100	SELF	600	3	0	207699*1
209038	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209039	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209045	LGuard_PhB_L53	0	34	50	TARGET	600	3	0	296645*2
209045	LGuard_PhB_L53	0	100	50	TARGET	600	3	0	296644*2
209046	LGuard_PhB_L55	0	34	50	TARGET	600	3	0	296649*2
209046	LGuard_PhB_L55	0	100	50	TARGET	600	3	0	296648*2
209047	LGuard_PhA_L56	0	34	50	SELF	600	3	0	207709*3,207710*2
209047	LGuard_PhA_L56	36	70	50	SELF	600	3	0	207709*2,207710*1
209047	LGuard_PhA_L56	71	100	50	SELF	600	3	0	207709*2
209048	LGuard_PhA_L57	0	34	50	SELF	600	3	0	296650*3,296651*2
209048	LGuard_PhA_L57	36	70	50	SELF	600	3	0	296650*2,296651*1
209048	LGuard_PhA_L57	71	100	50	SELF	600	3	0	296650*2
209049	LGuard_PhA_L57	0	34	50	SELF	600	3	0	296650*3,296651*2
209049	LGuard_PhA_L57	36	70	50	SELF	600	3	0	296650*2,296651*1
209049	LGuard_PhA_L57	71	100	50	SELF	600	3	0	296650*2
209055	LGuard_RhB_L53	0	34	100	TARGET	100	3	0	207684*3
209055	LGuard_RhB_L53	36	70	100	TARGET	100	3	0	207684*2
209056	LGuard_RhB_L55	0	34	100	TARGET	100	3	0	296617*3
209056	LGuard_RhB_L55	36	70	100	TARGET	100	3	0	296617*2
209057	LGuard_RhA_L56	0	34	100	SELF	600	3	0	207698*2,207697*3
209057	LGuard_RhA_L56	36	70	100	TARGET	600	3	0	207697*3
209058	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209058	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209059	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209059	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209062	LGuard_AhA_L56	0	34	100	SELF	600	3	0	296626*2,296627*1
209063	LGuard_AhA_L57	0	34	100	SELF	600	3	0	296628*2,296629*1
209064	LGuard_AhA_L57	0	34	100	SELF	600	3	0	296628*2,296629*1
209067	LGuard_WhA_L56	0	34	100	SELF	600	3	0	207699*1
209068	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209069	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209070	LGuard_PhB_L53	0	34	50	TARGET	600	3	0	296645*2
209070	LGuard_PhB_L53	0	100	50	TARGET	600	3	0	296644*2
209071	LGuard_PhB_L55	0	34	50	TARGET	600	3	0	296649*2
209071	LGuard_PhB_L55	0	100	50	TARGET	600	3	0	296648*2
209072	LGuard_PhA_L56	0	34	50	SELF	600	3	0	207709*3,207710*2
209072	LGuard_PhA_L56	36	70	50	SELF	600	3	0	207709*2,207710*1
209072	LGuard_PhA_L56	71	100	50	SELF	600	3	0	207709*2
209073	LGuard_PhA_L57	0	34	50	SELF	600	3	0	296650*3,296651*2
209073	LGuard_PhA_L57	36	70	50	SELF	600	3	0	296650*2,296651*1
209073	LGuard_PhA_L57	71	100	50	SELF	600	3	0	296650*2
209074	LGuard_PhA_L57	0	34	50	SELF	600	3	0	296650*3,296651*2
209074	LGuard_PhA_L57	36	70	50	SELF	600	3	0	296650*2,296651*1
209074	LGuard_PhA_L57	71	100	50	SELF	600	3	0	296650*2
209106	LGuard_RhB_L53	0	34	100	TARGET	100	3	0	207684*3
209106	LGuard_RhB_L53	36	70	100	TARGET	100	3	0	207684*2
209107	LGuard_RhB_L54	0	34	100	TARGET	100	3	0	296616*3
209107	LGuard_RhB_L54	36	70	100	TARGET	100	3	0	296616*2
209108	LGuard_RhB_L55	0	34	100	TARGET	100	3	0	296617*3
209108	LGuard_RhB_L55	36	70	100	TARGET	100	3	0	296617*2
209109	LGuard_RhA_L56	0	34	100	SELF	600	3	0	207698*2,207697*3
209109	LGuard_RhA_L56	36	70	100	TARGET	600	3	0	207697*3
209110	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209110	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209111	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209111	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209115	LGuard_AhA_L56	0	34	100	SELF	600	3	0	296626*2,296627*1
209116	LGuard_AhA_L57	0	34	100	SELF	600	3	0	296628*2,296629*1
209117	LGuard_AhA_L57	0	34	100	SELF	600	3	0	296628*2,296629*1
209121	LGuard_WhA_L56	0	34	100	SELF	600	3	0	207699*1
209122	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209123	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209124	LGuard_PhB_L53	0	34	50	TARGET	600	3	0	296645*2
209124	LGuard_PhB_L53	0	100	50	TARGET	600	3	0	296644*2
209125	LGuard_PhB_L54	0	34	50	TARGET	600	3	0	296647*2
209125	LGuard_PhB_L54	0	100	50	TARGET	600	3	0	296646*2
209126	LGuard_PhB_L55	0	34	50	TARGET	600	3	0	296649*2
209126	LGuard_PhB_L55	0	100	50	TARGET	600	3	0	296648*2
209127	LGuard_PhA_L56	0	34	50	SELF	600	3	0	207709*3,207710*2
209127	LGuard_PhA_L56	36	70	50	SELF	600	3	0	207709*2,207710*1
209127	LGuard_PhA_L56	71	100	50	SELF	600	3	0	207709*2
209128	LGuard_PhA_L57	0	34	50	SELF	600	3	0	296650*3,296651*2
209128	LGuard_PhA_L57	36	70	50	SELF	600	3	0	296650*2,296651*1
209128	LGuard_PhA_L57	71	100	50	SELF	600	3	0	296650*2
209129	LGuard_PhA_L57	0	34	50	SELF	600	3	0	296650*3,296651*2
209129	LGuard_PhA_L57	36	70	50	SELF	600	3	0	296650*2,296651*1
209129	LGuard_PhA_L57	71	100	50	SELF	600	3	0	296650*2
209130	LGuard_RhB_L53	0	34	100	TARGET	100	3	0	207684*3
209130	LGuard_RhB_L53	36	70	100	TARGET	100	3	0	207684*2
209131	LGuard_RhB_L54	0	34	100	TARGET	100	3	0	296616*3
209131	LGuard_RhB_L54	36	70	100	TARGET	100	3	0	296616*2
209132	LGuard_RhB_L55	0	34	100	TARGET	100	3	0	296617*3
209132	LGuard_RhB_L55	36	70	100	TARGET	100	3	0	296617*2
209133	LGuard_RhA_L56	0	34	100	SELF	600	3	0	207698*2,207697*3
209133	LGuard_RhA_L56	36	70	100	TARGET	600	3	0	207697*3
209134	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209134	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209135	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209135	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209139	LGuard_WhA_L56	0	34	100	SELF	600	3	0	207699*1
209140	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209141	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209142	LGuard_RhB_L53	0	34	100	TARGET	100	3	0	207684*3
209142	LGuard_RhB_L53	36	70	100	TARGET	100	3	0	207684*2
209143	LGuard_RhB_L54	0	34	100	TARGET	100	3	0	296616*3
209143	LGuard_RhB_L54	36	70	100	TARGET	100	3	0	296616*2
209144	LGuard_RhB_L55	0	34	100	TARGET	100	3	0	296617*3
209144	LGuard_RhB_L55	36	70	100	TARGET	100	3	0	296617*2
209145	LGuard_RhA_L56	0	34	100	SELF	600	3	0	207698*2,207697*3
209145	LGuard_RhA_L56	36	70	100	TARGET	600	3	0	207697*3
209146	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209146	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209147	LGuard_RhA_L57	0	34	100	SELF	600	3	0	296623*2,296619*3
209147	LGuard_RhA_L57	36	70	100	TARGET	600	3	0	296619*3
209151	LGuard_WhA_L56	0	34	100	SELF	600	3	0	207699*1
209152	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209153	LGuard_WhA_L57	0	34	100	SELF	600	3	0	296634*1
209213	DGuard_ReA_L55	0	34	100	TARGET	100	1	0	296727*1
209214	DGuard_ReA_L56	0	34	100	TARGET	100	1	0	296728*1
209215	DGuard_RhB_L53	0	34	100	TARGET	100	3	0	207690*3
209215	DGuard_RhB_L53	36	70	100	TARGET	100	3	0	207690*2
209216	DGuard_RhB_L55	0	34	100	TARGET	100	3	0	296727*3
209216	DGuard_RhB_L55	36	70	100	TARGET	100	3	0	296727*2
209217	DGuard_RhA_L56	0	34	100	SELF	600	3	0	296732*2,296728*3
209217	DGuard_RhA_L56	36	70	100	TARGET	600	3	0	296728*3
209218	DGuard_RhA_L57	0	34	100	SELF	600	3	0	296733*2,296729*3
209218	DGuard_RhA_L57	36	70	100	TARGET	600	3	0	296729*3
209219	DGuard_RhA_L57	0	34	100	SELF	600	3	0	296733*2,296729*3
209219	DGuard_RhA_L57	36	70	100	TARGET	600	3	0	296729*3
209227	DGuard_AhA_L56	0	34	100	SELF	600	3	0	296736*2,296737*1
209228	DGuard_AhA_L57	0	34	100	SELF	600	3	0	296738*2,296739*1
209229	DGuard_AhA_L57	0	34	100	SELF	600	3	0	296738*2,296739*1
209237	DGuard_WhA_L56	0	34	100	SELF	600	3	0	207712*1
209238	DGuard_WhA_L57	0	34	100	SELF	600	3	0	296744*1
209239	DGuard_WhA_L57	0	34	100	SELF	600	3	0	296744*1
209245	DGuard_PhB_L53	0	34	50	TARGET	600	3	0	296755*2
209245	DGuard_PhB_L53	0	100	50	TARGET	600	3	0	296754*2
209246	DGuard_PhB_L55	0	34	50	TARGET	600	3	0	296759*2
209246	DGuard_PhB_L55	0	100	50	TARGET	600	3	0	296758*2
209247	DGuard_PhA_L56	0	34	50	SELF	600	3	0	207722*3,207723*2
209247	DGuard_PhA_L56	36	70	50	SELF	600	3	0	207722*2,207723*1
209247	DGuard_PhA_L56	71	100	50	SELF	600	3	0	207722*2
209248	DGuard_PhA_L57	0	34	50	SELF	600	3	0	296760*3,296761*2
209248	DGuard_PhA_L57	36	70	50	SELF	600	3	0	296760*2,296761*1
209248	DGuard_PhA_L57	71	100	50	SELF	600	3	0	296760*2
209249	DGuard_PhA_L57	0	34	50	SELF	600	3	0	296760*3,296761*2
209249	DGuard_PhA_L57	36	70	50	SELF	600	3	0	296760*2,296761*1
209249	DGuard_PhA_L57	71	100	50	SELF	600	3	0	296760*2
209255	DGuard_RhB_L53	0	34	100	TARGET	100	3	0	207690*3
209255	DGuard_RhB_L53	36	70	100	TARGET	100	3	0	207690*2
209256	DGuard_RhB_L55	0	34	100	TARGET	100	3	0	296727*3
209256	DGuard_RhB_L55	36	70	100	TARGET	100	3	0	296727*2
209257	DGuard_RhA_L56	0	34	100	SELF	600	3	0	296732*2,296728*3
209257	DGuard_RhA_L56	36	70	100	TARGET	600	3	0	296728*3
209258	DGuard_RhA_L57	0	34	100	SELF	600	3	0	296733*2,296729*3
209258	DGuard_RhA_L57	36	70	100	TARGET	600	3	0	296729*3
209259	DGuard_RhA_L57	0	34	100	SELF	600	3	0	296733*2,296729*3
209259	DGuard_RhA_L57	36	70	100	TARGET	600	3	0	296729*3
209262	DGuard_AhA_L56	0	34	100	SELF	600	3	0	296736*2,296737*1
209263	DGuard_AhA_L57	0	34	100	SELF	600	3	0	296738*2,296739*1
209264	DGuard_AhA_L57	0	34	100	SELF	600	3	0	296738*2,296739*1
209267	DGuard_WhA_L56	0	34	100	SELF	600	3	0	207712*1
209268	DGuard_WhA_L57	0	34	100	SELF	600	3	0	296744*1
209269	DGuard_WhA_L57	0	34	100	SELF	600	3	0	296744*1
209270	DGuard_PhB_L53	0	34	50	TARGET	600	3	0	296755*2
209270	DGuard_PhB_L53	0	100	50	TARGET	600	3	0	296754*2
209271	DGuard_PhB_L55	0	34	50	TARGET	600	3	0	296759*2
209271	DGuard_PhB_L55	0	100	50	TARGET	600	3	0	296758*2
209272	DGuard_PhA_L56	0	34	50	SELF	600	3	0	207722*3,207723*2
209272	DGuard_PhA_L56	36	70	50	SELF	600	3	0	207722*2,207723*1
209272	DGuard_PhA_L56	71	100	50	SELF	600	3	0	207722*2
209273	DGuard_PhA_L57	0	34	50	SELF	600	3	0	296760*3,296761*2
209273	DGuard_PhA_L57	36	70	50	SELF	600	3	0	296760*2,296761*1
209273	DGuard_PhA_L57	71	100	50	SELF	600	3	0	296760*2
209274	DGuard_PhA_L57	0	34	50	SELF	600	3	0	296760*3,296761*2
209274	DGuard_PhA_L57	36	70	50	SELF	600	3	0	296760*2,296761*1
209274	DGuard_PhA_L57	71	100	50	SELF	600	3	0	296760*2
209306	DGuard_RhB_L53	0	34	100	TARGET	100	3	0	207690*3
209306	DGuard_RhB_L53	36	70	100	TARGET	100	3	0	207690*2
