npc	wake_ms	branch	order	priority	guards	kind	a1	a2	a3	place	x	y	z	pattern
218898	20000	0	2	5	set_flag_var:0	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	1	0	4	set_flag_var:1	spawn	218907	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	1	1	4	set_flag_var:1	timer	3000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	2	0	3	set_flag_var:2	spawn	218906	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	2	1	3	set_flag_var:2	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	3	0	2	set_flag_var:3	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	3	1	2	set_flag_var:3	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	3	2	2	set_flag_var:3	timer	3000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_3
218899	20000	0	0	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	0	1	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	0	2	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	0	3	5	set_flag_var:0	timer	5000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	1	0	4	set_flag_var:1	spawn	218912	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	1	1	4	set_flag_var:1	timer	4000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	2	0	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	2	1	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	2	2	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	2	3	3	set_flag_var:2	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	3	0	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	3	1	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	3	2	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	3	3	2	set_flag_var:3	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_1
218899	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_1
218900	20000	0	0	5	set_flag_var:0	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	0	1	5	set_flag_var:0	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	0	2	5	set_flag_var:0	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	1	0	4	set_flag_var:1	spawn	218910	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	1	1	4	set_flag_var:1	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	2	0	3	set_flag_var:2	spawn	218911	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	2	1	3	set_flag_var:2	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	3	0	2	set_flag_var:3	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	3	1	2	set_flag_var:3	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	3	2	2	set_flag_var:3	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_2
218900	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_2
218901	20000	0	0	5	set_flag_var:0	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	0	1	5	set_flag_var:0	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	0	2	5	set_flag_var:0	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	1	0	4	set_flag_var:1	spawn	218907	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	1	1	4	set_flag_var:1	timer	3000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	2	0	3	set_flag_var:2	spawn	218906	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	2	1	3	set_flag_var:2	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	3	0	2	set_flag_var:3	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	3	1	2	set_flag_var:3	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	3	2	2	set_flag_var:3	timer	3000	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_3
218901	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T3_Portal_3
218902	20000	0	0	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	0	1	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	0	2	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	0	3	5	set_flag_var:0	timer	5000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	1	0	4	set_flag_var:1	spawn	218912	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	1	1	4	set_flag_var:1	timer	4000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	2	0	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	2	1	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	2	2	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	2	3	3	set_flag_var:2	timer	1000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	3	0	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	3	1	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	3	2	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	3	3	2	set_flag_var:3	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_1
218902	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_1
218903	20000	0	0	5	set_flag_var:0	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	0	1	5	set_flag_var:0	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	0	2	5	set_flag_var:0	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	1	0	4	set_flag_var:1	spawn	218910	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	1	1	4	set_flag_var:1	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	2	0	3	set_flag_var:2	spawn	218911	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	2	1	3	set_flag_var:2	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	3	0	2	set_flag_var:3	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	3	1	2	set_flag_var:3	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	3	2	2	set_flag_var:3	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_2
218903	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_2
218904	20000	0	0	5	set_flag_var:0	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	0	1	5	set_flag_var:0	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	0	2	5	set_flag_var:0	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	1	0	4	set_flag_var:1	spawn	218907	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	1	1	4	set_flag_var:1	timer	3000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	2	0	3	set_flag_var:2	spawn	218906	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	2	1	3	set_flag_var:2	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	3	0	2	set_flag_var:3	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	3	1	2	set_flag_var:3	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	3	2	2	set_flag_var:3	timer	3000	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_3
218904	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T4_Portal_3
218914	2000	0	0	1		spawn	218908	1	180	self	0.0	0.0	0.0	LDF4b_Portal_DrakanFallOff_Invisible
218914	2000	0	1	1		timer	0	0	0		0.0	0.0	0.0	LDF4b_Portal_DrakanFallOff_Invisible
218914	2000	0	2	1		despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_Portal_DrakanFallOff_Invisible
218915	15000	0	0	4	chance:35	spawn	799991	1	60	self	0.0	0.0	0.0	LDF4b_Portal_Refuge_Spawner
218915	15000	0	1	4	chance:35	timer	7000	0	0		0.0	0.0	0.0	LDF4b_Portal_Refuge_Spawner
218915	15000	1	0	3	chance:35	spawn	799992	1	60	self	0.0	0.0	0.0	LDF4b_Portal_Refuge_Spawner
218915	15000	1	1	3	chance:35	timer	10000	0	0		0.0	0.0	0.0	LDF4b_Portal_Refuge_Spawner
218915	15000	2	0	2	chance:35	spawn	799993	1	60	self	0.0	0.0	0.0	LDF4b_Portal_Refuge_Spawner
218915	15000	2	1	2	chance:35	timer	8000	0	0		0.0	0.0	0.0	LDF4b_Portal_Refuge_Spawner
218915	15000	3	0	1		timer	7000	0	0		0.0	0.0	0.0	LDF4b_Portal_Refuge_Spawner
282240	3000	0	0	3	set_flag_var:0	spawn	282190	5	60	self	0.0	0.0	0.0	IDForest_Wave_Phase1
282240	3000	0	1	3	set_flag_var:0	timer	5000	0	0		0.0	0.0	0.0	IDForest_Wave_Phase1
282240	3000	1	0	2	set_flag_var:1	spawn	282190	3	60	self	0.0	0.0	0.0	IDForest_Wave_Phase1
282240	3000	1	1	2	set_flag_var:1	spawn	282191	1	60	self	0.0	0.0	0.0	IDForest_Wave_Phase1
282240	3000	1	2	2	set_flag_var:1	timer	0	0	0		0.0	0.0	0.0	IDForest_Wave_Phase1
282241	3000	0	0	3	set_flag_var:0	spawn	282194	2	60	self	0.0	0.0	0.0	IDForest_Wave_Phase2
282241	3000	0	1	3	set_flag_var:0	spawn	282195	1	60	self	0.0	0.0	0.0	IDForest_Wave_Phase2
282241	3000	0	2	3	set_flag_var:0	timer	3000	0	0		0.0	0.0	0.0	IDForest_Wave_Phase2
282241	3000	1	0	2	set_flag_var:1	spawn	282194	6	60	self	0.0	0.0	0.0	IDForest_Wave_Phase2
282241	3000	1	1	2	set_flag_var:1	timer	0	0	0		0.0	0.0	0.0	IDForest_Wave_Phase2
282242	5000	0	0	3	set_flag_var:0	spawn	282190	5	60	self	0.0	0.0	0.0	IDForest_Wave_Phase3
282242	5000	1	0	2	set_flag_var:1	spawn	282193	1	60	self	0.0	0.0	0.0	IDForest_Wave_Phase3
282242	5000	1	1	2	set_flag_var:1	timer	0	0	0		0.0	0.0	0.0	IDForest_Wave_Phase3
282253	5000	0	0	3	set_flag_var:0	spawn	282195	2	60	self	0.0	0.0	0.0	IDForest_Wave_Phase4
282253	5000	1	0	2	set_flag_var:1	spawn	282197	1	60	self	0.0	0.0	0.0	IDForest_Wave_Phase4
282253	5000	1	1	2	set_flag_var:1	timer	0	0	0		0.0	0.0	0.0	IDForest_Wave_Phase4
282257	2500	0	0	1	set_flag_var:0	spawn	217300	1	0	self	0.0	0.0	0.0	IDForest_wave_etc1
282257	2500	0	1	1	set_flag_var:0	timer	0	0	0		0.0	0.0	0.0	IDForest_wave_etc1
282300	25000	0	0	1		spawn	282430	1	60	self	0.0	0.0	0.0	IDForest_Bridge_Sum1
282300	25000	0	1	1		despawn_self	0	0	0		0.0	0.0	0.0	IDForest_Bridge_Sum1
282429	25000	0	0	1		spawn	282430	1	60	self	0.0	0.0	0.0	IDForest_Bridge_Sum1
282429	25000	0	1	1		despawn_self	0	0	0		0.0	0.0	0.0	IDForest_Bridge_Sum1
282528	2500	0	0	1	set_flag_var:0	spawn	217300	1	0	self	0.0	0.0	0.0	IDForest_wave_etc1
282528	2500	0	1	1	set_flag_var:0	timer	0	0	0		0.0	0.0	0.0	IDForest_wave_etc1
282546	2000	0	0	7	set_flag_var:0	spawn	282543	1	0	self	0.0	0.0	0.0	IDYun_Temp_14
282546	2000	0	1	7	set_flag_var:0	broadcast	20	15	0		0.0	0.0	0.0	IDYun_Temp_14
282546	2000	0	2	7	set_flag_var:0	timer	0	0	0		0.0	0.0	0.0	IDYun_Temp_14
282551	2500	0	0	1	set_flag_var:0	spawn	217293	1	0	self	0.0	0.0	0.0	IDYun_Temp_38
282551	2500	0	1	1	set_flag_var:0	timer	0	0	0		0.0	0.0	0.0	IDYun_Temp_38
282552	2000	0	0	5	set_flag_var:0	spawn	799676	1	180	absolute	696.25	162.13	60.0	IDYun_Temp_27
282552	2000	0	1	5	set_flag_var:0	timer	5000	0	0		0.0	0.0	0.0	IDYun_Temp_27
282552	2000	1	0	4	set_flag_var:1	spawn	799677	1	180	absolute	695.64	164.47	60.0	IDYun_Temp_27
282552	2000	1	1	4	set_flag_var:1	spawn	799678	1	180	absolute	694.67	166.56	60.0	IDYun_Temp_27
282552	2000	1	2	4	set_flag_var:1	timer	7000	0	0		0.0	0.0	0.0	IDYun_Temp_27
282552	2000	2	0	3	set_flag_var:2	spawn	799678	1	180	absolute	694.67	166.56	60.0	IDYun_Temp_27
282552	2000	2	1	3	set_flag_var:2	timer	5000	0	0		0.0	0.0	0.0	IDYun_Temp_27
282552	2000	3	0	2	set_flag_var:3	spawn	799676	1	180	absolute	696.25	162.13	60.0	IDYun_Temp_27
282552	2000	3	1	2	set_flag_var:3	spawn	799677	1	180	absolute	695.64	164.47	60.0	IDYun_Temp_27
282552	2000	3	2	2	set_flag_var:3	timer	6000	0	0		0.0	0.0	0.0	IDYun_Temp_27
282552	2000	4	0	1	unset_flag_var:0|unset_flag_var:1|unset_flag_var:2|unset_flag_var:3	timer	1000	0	0		0.0	0.0	0.0	IDYun_Temp_27
282925	5000	0	0	7	set_flag_var:0	spawn	282914	1	0	self	0.0	0.0	0.0	LDF4a_Public_Mob_summon_001
282926	5000	0	0	7	set_flag_var:0	spawn	282915	1	0	self	0.0	0.0	0.0	LDF4a_Public_Mob_summon_002
282927	5000	0	0	7	set_flag_var:0	spawn	282916	1	0	self	0.0	0.0	0.0	LDF4a_Public_Mob_summon_003
282928	5000	0	0	7	set_flag_var:0	spawn	282920	1	0	self	0.0	0.0	0.0	LDF4a_Public_Mob_summon_004
282929	5000	0	0	7	set_flag_var:0	spawn	282922	1	0	self	0.0	0.0	0.0	LDF4a_Public_Mob_summon_005
282930	5000	0	0	7	set_flag_var:0	spawn	282921	1	0	self	0.0	0.0	0.0	LDF4a_Public_Mob_summon_006
282931	5000	0	0	7	set_flag_var:0	spawn	282923	1	0	self	0.0	0.0	0.0	LDF4a_Public_Mob_summon_007
283039	2000	0	0	6	set_flag_var:0	spawn	283100	1	4	self	0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	0	1	6	set_flag_var:0	timer	1000	0	0		0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	1	0	5	set_flag_var:1	spawn	283100	1	4	self	0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	1	1	5	set_flag_var:1	timer	1000	0	0		0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	2	0	4	set_flag_var:2	spawn	283100	1	4	self	0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	2	1	4	set_flag_var:2	timer	1000	0	0		0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	3	0	3	set_flag_var:3	spawn	283100	1	4	self	0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	3	1	3	set_flag_var:3	timer	1000	0	0		0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	4	0	2	set_flag_var:4	spawn	283100	1	4	self	0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	4	1	2	set_flag_var:4	timer	1000	0	0		0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	5	0	1	set_flag_var:5	spawn	283100	1	4	self	0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	5	1	1	set_flag_var:5	timer	0	0	0		0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
283039	2000	5	2	1	set_flag_var:5	despawn_self	0	0	0		0.0	0.0	0.0	IDTiamat_BomberQueen_SumBomber_OnDie
