npc_id	pattern	send_range	receives	name
234059	LDF5_LGuard_DisputePvP_Defend_PM_Kn	0	1	flamecrest force defender
234062	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	flamecrest force grunt
234068	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	flamecrest force sorcerer
234074	LDF5_LGuard_DisputePvP_Defend_PM_Ke	0	1	stonereach force protector
234077	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	stonereach force lieutenant
234080	LDF5_LGuard_DisputePvP_Watch_PR_Re	25	1	stonereach force watchguard
234083	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	stonereach force sorcerer
234086	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	stonereach force fleshbinder
234089	LDF5_LGuard_DisputePvP_Defend_PM_Ke	0	1	flamecrest force protector
234092	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	flamecrest force lieutenant
234095	LDF5_LGuard_DisputePvP_Watch_PR_Re	25	1	flamecrest force watchguard
234098	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	flamecrest force sorcerer
234101	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	flamecrest force fleshbinder
234136	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	stonereach force aegis
234139	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	flamecrest force aegis
234966	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	pashid destruction unit combatant
234967	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	pashid defender
235187	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	guardian enforcer
235193	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	guardian elite enforcer
235921	LDF5_LGuard_Safety_Chase_Fn	0	1	beritra invasion legionary
235922	LDF5_LGuard_Safety_Hold_Rn	25	1	beritra invasion longeye
235923	LDF5_LGuard_DisputePvP_Defend_PM_Kn	0	1	beritra invasion ironscale
235924	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra invasion triggerclaw
235925	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	beritra invasion cursecaster
235926	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra invasion raider
235927	LDF5_LGuard_Safety_Chase_Fn	0	1	beritra invasion legionary
235928	LDF5_LGuard_Safety_Hold_Rn	25	1	beritra invasion longeye
235929	LDF5_LGuard_DisputePvP_Defend_PM_Kn	0	1	beritra invasion ironscale
235930	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra invasion triggerclaw
235931	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	beritra invasion cursecaster
235932	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra invasion raider
235933	LDF5_LGuard_Safety_Chase_Fn	0	1	beritra invasion legionary
235934	LDF5_LGuard_Safety_Hold_Rn	25	1	beritra invasion longeye
235935	LDF5_LGuard_DisputePvP_Defend_PM_Kn	0	1	beritra invasion ironscale
235936	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra invasion triggerclaw
235937	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	beritra invasion cursecaster
235938	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra invasion raider
236250	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra raider
236253	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra trooper
236254	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra sentinel
236256	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	beritra trooper magus
236257	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	beritra trooper medic
236261	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra invasion scaleblade
236262	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra invasion gunner
236264	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra trailblazer assassin
236265	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	beritra trailblazer spelltongue
236701	LDF5_LGuard_Safety_Chase_Fn	0	1	raksang ruins guard
236702	LDF5_LGuard_Safety_Hold_Rn	25	1	raksang ruins ranger
236703	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	raksang ruins gunner
251086	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	krotan bodyguard
251094	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	krotan mystic
251097	LDF5_LGuard_DisputePvP_Watch_PR_Re	25	1	krotan deadeye
251099	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	krotan steel sentinel
251102	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	miren blade sergeant
251107	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	miren flesh binder
251110	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	miren aether master
251113	LDF5_LGuard_DisputePvP_Watch_PR_Re	25	1	miren  visionary captain
251115	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	miren sentinel
251118	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	kysis wardship officer
251123	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	kysis master apothecary
251126	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	kysis stormbinder
251129	LDF5_LGuard_DisputePvP_Watch_PR_Re	25	1	kysis stalksman officer
251151	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	dread defender
251152	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread castwarden
251153	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	dread sentinel
251154	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	dread mender
251160	AB1_DrGuard_Artifact_Killer	25	1	dread captain
251179	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	dread defender
251180	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread castwarden
251181	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	dread sentinel
251182	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	dread mender
251206	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	dread defender
251207	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread castwarden
251208	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	dread sentinel
251209	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	dread mender
251233	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	dread defender
251234	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread castwarden
251235	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	dread sentinel
251260	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	dread defender
251261	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread castwarden
251262	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	dread sentinel
251263	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	dread mender
251287	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	dread defender
251288	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread castwarden
251289	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	dread sentinel
251314	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	dread defender
251315	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread castwarden
251316	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	dread sentinel
251317	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	dread mender
251455	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	dread remnant defender
251456	LDF5_LGuard_DisputePvP_Watch_PR_Re	25	1	dread remnant scout
251457	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	dread remnant magus
251461	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread remnant firebreather
251498	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	dread remnant defender
251499	LDF5_LGuard_DisputePvP_Watch_PR_Re	25	1	dread remnant scout
251500	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	dread remnant magus
251504	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread remnant firebreather
251541	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	dread remnant defender
251542	LDF5_LGuard_DisputePvP_Watch_PR_Re	25	1	dread remnant scout
251543	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	dread remnant magus
251547	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	dread remnant firebreather
252003	LDF5_LGuard_DisputeRvR_Defend_PM_Ke	0	1	pashid prime dragoon
252008	LDF5_LGuard_DisputeRvR_Charge_PM_Fe	0	1	pashid prime dragonknight
252013	LDF5_DisputeRvR_Watch_NoBroad_Ra	0	1	pashid prime patrol
252018	LDF5_DisputeRvR_Watch_NoBroad_Ra	0	1	pashid prime patrol
252028	LDF5_LGuard_DisputeRvR_Support_Heal_Pe	0	1	pashid prime fleshmender
252033	LDF5_LGuard_DisputeRvR_Support_Mez_We	0	1	pashid prime wizard
252038	LDF5_LGuard_DisputeRvR_Support_Deform_Ee	0	1	pashid prime conjurer
252043	LDF5_LGuard_DisputeRvR_Defend_PM_Ke	0	1	pashid prime dragoon
252048	LDF5_LGuard_DisputeRvR_Charge_PM_Fe	0	1	pashid prime dragonknight
252053	LDF5_DisputeRvR_Watch_NoBroad_Ra	0	1	pashid prime patrol
252058	LDF5_DisputeRvR_Watch_NoBroad_Ra	0	1	pashid prime patrol
252063	LDF5_LGuard_DisputeRvR_Strike_PR_Ge	0	1	pashid prime grunt
252068	LDF5_LGuard_DisputeRvR_Support_Heal_Pe	0	1	pashid prime fleshmender
252073	LDF5_LGuard_DisputeRvR_Support_Mez_We	0	1	pashid prime wizard
252078	LDF5_LGuard_DisputeRvR_Support_Deform_Ee	0	1	pashid prime conjurer
252083	LDF5_LGuard_DisputeRvR_Strike_PR_Ge	0	1	pashid defender elite reserve
252088	LDF5_LGuard_DisputeRvR_Strike_PR_Ge	0	1	pashid force elite reserve
252231	LDF5_LGuard_DisputeRvR_Defend_PM_Ke	0	1	pashid artifact savant defender
252232	LDF5_DisputeRvR_Watch_NoBroad_Ra	0	1	pashid artifact savant master tracker
252233	LDF5_LGuard_DisputeRvR_Support_Heal_Pe	0	1	pashid artifact savant master healer
252234	LDF5_LGuard_DisputeRvR_Support_Mez_We	0	1	pashid artifact savant warmage
252243	LDF5_LGuard_DisputeRvR_Charge_PM_Fe	0	1	pashid artifact savant defender
252244	LDF5_DisputeRvR_Watch_NoBroad_Ra	0	1	pashid artifact savant master tracker
252245	LDF5_LGuard_DisputeRvR_Support_Heal_Pe	0	1	pashid artifact savant master healer
252246	LDF5_LGuard_DisputeRvR_Support_Mez_We	0	1	pashid artifact savant warmage
252255	LDF5_LGuard_DisputeRvR_Charge_PM_Fe	0	1	pashid artifact savant defender
252256	LDF5_DisputeRvR_Watch_NoBroad_Ra	0	1	pashid artifact savant master tracker
252257	LDF5_LGuard_DisputeRvR_Support_Heal_Pe	0	1	pashid artifact savant master healer
252258	LDF5_LGuard_DisputeRvR_Support_Mez_We	0	1	pashid artifact savant warmage
252272	LDF5_LGuard_DisputeRvR_Charge_PM_Fe	0	1	pashid prime grunt
252287	LDF5_LGuard_DisputeRvR_Charge_PM_Fe	0	1	pashid prime grunt
252431	LDF5_Fortress_DrGuard_Artifact_Killer	25	1	pashid assault leader
252432	LDF5_Fortress_DrGuard_Artifact_Killer	25	1	pashid assault leader
252433	LDF5_Fortress_DrGuard_Artifact_Killer	25	1	pashid assault leader
256697	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	veteran assassin
256700	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	veteran crusader
256703	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	veteran curate
256706	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	veteran magus
256709	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	veteran assassin
256712	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	veteran crusader
256715	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	veteran curate
256718	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	veteran magus
256721	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	veteran assassin
256724	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	veteran crusader
256727	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	veteran curate
256730	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	veteran magus
256733	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	veteran assassin
256736	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	veteran crusader
256739	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	veteran curate
256742	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	veteran magus
257038	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	veteran magus
257044	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	seasoned crusader
257047	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	balaur experienced assassin
257056	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	seasoned curate
257059	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	cadet fighter
257062	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	balaur novice assassin
257065	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	cadet archer
257068	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	cadet mage
257071	LDF5_LGuard_DisputePvP_Support_HBuff_Pn	0	1	cadet priest
257119	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	artifact champion
257122	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	artifact assassin
257128	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	artifact high magus
257131	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	artifact archduke
257164	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	artifact champion
257167	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	artifact assassin
257173	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	artifact high magus
257176	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	artifact archduke
257332	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	veteran assassin
257341	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	veteran curate
257344	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	seasoned crusader
257347	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	balaur experienced assassin
257353	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	seasoned magus
257356	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	seasoned curate
257359	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	cadet fighter
257362	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	balaur novice assassin
257365	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	cadet archer
257368	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	cadet mage
257371	LDF5_LGuard_DisputePvP_Support_HBuff_Pn	0	1	cadet priest
257419	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	artifact champion
257422	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	artifact assassin
257428	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	artifact high magus
257431	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	artifact archduke
257464	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	artifact champion
257467	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	artifact assassin
257473	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	artifact high magus
257476	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	artifact archduke
257529	LDF5_LGuard_DisputePvP_Support_HBuff_Pn	0	1	soul healer
257530	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	quartermaster
257659	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	cadet fighter
257662	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	balaur novice assassin
257668	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	cadet mage
257671	LDF5_LGuard_DisputePvP_Support_HBuff_Pn	0	1	cadet priest
257674	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	fortress warrior
257677	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	fortress trigger
257683	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	fortress high magus
257686	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	fortress medic
257689	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	fortress gallowglass
257692	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	fortress assassin
257695	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	fortress sniper
257698	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	fortress mage
257701	LDF5_LGuard_DisputePvP_Support_HBuff_Pn	0	1	fortress priest
257719	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	artifact champion
257722	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	artifact assassin
257728	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	artifact high magus
257731	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	artifact archduke
257764	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	artifact champion
257767	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	artifact assassin
257773	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	artifact high magus
257776	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	artifact archduke
257830	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	quartermaster
257959	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	cadet fighter
257962	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	balaur novice assassin
257968	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	cadet mage
257971	LDF5_LGuard_DisputePvP_Support_HBuff_Pn	0	1	cadet priest
257974	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	fortress warrior
257977	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	fortress trigger
257983	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	fortress high magus
257986	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	fortress medic
257989	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	fortress gallowglass
257992	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	fortress assassin
257995	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	fortress sniper
257998	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn	0	1	fortress mage
258001	LDF5_LGuard_DisputePvP_Support_HBuff_Pn	0	1	fortress priest
258019	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	artifact champion
258022	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	artifact assassin
258028	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	artifact high magus
258031	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	artifact archduke
258064	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	artifact champion
258067	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	artifact assassin
258073	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	artifact high magus
258076	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	artifact archduke
258129	LDF5_LGuard_DisputePvP_Support_HBuff_Pn	0	1	soul healer
