uses	variable
4	df6_timespace_ctrl
4	killer_da_es
4	killer_da_gs
4	killer_da_is
4	killer_da_js
4	killer_da_km
4	killer_dr_gm
4	killer_dr_hs
4	killer_dr_js
4	killer_dr_km
4	killer_li_bs
4	killer_li_ds
4	killer_li_js
4	killer_li_km
3	DF6_Instance_Fri
3	DF6_Instance_Mon
3	DF6_Instance_Sat
3	DF6_Instance_Thu
3	DF6_Instance_Tue
3	DF6_Instance_Wed
3	WorldRaid_underpass_0025
3	WorldRaid_underpass_0026
3	_in
3	_out
3	f_restroom
3	killer_dr_ds
3	killer_dr_gs
3	ldf4_sp_craid_start
3	link_weapon_da
3	link_weapon_li
3	th_Boss_Room
3	village_da_js
2	B1
2	B2
2	Boss
2	CHALLENGE_504
2	CHALLENGE_506
2	CHALLENGE_508
2	CHALLENGE_510
2	CHALLENGE_512
2	CHALLENGE_514
2	CHALLENGE_516
2	CHALLENGE_518
2	CHALLENGE_520
2	CHALLENGE_522
2	CHALLENGE_524
2	CHALLENGE_526
2	CHALLENGE_528
2	CHALLENGE_530
2	CHALLENGE_532
2	CHALLENGE_534
2	CHALLENGE_536
2	CHALLENGE_538
2	CHALLENGE_540
2	CHALLENGE_542
2	CHALLENGE_544
2	CHALLENGE_546
2	CHALLENGE_548
2	CHALLENGE_550
2	CHALLENGE_552
2	CHALLENGE_604
2	CHALLENGE_606
2	CHALLENGE_608
2	CHALLENGE_610
2	CHALLENGE_612
2	CHALLENGE_614
2	CHALLENGE_616
2	CHALLENGE_618
2	CHALLENGE_620
2	CHALLENGE_622
2	CHALLENGE_624
2	CHALLENGE_626
2	CHALLENGE_628
2	CHALLENGE_630
2	CHALLENGE_632
2	CHALLENGE_634
2	CHALLENGE_636
2	CHALLENGE_638
2	CHALLENGE_640
2	CHALLENGE_642
2	CHALLENGE_644
2	CHALLENGE_646
2	CHALLENGE_648
2	CHALLENGE_650
2	CHALLENGE_652
2	DF6_QuestNPC_Spawn
2	FieldNamed_Ab1_Sat_23
2	FieldNamed_Ab1_Tue_23
2	IDAB1_Dreadgion_TELEPORT_17MINUTESLATER
2	IDElemental_2_E_EXIT
2	Road_Setting
2	STAGE4_START
2	STAGE_2START
2	STAGE_END
2	TIMEATTACK
2	TestServer_Cond
2	USER_GENDER
2	USER_RACE
2	WorldRaid_underpass_0032
2	WorldRaid_underpass_0033
2	WorldRaid_underpass_0035
2	WorldRaid_underpass_0036
2	WorldRaid_underpass_0037
2	WorldRaid_underpass_100
2	WorldRaid_underpass_102
2	WorldRaid_underpass_104
2	WorldRaid_underpass_105
2	WorldRaid_underpass_106
2	WorldRaid_underpass_107
2	WorldRaid_underpass_108
2	WorldRaid_underpass_109
2	WorldRaid_underpass_110
2	WorldRaid_underpass_111
2	WorldRaid_underpass_300
2	WorldRaid_underpass_301
2	WorldRaid_underpass_302
2	WorldRaid_underpass_303
2	WorldRaid_underpass_304
2	WorldRaid_underpass_305
2	WorldRaid_underpass_308
2	WorldRaid_underpass_309
2	WorldRaid_underpass_310
2	WorldRaid_underpass_311
2	WorldRaid_underpass_312
2	WorldRaid_underpass_313
2	WorldRaid_underpass_314
2	WorldRaid_underpass_315
2	WorldRaid_underpass_316
2	WorldRaid_underpass_317
2	df6_event_g1_quest
2	f_hole_succ
2	last_boss
2	nd_door
2	rd_door
2	st_door
2	test_monthly_01
2	test_monthly_02
2	test_monthly_03
2	th_door
1	A1
1	A2
1	A3
1	Ab1_1211_re_Fri
1	Ab1_1211_re_Mon
1	Ab1_1211_re_Sun
1	Ab1_1211_re_Wed
1	Ab1_1221_re_Mon
1	Ab1_1221_re_Sun
1	Ab1_1221_re_Thu
1	Ab1_1231_re_Fri
1	Ab1_1231_re_Sun
1	Ab1_1231_re_Tue
1	Ab1_1241_re_Sat
1	Ab1_1241_re_Sun
1	Ab1_1241_re_Wed
1	Ab1_1251_re_Sat
1	Ab1_1251_re_Sun
1	Ab1_1251_re_Thu
1	Ab1_1251_re_Tue
1	Ab1_Link_Weapon_Ctrl_01
1	BOSS_KILL
1	CHALLENGE_505
1	CHALLENGE_507
1	CHALLENGE_509
1	CHALLENGE_511
1	CHALLENGE_513
1	CHALLENGE_515
1	CHALLENGE_517
1	CHALLENGE_519
1	CHALLENGE_521
1	CHALLENGE_523
1	CHALLENGE_525
1	CHALLENGE_527
1	CHALLENGE_529
1	CHALLENGE_531
1	CHALLENGE_533
1	CHALLENGE_535
1	CHALLENGE_537
1	CHALLENGE_539
1	CHALLENGE_541
1	CHALLENGE_543
1	CHALLENGE_545
1	CHALLENGE_547
1	CHALLENGE_549
1	CHALLENGE_551
1	CHALLENGE_553
1	CHALLENGE_605
1	CHALLENGE_607
1	CHALLENGE_609
1	CHALLENGE_611
1	CHALLENGE_613
1	CHALLENGE_615
1	CHALLENGE_617
1	CHALLENGE_619
1	CHALLENGE_621
1	CHALLENGE_623
1	CHALLENGE_625
1	CHALLENGE_627
1	CHALLENGE_629
1	CHALLENGE_631
1	CHALLENGE_633
1	CHALLENGE_635
1	CHALLENGE_637
1	CHALLENGE_639
1	CHALLENGE_641
1	CHALLENGE_643
1	CHALLENGE_645
1	CHALLENGE_647
1	CHALLENGE_649
1	CHALLENGE_651
1	CHALLENGE_653
1	DirectPortalDest_79
1	DirectPortalDest_80
1	DirectPortalDest_81
1	DirectPortalDest_91
1	DirectPortalDest_92
1	DirectPortalDest_93
1	F2_T1_OBJ_Die
1	F3_T1_OBJ_Die
1	F4_T1_OBJ_Die
1	Fire01_01
1	Fire01_02
1	Fire01_03
1	Fire01_04
1	Fire01_05
1	Fire01_06
1	Fire01_07
1	Fire01_08
1	Fire01_09
1	Fire02_01
1	Fire02_02
1	Fire02_03
1	Fire02_04
1	Fire02_05
1	Fire02_06
1	Fire02_07
1	Fire02_08
1	Fire02_09
1	Fire02_10
1	Fire02_11
1	Fire02_12
1	GAB1_DARK_TELEPORTER_IN_PEACE_10111
1	GAB1_DARK_TELEPORTER_IN_PEACE_10211
1	GAB1_DARK_TELEPORTER_IN_PEACE_10311
1	GAB1_DARK_TELEPORTER_IN_PEACE_10411
1	GAB1_LIGHT_TELEPORTER_IN_PEACE_10111
1	GAB1_LIGHT_TELEPORTER_IN_PEACE_10211
1	GAB1_LIGHT_TELEPORTER_IN_PEACE_10311
1	GAB1_LIGHT_TELEPORTER_IN_PEACE_10411
1	HeroDark_05_01
1	HeroDark_05_02
1	HeroDark_05_03
1	HeroDark_05_04
1	HeroDark_10_01
1	HeroDark_10_02
1	HeroDark_10_03
1	HeroDark_10_04
1	HeroDark_Last_01
1	HeroDark_Last_02
1	HeroDark_Last_03
1	HeroDark_Last_04
1	HeroLight_05_01
1	HeroLight_05_02
1	HeroLight_05_03
1	HeroLight_05_04
1	HeroLight_10_01
1	HeroLight_10_02
1	HeroLight_10_03
1	HeroLight_10_04
1	HeroLight_Last_01
1	HeroLight_Last_02
1	HeroLight_Last_03
1	HeroLight_Last_04
1	IDSHULACKSHIP_PH_KILL
1	LDF5_under_Legend_Q01
1	LDF5_under_Legend_Q02
1	LEFT_BOMB_SPAWN
1	QuestNpc_Sun_Dark_To_Light
1	Rolling_Golem_04
1	STAGE3_START
1	STAGE_OPEN
1	SpawnPointGrouptest3
1	TELEPORT_1_DESTROYED
1	TELEPORT_2_DESTROYED
1	TELEPORT_3_DESTROYED
1	VRITRA_HEAL
1	WorldRaid_Ab1_03_A
1	WorldRaid_Ab1_05_B
1	WorldRaid_Ab1_07_A
1	WorldRaid_Ab1_15_A
1	WorldRaid_Ab1_17_B
1	WorldRaid_Ab1_19_A
1	WorldRaid_Ab1_23_A
1	WorldRaid_Ab1_27_A
1	WorldRaid_Ab1_All_A
1	WorldRaid_Ab1_Mon_18
1	WorldRaid_Ab1_SP_03_A
1	WorldRaid_Ab1_SP_07_A
1	WorldRaid_Ab1_SP_15_A
1	WorldRaid_Ab1_SP_19_A
1	WorldRaid_Ab1_SP_23_A
1	WorldRaid_Ab1_SP_27_A
1	WorldRaid_Ab1_SP_All_A
1	WorldRaid_Ab1_Thu_18
1	WorldRaid_Ab1_Tue_18
1	WorldRaid_Ab1_Wed_18
1	WorldRaid_DF1a_SP_01
1	WorldRaid_DF1a_SP_05
1	WorldRaid_DF1a_SP_09
1	WorldRaid_DF1a_SP_13
1	WorldRaid_DF1a_SP_17
1	WorldRaid_DF1a_SP_21
1	WorldRaid_DF1a_SP_25
1	WorldRaid_DF1a_SP_All
1	WorldRaid_DF2a_SP_04
1	WorldRaid_DF2a_SP_08
1	WorldRaid_DF2a_SP_12
1	WorldRaid_DF2a_SP_16
1	WorldRaid_DF2a_SP_20
1	WorldRaid_DF2a_SP_24
1	WorldRaid_DF2a_SP_28
1	WorldRaid_DF2a_SP_All
1	WorldRaid_DF3_SP_02
1	WorldRaid_DF3_SP_06
1	WorldRaid_DF3_SP_10
1	WorldRaid_DF3_SP_14
1	WorldRaid_DF3_SP_18
1	WorldRaid_DF3_SP_22
1	WorldRaid_DF3_SP_26
1	WorldRaid_DF3_SP_All
1	WorldRaid_DF5_06
1	WorldRaid_DF5_12
1	WorldRaid_DF5_18
1	WorldRaid_DF5_24
1	WorldRaid_DF5_All
1	WorldRaid_Df1a_01
1	WorldRaid_Df1a_05
1	WorldRaid_Df1a_09
1	WorldRaid_Df1a_13
1	WorldRaid_Df1a_17
1	WorldRaid_Df1a_21
1	WorldRaid_Df1a_25
1	WorldRaid_Df1a_All
1	WorldRaid_Df2a_04
1	WorldRaid_Df2a_08
1	WorldRaid_Df2a_12
1	WorldRaid_Df2a_16
1	WorldRaid_Df2a_20
1	WorldRaid_Df2a_24
1	WorldRaid_Df2a_28
1	WorldRaid_Df2a_All
1	WorldRaid_Df3_02
1	WorldRaid_Df3_06
1	WorldRaid_Df3_10
1	WorldRaid_Df3_14
1	WorldRaid_Df3_18
1	WorldRaid_Df3_22
1	WorldRaid_Df3_26
1	WorldRaid_Df3_All
1	WorldRaid_LF1a_SP_01
1	WorldRaid_LF1a_SP_05
1	WorldRaid_LF1a_SP_09
1	WorldRaid_LF1a_SP_13
1	WorldRaid_LF1a_SP_17
1	WorldRaid_LF1a_SP_21
1	WorldRaid_LF1a_SP_25
1	WorldRaid_LF1a_SP_All
1	WorldRaid_LF2_SP_02
1	WorldRaid_LF2_SP_06
1	WorldRaid_LF2_SP_10
1	WorldRaid_LF2_SP_14
1	WorldRaid_LF2_SP_18
1	WorldRaid_LF2_SP_22
1	WorldRaid_LF2_SP_26
1	WorldRaid_LF2_SP_All
1	WorldRaid_LF2a_SP_04
1	WorldRaid_LF2a_SP_08
1	WorldRaid_LF2a_SP_12
1	WorldRaid_LF2a_SP_16
1	WorldRaid_LF2a_SP_20
1	WorldRaid_LF2a_SP_24
1	WorldRaid_LF2a_SP_28
1	WorldRaid_LF2a_SP_All
1	WorldRaid_LF5_03
1	WorldRaid_LF5_09
1	WorldRaid_LF5_15
1	WorldRaid_LF5_21
1	WorldRaid_LF5_All
1	WorldRaid_Lf1a_01
1	WorldRaid_Lf1a_05
1	WorldRaid_Lf1a_09
1	WorldRaid_Lf1a_13
1	WorldRaid_Lf1a_17
1	WorldRaid_Lf1a_21
1	WorldRaid_Lf1a_25
1	WorldRaid_Lf1a_All
1	WorldRaid_Lf2_02
1	WorldRaid_Lf2_06
1	WorldRaid_Lf2_10
1	WorldRaid_Lf2_14
1	WorldRaid_Lf2_18
1	WorldRaid_Lf2_22
1	WorldRaid_Lf2_26
1	WorldRaid_Lf2_All
1	WorldRaid_Lf2a_04
1	WorldRaid_Lf2a_08
1	WorldRaid_Lf2a_12
1	WorldRaid_Lf2a_16
1	WorldRaid_Lf2a_20
1	WorldRaid_Lf2a_24
1	WorldRaid_Lf2a_28
1	WorldRaid_Lf2a_All
1	WorldRaid_ldf4_advance_All_A_01
1	WorldRaid_ldf4_advance_All_A_04
1	WorldRaid_ldf4_advance_All_A_07
1	WorldRaid_ldf4_advance_All_A_10
1	WorldRaid_ldf4_advance_All_A_11
1	WorldRaid_ldf4_advance_All_A_13
1	WorldRaid_ldf4_advance_All_A_16
1	WorldRaid_ldf4_advance_All_A_19
1	WorldRaid_ldf4_advance_All_A_22
1	WorldRaid_ldf4_advance_All_A_25
1	WorldRaid_ldf4_advance_All_A_28
1	WorldRaid_ldf5_fortress_All_A_02
1	WorldRaid_ldf5_fortress_All_A_05
1	WorldRaid_ldf5_fortress_All_A_08
1	WorldRaid_ldf5_fortress_All_A_11
1	WorldRaid_ldf5_fortress_All_A_14
1	WorldRaid_ldf5_fortress_All_A_17
1	WorldRaid_ldf5_fortress_All_A_20
1	WorldRaid_ldf5_fortress_All_A_23
1	WorldRaid_ldf5_fortress_All_A_26
1	WorldRaid_underpass_0020
1	WorldRaid_underpass_0021
1	WorldRaid_underpass_0022
1	WorldRaid_underpass_0023
1	WorldRaid_underpass_0024
1	WorldRaid_underpass_0027
1	WorldRaid_underpass_0028
1	WorldRaid_underpass_0029
1	WorldRaid_underpass_0030
1	WorldRaid_underpass_006
1	WorldRaid_underpass_112
1	WorldRaid_underpass_113
1	WorldRaid_underpass_114
1	WorldRaid_underpass_94
1	boss_storm
1	df6_event_middle_1
1	df6_event_middle_2
1	df6_event_middle_3
1	idrun_treasure_despawn
1	killer_dr_bm
1	sub_a_02
1	sub_a_04
1	sub_b_03
1	test_monthly_04
1	test_monthly_05
1	test_monthly_06
1	test_monthly_07
1	test_monthly_08
1	test_monthly_09
1	test_monthly_10
1	test_monthly_11
1	test_monthly_12
1	test_monthly_13
1	test_monthly_14
1	test_monthly_15
1	test_monthly_16
1	test_monthly_17
1	test_monthly_18
1	test_monthly_19
1	test_monthly_20
1	test_monthly_21
1	test_monthly_22
1	test_monthly_23
1	test_monthly_24
1	test_monthly_25
1	test_monthly_26
1	test_monthly_27
1	test_monthly_28
1	test_monthly_29
1	test_monthly_30
1	test_monthly_31
1	tiamat_down_apseller
1	tiamat_down_raid_ctrl
1	tiamat_down_raid_s_ctrl
