beacon	delay_ms	damage_npc	live	at_self	x	y	z	pattern
856116	2000	856117	2	0	488.1	514.3	417.4	IDTiamat_Hard_BeaconM4s
856116	2000	856117	2	0	491.2	514.2	417.4	IDTiamat_Hard_BeaconM4s
856118	2000	856119	2	0	457.8	514.7	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	462.3	514.6	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	466.6	514.6	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	469.7	514.5	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	473.6	514.5	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	475.8	514.4	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	479.3	514.4	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	482.7	514.3	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	485.2	514.3	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	488.1	514.3	417.4	IDTiamat_Hard_BeaconM8s
856118	2000	856119	2	0	491.2	514.2	417.4	IDTiamat_Hard_BeaconM8s
856120	2000	856121	3	1	0.0	0.0	0.0	IDTiamat_Hard_BeaconR4s
856122	2000	856123	3	1	0.0	0.0	0.0	IDTiamat_Hard_BeaconR8s
