gate_npc_id	pattern	step	delay_ms	placement	summons	despawn_after_ms	loops_to
295214	BGuard_DrGateChiefA_L50	0	5000	SELF	295195*1,295197*1	5000	-1
295214	BGuard_DrGateChiefA_L50	1	35000	SELF	295196*1,295198*2	5000	-1
295215	BGuard_LGateChiefB_L50	0	5000	SELF	295185*1,295188*1	5000	-1
295215	BGuard_LGateChiefB_L50	1	35000	SELF	295186*1,295188*1,295187*1	5000	-1
295216	BGuard_DGateChiefB_L50	0	5000	SELF	295190*1,295193*1	5000	-1
295216	BGuard_DGateChiefB_L50	1	35000	SELF	295191*1,295193*1,295192*1	5000	-1
295217	BGuard_DrGateChiefB_L50	0	5000	SELF	295208*2,295210*1	5000	-1
295217	BGuard_DrGateChiefB_L50	1	25000	SELF	295209*1,295210*2	5000	-1
295218	BGuard_LGateChiefC_L50	0	5000	SELF	295200*2,295202*1	5000	-1
295218	BGuard_LGateChiefC_L50	1	30000	SELF	295201*1,295202*1	5000	-1
295219	BGuard_DGateChiefC_L50	0	5000	SELF	295204*2,295206*1	5000	-1
295219	BGuard_DGateChiefC_L50	1	30000	SELF	295205*1,295206*2	5000	-1
295220	BGuard_DrGateChiefC_L50	0	5000	SELF	295208*2,295210*1	5000	-1
295220	BGuard_DrGateChiefC_L50	1	30000	SELF	295209*1,295210*2	5000	-1
296052	BGuard_LGateChiefA_L50M	0	5000	SELF	296028*1,296026*1,296027*1	5000	-1
296052	BGuard_LGateChiefA_L50M	1	35000	SELF	296025*1,296026*1,296028*1	5000	-1
296053	BGuard_DGateChiefA_L50M	0	5000	SELF	296032*1,296031*1,296033*1	5000	-1
296053	BGuard_DGateChiefA_L50M	1	35000	SELF	296030*1,296031*1,296033*1	5000	-1
296054	BGuard_DrGateChiefA_L50M	0	5000	SELF	296038*1,296036*1,296037*1	5000	-1
296054	BGuard_DrGateChiefA_L50M	1	35000	SELF	296035*1,296036*1,296038*1	5000	-1
296055	BGuard_LGateChiefB_L50M	0	5000	SELF	296040*2,296042*1	5000	-1
296055	BGuard_LGateChiefB_L50M	1	35000	SELF	296041*1,296042*1,296040*1	5000	-1
296056	BGuard_DGateChiefB_L50M	0	5000	SELF	296044*2,296046*1	5000	-1
296056	BGuard_DGateChiefB_L50M	1	35000	SELF	296045*1,296046*1,296044*1	5000	-1
296057	BGuard_DrGateChiefB_L50M	0	5000	SELF	296048*2,296050*1	5000	-1
296057	BGuard_DrGateChiefB_L50M	1	35000	SELF	296049*1,296050*1,296048*1	5000	-1
296058	BGuard_LGateChiefC_L50M	0	5000	SELF	296040*2,296042*1	5000	-1
296058	BGuard_LGateChiefC_L50M	1	30000	SELF	296041*1,296042*2	5000	-1
296059	BGuard_DGateChiefC_L50M	0	5000	SELF	296044*2,296046*1	5000	-1
296059	BGuard_DGateChiefC_L50M	1	30000	SELF	296045*1,296046*2	5000	-1
296060	BGuard_DrGateChiefC_L50M	0	5000	SELF	296048*2,296050*1	5000	-1
296060	BGuard_DrGateChiefC_L50M	1	30000	SELF	296049*1,296050*2	5000	-1
296065	BGuard_LGate_L50M	0	10000	SELF	296066*1,296068*1	5000	-1
296065	BGuard_LGate_L50M	1	30000	SELF	296069*1,296067*1,296068*1	5000	-1
296076	BGuard_DGate_L50M	0	10000	SELF	296077*1,296079*1	5000	-1
296076	BGuard_DGate_L50M	1	30000	SELF	296080*1,296078*1,296079*1	5000	-1
296526	BGuard_LGateChiefF4A	0	5000	SELF	296531*1,296528*1	0	0
296526	BGuard_LGateChiefF4A	1	40000	SELF	296530*1,296529*1,296532*1	0	0
296526	BGuard_LGateChiefF4A	2	40000	SELF	296529*1,296531*1,296532*1	0	0
296527	BGuard_LGateChiefF4B	0	5000	SELF	296531*1,296528*1	0	0
296527	BGuard_LGateChiefF4B	1	30000	SELF	296530*1,296532*1	0	0
296527	BGuard_LGateChiefF4B	2	30000	SELF	296529*1,296528*1	0	0
296533	BGuard_DGateChiefF4A	0	5000	SELF	296538*1,296535*1	0	0
296533	BGuard_DGateChiefF4A	1	40000	SELF	296537*1,296536*1,296539*1	0	0
296533	BGuard_DGateChiefF4A	2	40000	SELF	296536*1,296538*1,296539*1	0	0
296534	BGuard_DGateChiefF4B	0	5000	SELF	296538*1,296535*1	0	0
296534	BGuard_DGateChiefF4B	1	30000	SELF	296537*1,296539*1	0	0
296534	BGuard_DGateChiefF4B	2	30000	SELF	296536*1,296535*1	0	0
296540	BGuard_DrGateChiefF4A	0	5000	SELF	296545*1,296542*1	0	0
296540	BGuard_DrGateChiefF4A	1	40000	SELF	296544*1,296543*1,296545*1	0	0
296540	BGuard_DrGateChiefF4A	2	40000	SELF	296543*1,296545*1,296544*1	0	0
296541	BGuard_DrGateChiefF4B	0	5000	SELF	296545*1,296542*1	0	0
296541	BGuard_DrGateChiefF4B	1	30000	SELF	296543*1,296545*1	0	0
296541	BGuard_DrGateChiefF4B	2	30000	SELF	296545*1,296544*1	0	0
296634	BGuard_LGate_L57	0	10000	SELF	296635*1,296637*1	5000	-1
296634	BGuard_LGate_L57	1	30000	SELF	296638*1,296636*1,296637*1	5000	-1
296639	BGuard_LGate_L60	0	10000	SELF	296640*1,296642*1	5000	-1
296639	BGuard_LGate_L60	1	30000	SELF	296643*1,296641*1,296642*1	5000	-1
296744	BGuard_DGate_L57	0	10000	SELF	296745*1,296747*1	5000	-1
296744	BGuard_DGate_L57	1	30000	SELF	296748*1,296746*1,296747*1	5000	-1
296749	BGuard_DGate_L60	0	10000	SELF	296750*1,296752*1	5000	-1
296749	BGuard_DGate_L60	1	30000	SELF	296753*1,296751*1,296752*1	5000	-1
296870	BGuard_LGate_L55	0	10000	SELF	296871*1,296873*1	5000	-1
296870	BGuard_LGate_L55	1	30000	SELF	296874*1,296872*1,296873*1	5000	-1
296878	BGuard_DGate_L55	0	10000	SELF	296879*1,296881*1	5000	-1
296878	BGuard_DGate_L55	1	30000	SELF	296882*1,296880*1,296881*1	5000	-1
297117	BGuard_ChiefA_Renew_Gate_Li	0	5000	SELF	297111*1,297112*1	5000	-1
297118	BGuard_ChiefA_Renew_Gate_Da	0	5000	SELF	297113*1,297114*1	5000	-1
297119	BGuard_ChiefA_Renew_Gate_Dr	0	5000	SELF	297115*1,297116*1	5000	-1
