npc	pattern	handler	branch	priority	guards	order	kind	a1	a2	a3	place	x	y	z
206296	BIDF5_R2_Invdis02	on_idle_timer	0	2		0	broadcast	22101	18	0		0.0	0.0	0.0
206296	BIDF5_R2_Invdis02	on_wake_up	0	1		0	timer	10000	0	0		0.0	0.0	0.0
206297	BIDF5_R2_Invdis03	on_idle_timer	0	2		0	broadcast	22102	18	0		0.0	0.0	0.0
206297	BIDF5_R2_Invdis03	on_wake_up	0	1		0	timer	10000	0	0		0.0	0.0	0.0
206298	BIDF5_R2_Invtrap	on_wake_up	0	1		0	skill_now	21127	0	0	ME	0.0	0.0	0.0
206298	BIDF5_R2_Invtrap	on_wake_up	0	1		1	despawn_self	0	0	0		0.0	0.0	0.0
206371	IDRaksha_Solo_SensoryArea_Else_A	on_wake_up	0	7	set_world_flag_var:0	0	sysmsg	1402781	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	0	20	set_flag_var:1	0	sysmsg	1402802	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	0	20	set_flag_var:1	1	timer	30000	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	1	19	set_flag_var:2	0	sysmsg	1402803	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	1	19	set_flag_var:2	1	timer	20000	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	2	18	set_flag_var:3	0	sysmsg	1402804	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	2	18	set_flag_var:3	1	timer	10000	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	3	10	set_flag_var:0	0	var	2	0	0	timeout	0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	3	10	set_flag_var:0	1	sysmsg	1402805	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	3	10	set_flag_var:0	2	sysmsg	1402806	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_idle_timer	3	10	set_flag_var:0	3	despawn_self	0	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_wake_up	0	7		0	timer	120000	0	0		0.0	0.0	0.0
206381	IDF5_Mini_01_A_Start_Npc	on_wake_up	0	7		1	sysmsg	1402801	0	0		0.0	0.0	0.0
206392	IDRaksha_Solo_C_Door_Open_Trigger_01	on_wake_up	0	7		0	sysmsg	1402786	0	0		0.0	0.0	0.0
206399	IDRaksha_Solo_B_Door_Open_Trigger_03	on_idle_timer	0	7		0	despawn_self	0	0	0		0.0	0.0	0.0
206399	IDRaksha_Solo_B_Door_Open_Trigger_03	on_wake_up	0	7		0	sysmsg	1402832	0	0		0.0	0.0	0.0
206399	IDRaksha_Solo_B_Door_Open_Trigger_03	on_wake_up	0	7		1	timer	6000	0	0		0.0	0.0	0.0
206400	IDRaksha_Solo_B_Door_Open_Trigger_04	on_idle_timer	0	7		0	despawn_self	0	0	0		0.0	0.0	0.0
206400	IDRaksha_Solo_B_Door_Open_Trigger_04	on_wake_up	0	7		0	sysmsg	1402833	0	0		0.0	0.0	0.0
206400	IDRaksha_Solo_B_Door_Open_Trigger_04	on_wake_up	0	7		1	timer	6000	0	0		0.0	0.0	0.0
206401	IDRaksha_Solo_B_Door_Open_Trigger_05	on_idle_timer	0	7		0	despawn_self	0	0	0		0.0	0.0	0.0
206401	IDRaksha_Solo_B_Door_Open_Trigger_05	on_wake_up	0	7		0	sysmsg	1402834	0	0		0.0	0.0	0.0
206401	IDRaksha_Solo_B_Door_Open_Trigger_05	on_wake_up	0	7		1	timer	6000	0	0		0.0	0.0	0.0
206402	IDRaksha_Solo_B_Door_Open_Trigger_06	on_idle_timer	0	7		0	despawn_self	0	0	0		0.0	0.0	0.0
207035	IDArena_pvp01_InviNPC_1	on_idle_timer	0	7		0	broadcast	2001	100	0		0.0	0.0	0.0
207035	IDArena_pvp01_InviNPC_1	on_wake_up	0	7		0	timer	15000	0	0		0.0	0.0	0.0
207036	IDArena_pvp01_InviNPC_2	on_idle_timer	0	7		0	broadcast	2002	100	0		0.0	0.0	0.0
207036	IDArena_pvp01_InviNPC_2	on_wake_up	0	7		0	timer	20000	0	0		0.0	0.0	0.0
207038	IDArena_pvp01_InviNPC_4	on_idle_timer	0	7		0	broadcast	5001	50	0		0.0	0.0	0.0
207038	IDArena_pvp01_InviNPC_4	on_wake_up	0	7		0	timer	10000	0	0		0.0	0.0	0.0
207040	IDArena_pvp02_InviNPC_2	on_idle_timer	0	7		0	broadcast	1001	100	0		0.0	0.0	0.0
207040	IDArena_pvp02_InviNPC_2	on_wake_up	0	7		0	timer	30000	0	0		0.0	0.0	0.0
207048	IDArena_pvp01_InviNPC_7	on_idle_timer	0	7		0	broadcast	4001	20	0		0.0	0.0	0.0
207048	IDArena_pvp01_InviNPC_7	on_wake_up	0	7		0	timer	5000	0	0		0.0	0.0	0.0
207050	IDArena_pvp01_InviNPC_9	on_wake_up	0	7		0	sysmsg	1401526	0	0		0.0	0.0	0.0
207053	IDArena_pvp02_InviNPC_4	on_idle_timer	0	7		0	broadcast	1001	50	0		0.0	0.0	0.0
207053	IDArena_pvp02_InviNPC_4	on_wake_up	0	7		0	timer	3000	0	0		0.0	0.0	0.0
207083	LDF4a_Public_End_Braod	on_idle_timer	0	7		0	broadcast	7203	100	0		0.0	0.0	0.0
207083	LDF4a_Public_End_Braod	on_idle_timer	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
207083	LDF4a_Public_End_Braod	on_wake_up	0	7		0	broadcast	7203	100	0		0.0	0.0	0.0
207083	LDF4a_Public_End_Braod	on_wake_up	0	7		1	timer	5000	0	0		0.0	0.0	0.0
207106	IDArena_Team01_S2_Noshown_for_track_open	on_wake_up	0	7		0	var	0	1	0	s2_track	0.0	0.0	0.0
207106	IDArena_Team01_S2_Noshown_for_track_open	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
207107	IDArena_Team01_S2_Noshown_for_track_close	on_wake_up	0	7		0	broadcast	13500	50	0		0.0	0.0	0.0
207107	IDArena_Team01_S2_Noshown_for_track_close	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
207110	IDArena_Team01_S2_Noshown_for_track_set	on_wake_up	0	7		0	var	0	-3	0	s2_track	0.0	0.0	0.0
207110	IDArena_Team01_S2_Noshown_for_track_set	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
207113	IDArena_Team01_S1_Noshown_for_lever_open	on_wake_up	0	7		0	var	0	1	0	s1_lever	0.0	0.0	0.0
207113	IDArena_Team01_S1_Noshown_for_lever_open	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
207114	IDArena_Team01_S1_Noshown_for_lever_close	on_wake_up	0	7		0	broadcast	1013	50	0		0.0	0.0	0.0
207114	IDArena_Team01_S1_Noshown_for_lever_close	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
207115	IDArena_Team01_S1_Noshown_for_lever_set	on_wake_up	0	7		0	var	0	-1	0	s1_lever	0.0	0.0	0.0
207115	IDArena_Team01_S1_Noshown_for_lever_set	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
207124	IDF5_TD_Wave_NPC	on_wake_up	0	1		0	var	0	1	0	Wave_Z1	0.0	0.0	0.0
207124	IDF5_TD_Wave_NPC	on_wake_up	0	1		1	despawn_self	0	0	0		0.0	0.0	0.0
207127	IDSeal_RandomRoom_Bomb	on_wake_up	0	1		0	spawn	856459	1	0	for_the_fight_self	0.0	0.0	0.0
216216	IDCT_StDrakanFi_Fake	on_wake_up	0	7		0	skill	19126	0	0	ME	0.0	0.0	0.0
216217	IDCT_StDrakanSc_Fake	on_wake_up	0	7		0	skill	19126	0	0	ME	0.0	0.0	0.0
216297	IDCT_StDrakanFi_Fake	on_wake_up	0	7		0	skill	19126	0	0	ME	0.0	0.0	0.0
216298	IDCT_StDrakanSc_Fake	on_wake_up	0	7		0	skill	19126	0	0	ME	0.0	0.0	0.0
216733	IDCT_Boss_LichKing	on_wake_up	0	7		0	skill	19046	0	0	ME	0.0	0.0	0.0
216736	IDCT_Boss_LichKing	on_wake_up	0	7		0	skill	19046	0	0	ME	0.0	0.0	0.0
216738	IDCT_Boss_LichKing	on_wake_up	0	7		0	skill	19048	0	0	ME	0.0	0.0	0.0
217244	IDForest_Bridge_Boss	on_wake_up	0	14		0	spawn	282362	1	10	for_the_fight_absolute	302.515	756.957	203.0
217267	IDForest_Nr_Light_sky_Hard	on_wake_up	0	7		0	skill	19435	0	0	ME	0.0	0.0	0.0
217290	IDYun_Temp_29	on_wake_up	0	3		0	skill	19911	0	0	ME	0.0	0.0	0.0
217303	IDYun_Temp_01	on_wake_up	0	7		0	skill	19368	0	0	ME	0.0	0.0	0.0
217304	IDYun_Temp_01	on_wake_up	0	7		0	skill	19368	0	0	ME	0.0	0.0	0.0
217305	IDYun_Temp_01	on_wake_up	0	7		0	skill	19368	0	0	ME	0.0	0.0	0.0
217315	IDYun_TheThingFromAnotherWorld_01	on_wake_up	0	1		0	spawn	282465	1	5	for_the_fight_self	0.0	0.0	0.0
217316	IDYun_TheThingFromAnotherWorld_02	on_wake_up	0	6		0	spawn	282465	1	5	for_the_fight_self	0.0	0.0	0.0
217326	IDYun_Temp_34	on_wake_up	0	3		0	skill	19911	0	0	ME	0.0	0.0	0.0
217372	Station_HugenNM_Sum2	on_wake_up	0	7		0	broadcast	7107	50	0		0.0	0.0	0.0
217372	Station_HugenNM_Sum2	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
217383	D3_NeM	on_idle_timer	0	3	set_flag_var:0	0	say	1500458	0	0		0.0	0.0	0.0
217383	D3_NeM	on_idle_timer	0	3	set_flag_var:0	1	timer	5000	0	0		0.0	0.0	0.0
217383	D3_NeM	on_idle_timer	1	2	set_flag_var:1	0	say	1500459	0	0		0.0	0.0	0.0
217383	D3_NeM	on_idle_timer	2	1	set_flag_var:2	0	timer	0	0	0		0.0	0.0	0.0
217383	D3_NeM	on_idle_timer	2	1	set_flag_var:2	1	spawn	282465	1	10	for_the_fight_self	0.0	0.0	0.0
217383	D3_NeM	on_idle_timer	2	1	set_flag_var:2	2	var	0	1	0	Nmd1_Spawn	0.0	0.0	0.0
217383	D3_NeM	on_idle_timer	2	1	set_flag_var:2	3	var	0	1	0	CAGE_DESPAWN	0.0	0.0	0.0
217383	D3_NeM	on_idle_timer	2	1	set_flag_var:2	4	despawn_self	0	0	0		0.0	0.0	0.0
217424	Raksha_MirrorImage	on_wake_up	0	7		0	timer	1000	0	0		0.0	0.0	0.0
217456	Raksha_Evileye_Nmd	on_wake_up	0	7		0	sysmsg	1401135	0	0		0.0	0.0	0.0
217610	Station_Dispel	on_wake_up	0	7		0	skill	19522	0	0	ME	0.0	0.0	0.0
217610	Station_Dispel	on_wake_up	0	7		1	broadcast	1007	50	0		0.0	0.0	0.0
217759	IDArena_S7_Bonus_1	on_wake_up	0	7		0	sysmsg	1400983	0	0		0.0	0.0	0.0
217779	IDArena_S3_Timer	on_idle_timer	0	9	set_flag_var:0	0	timer	20000	0	0		0.0	0.0	0.0
217779	IDArena_S3_Timer	on_idle_timer	0	9	set_flag_var:0	1	sysmsg	1401010	0	0		0.0	0.0	0.0
217779	IDArena_S3_Timer	on_idle_timer	1	8	set_flag_var:1	0	timer	5000	0	0		0.0	0.0	0.0
217779	IDArena_S3_Timer	on_idle_timer	1	8	set_flag_var:1	1	sysmsg	1401011	0	0		0.0	0.0	0.0
217779	IDArena_S3_Timer	on_idle_timer	2	7	set_flag_var:2	0	sysmsg	1401012	0	0		0.0	0.0	0.0
217779	IDArena_S3_Timer	on_idle_timer	3	6		0	despawn_self	0	0	0		0.0	0.0	0.0
217779	IDArena_S3_Timer	on_wake_up	0	10		0	timer	30000	0	0		0.0	0.0	0.0
217783	IDArena_Solo_S1_Agrint	on_wake_up	0	7		0	say	342393	0	0		0.0	0.0	0.0
217795	IDArena_Solo_S2_Kaliga	on_wake_up	0	7		0	say	342401	0	0		0.0	0.0	0.0
217816	IDArena_Solo_S5_Telepoter	on_wake_up	0	7		0	broadcast	100011	50	0		0.0	0.0	0.0
217841	IDArena_Solo_S4_Meat	on_wake_up	0	27		0	broadcast	40001	50	0		0.0	0.0	0.0
217992	LDF4a_Calydon_Assassin	on_wake_up	0	7		0	skill	20083	0	0	ME	0.0	0.0	0.0
217996	LDF4a_Calydon_Assassin	on_wake_up	0	7		0	skill	20083	0	0	ME	0.0	0.0	0.0
218001	LDF4a_Calydon_Assassin	on_wake_up	0	7		0	skill	20083	0	0	ME	0.0	0.0	0.0
218053	LDF4a_Daily_ShulackAs	on_wake_up	0	7		0	skill	19493	0	0	ME	0.0	0.0	0.0
218239	LDF4b_TiamatDrakan_scout	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218300	LDF4b_TiamatDrakan_scout	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218318	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218380	LDF4b_TiamatDrakan_scout	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218405	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218442	LDF4b_TiamatDrakan_scout	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218450	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218524	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218528	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218561	IDArena_Solo_S4_od	on_wake_up	0	27		0	broadcast	40001	50	0		0.0	0.0	0.0
218570	IDArena_Solo_S5_Telepoter	on_wake_up	0	7		0	broadcast	100011	50	0		0.0	0.0	0.0
218585	LDF4a_Calydon_Assassin	on_wake_up	0	7		0	skill	20083	0	0	ME	0.0	0.0	0.0
218586	LDF4a_Calydon_Assassin	on_wake_up	0	7		0	skill	20083	0	0	ME	0.0	0.0	0.0
218587	LDF4a_Calydon_Assassin	on_wake_up	0	7		0	skill	20083	0	0	ME	0.0	0.0	0.0
218614	IDYun_Temp_17	on_idle_timer	0	6	unset_flag_var:0	0	say	1500402	0	0		0.0	0.0	0.0
218614	IDYun_Temp_17	on_idle_timer	0	6	unset_flag_var:0	1	timer	0	0	0		0.0	0.0	0.0
218614	IDYun_Temp_17	on_idle_timer	1	5	unset_flag_var:1	0	say	1500403	0	0		0.0	0.0	0.0
218614	IDYun_Temp_17	on_idle_timer	1	5	unset_flag_var:1	1	timer	0	0	0		0.0	0.0	0.0
218722	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218764	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20240	0	0	ME	0.0	0.0	0.0
218765	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20240	0	0	ME	0.0	0.0	0.0
218771	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20240	0	0	ME	0.0	0.0	0.0
218774	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20240	0	0	ME	0.0	0.0	0.0
218824	LDF4b_TiamatDrakan_scout	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218825	LDF4b_TiamatDrakan_scout	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
218921	LDF4b_DragonTurret_Invisible	on_wake_up	0	1		0	skill_now	20465	0	0	ME	0.0	0.0	0.0
218921	LDF4b_DragonTurret_Invisible	on_wake_up	0	1		1	despawn_self	0	0	0		0.0	0.0	0.0
218924	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
219250	IDDreadgion_03_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
219265	TDown_DrakanSc_Tiamat_60_Ae	on_wake_up	0	6	chance:25	0	skill	20251	0	0	ME	0.0	0.0	0.0
219382	IDTiamat_S2_SurkanaOrb_60_Ae	on_idle_timer	0	1		0	timer	3000	0	0		0.0	0.0	0.0
219382	IDTiamat_S2_SurkanaOrb_60_Ae	on_idle_timer	0	1		1	broadcast	5	3	0		0.0	0.0	0.0
219382	IDTiamat_S2_SurkanaOrb_60_Ae	on_wake_up	0	2		0	spawn	283128	1	0	for_the_fight_self	0.0	0.0	0.0
219382	IDTiamat_S2_SurkanaOrb_60_Ae	on_wake_up	0	2		1	timer	5000	0	0		0.0	0.0	0.0
219389	IDTiamat_S3_SurkanaOrb_60_Ae	on_idle_timer	0	1		0	timer	3000	0	0		0.0	0.0	0.0
219389	IDTiamat_S3_SurkanaOrb_60_Ae	on_idle_timer	0	1		1	broadcast	5	3	0		0.0	0.0	0.0
219389	IDTiamat_S3_SurkanaOrb_60_Ae	on_wake_up	0	2		0	spawn	283128	1	0	for_the_fight_self	0.0	0.0	0.0
219389	IDTiamat_S3_SurkanaOrb_60_Ae	on_wake_up	0	2		1	timer	5000	0	0		0.0	0.0	0.0
219502	IDArena_Glory_S2_Tog01	on_wake_up	0	21	chance:70	0	spawn	218757	1	0	for_the_fight_self	0.0	0.0	0.0
219502	IDArena_Glory_S2_Tog01	on_wake_up	0	21	chance:70	1	skill	20376	0	0	ME	0.0	0.0	0.0
219502	IDArena_Glory_S2_Tog01	on_wake_up	1	20		0	spawn	218757	1	0	for_the_fight_self	0.0	0.0	0.0
219502	IDArena_Glory_S2_Tog01	on_wake_up	1	20		1	skill	20377	0	0	ME	0.0	0.0	0.0
219503	IDArena_Glory_S2_Tog02	on_wake_up	0	21	chance:70	0	spawn	218757	1	0	for_the_fight_self	0.0	0.0	0.0
219503	IDArena_Glory_S2_Tog02	on_wake_up	0	21	chance:70	1	skill	20376	0	0	ME	0.0	0.0	0.0
219503	IDArena_Glory_S2_Tog02	on_wake_up	1	20		0	spawn	218757	1	0	for_the_fight_self	0.0	0.0	0.0
219503	IDArena_Glory_S2_Tog02	on_wake_up	1	20		1	skill	20377	0	0	ME	0.0	0.0	0.0
219504	IDArena_Glory_S2_Tog03	on_wake_up	0	21	chance:70	0	spawn	218757	1	0	for_the_fight_self	0.0	0.0	0.0
219504	IDArena_Glory_S2_Tog03	on_wake_up	0	21	chance:70	1	skill	20376	0	0	ME	0.0	0.0	0.0
219504	IDArena_Glory_S2_Tog03	on_wake_up	1	20		0	spawn	218757	1	0	for_the_fight_self	0.0	0.0	0.0
219504	IDArena_Glory_S2_Tog03	on_wake_up	1	20		1	skill	20377	0	0	ME	0.0	0.0	0.0
219585	IDAbRe_Core_Decoration5	on_wake_up	0	1		0	skill	19227	0	0	ME	0.0	0.0	0.0
219654	IDArena_Glory_S2_Tog03	on_wake_up	0	21	chance:70	0	spawn	218757	1	0	for_the_fight_self	0.0	0.0	0.0
219654	IDArena_Glory_S2_Tog03	on_wake_up	0	21	chance:70	1	skill	20376	0	0	ME	0.0	0.0	0.0
219654	IDArena_Glory_S2_Tog03	on_wake_up	1	20		0	spawn	218757	1	0	for_the_fight_self	0.0	0.0	0.0
219654	IDArena_Glory_S2_Tog03	on_wake_up	1	20		1	skill	20377	0	0	ME	0.0	0.0	0.0
219808	LF5_NewSpecies_As_KJS	on_wake_up	0	100		0	skill	16873	0	0	ME	0.0	0.0	0.0
219809	LF5_NewSpecies_As_KJS	on_wake_up	0	100		0	skill	16873	0	0	ME	0.0	0.0	0.0
219810	LF5_NewSpecies_As_KJS	on_wake_up	0	100		0	skill	16873	0	0	ME	0.0	0.0	0.0
219811	LF5_NewSpecies_As_KJS	on_wake_up	0	100		0	skill	16873	0	0	ME	0.0	0.0	0.0
219812	LF5_NewSpecies_As_KJS	on_wake_up	0	100		0	skill	16873	0	0	ME	0.0	0.0	0.0
219813	LF5_NewSpecies_As_KJS	on_wake_up	0	100		0	skill	16873	0	0	ME	0.0	0.0	0.0
219814	LF5_NewSpecies_As_2_KJS	on_wake_up	0	100		0	skill	16873	0	0	ME	0.0	0.0	0.0
219814	LF5_NewSpecies_As_2_KJS	on_wake_up	0	100		1	skill	18762	0	0	ME	0.0	0.0	0.0
219871	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		0	skill	20664	0	0	ME	0.0	0.0	0.0
219871	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		1	skill	18762	0	0	ME	0.0	0.0	0.0
219878	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		0	skill	20664	0	0	ME	0.0	0.0	0.0
219878	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		1	skill	18762	0	0	ME	0.0	0.0	0.0
219884	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		0	skill	20664	0	0	ME	0.0	0.0	0.0
219884	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		1	skill	18762	0	0	ME	0.0	0.0	0.0
219891	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		0	skill	20664	0	0	ME	0.0	0.0	0.0
219891	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		1	skill	18762	0	0	ME	0.0	0.0	0.0
219897	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		0	skill	20664	0	0	ME	0.0	0.0	0.0
219897	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		1	skill	18762	0	0	ME	0.0	0.0	0.0
219903	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		0	skill	20664	0	0	ME	0.0	0.0	0.0
219903	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		1	skill	18762	0	0	ME	0.0	0.0	0.0
219910	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		0	skill	20664	0	0	ME	0.0	0.0	0.0
219910	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		1	skill	18762	0	0	ME	0.0	0.0	0.0
219917	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		0	skill	20664	0	0	ME	0.0	0.0	0.0
219917	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		1	skill	18762	0	0	ME	0.0	0.0	0.0
219923	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		0	skill	20664	0	0	ME	0.0	0.0	0.0
219923	F5_PvP_DGuard_As_Ae_Hide	on_wake_up	0	95		1	skill	18762	0	0	ME	0.0	0.0	0.0
219951	DF5_QuestMonster_08	on_wake_up	0	10		0	say	1501251	0	0		0.0	0.0	0.0
219954	DF5_QuestMonster_10	on_idle_timer	0	7		0	despawn_self	0	0	0		0.0	0.0	0.0
219981	IDF5_Mini_01_C_Guard_Fi	on_idle_timer	0	7	set_world_flag_var:7	0	broadcast	1003	50	0		0.0	0.0	0.0
219982	IDF5_Mini_01_C_Guard_As	on_idle_timer	0	7	set_world_flag_var:7	0	broadcast	1003	50	0		0.0	0.0	0.0
219998	WorldRaid_Dyna_Hard	on_wake_up	0	7		0	sysmsg	1402384	0	0		0.0	0.0	0.0
