npc	pattern	handler	killer	branch	priority	guards	order	kind	a1	a2	a3	place	x	y	z	group
215483	Elim_ComadFe2	on_die	ANY	0	7		0	var	0	1	0	IDElim_3F_Heal_Plant_Giant	0.0	0.0	0.0	0
215484	Elim_ComadFe2	on_die	ANY	0	7		0	var	0	1	0	IDElim_3F_Heal_Plant_Giant	0.0	0.0	0.0	0
215485	Elim_ComadMe2	on_die	ANY	0	7		0	var	0	1	0	IDElim_3F_Heal_Plant_Giant	0.0	0.0	0.0	0
215486	Elim_ComadMe2	on_die	ANY	0	7		0	var	0	1	0	IDElim_3F_Heal_Plant_Giant	0.0	0.0	0.0	0
215783	IDTP_FanaFiNm	on_die	ANY	0	7		0	say	1500027	0	0		0.0	0.0	0.0	0
215783	IDTP_FanaFiNm	on_die	ANY	0	7		1	var	0	1	0	Teleporter_Spawn	0.0	0.0	0.0	0
215788	IDTP_Fanatic_FeA_Key	on_die	ANY	0	4		0	var	0	1	0	IDCT_Boss_Spectre_noShown1	0.0	0.0	0.0	0
215788	IDTP_Fanatic_FeA_Key	on_die	ANY	0	4		1	sysmsg	1400366	0	0		0.0	0.0	0.0	0
215789	IDTP_Fanatic_CeA_Key	on_die	ANY	0	5		0	var	0	1	0	IDCT_Boss_Spectre_noShown1	0.0	0.0	0.0	0
215789	IDTP_Fanatic_CeA_Key	on_die	ANY	0	5		1	sysmsg	1400366	0	0		0.0	0.0	0.0	0
215790	IDTP_Fanatic_MeA_Key	on_die	ANY	0	5		0	var	0	1	0	IDCT_Boss_Spectre_noShown1	0.0	0.0	0.0	0
215790	IDTP_Fanatic_MeA_Key	on_die	ANY	0	5		1	sysmsg	1400366	0	0		0.0	0.0	0.0	0
216206	IDCT_Normal_LightFi	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216207	IDCT_Hard_LightWi	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216208	IDCT_Normal_LightSc	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216209	IDCT_Hard_LightPr	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216210	IDCT_Normal_DarkFi	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216211	IDCT_Hard_DarkWi	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216212	IDCT_Normal_DarkSc	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216213	IDCT_Hard_DarkPr	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216287	IDCT_Normal_LightFi	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216288	IDCT_Normal_LightWi	on_die	ANY	0	4		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216289	IDCT_Normal_LightSc	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216290	IDCT_Normal_LightPr	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216291	IDCT_Normal_DarkFi	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216292	IDCT_Normal_DarkWi	on_die	ANY	0	4		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216293	IDCT_Normal_DarkSc	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216294	IDCT_Normal_DarkPr	on_die	ANY	0	7		0	var	0	1	0	debufflich	0.0	0.0	0.0	0
216583	IDCT_Lichkey1	on_die	ANY	0	7		0	var	0	1	0	lichkey1	0.0	0.0	0.0	0
216583	IDCT_Lichkey1	on_die	ANY	0	7		1	var	0	1	0	debufflich	0.0	0.0	0.0	0
216584	IDCT_Lichkey2	on_die	ANY	0	7		0	var	0	1	0	lichkey2	0.0	0.0	0.0	0
216585	IDCT_Lichkey3	on_die	ANY	0	7		0	var	0	1	0	lichkey3	0.0	0.0	0.0	0
216585	IDCT_Lichkey3	on_die	ANY	0	7		1	spawn	281388	1	10	for_the_fight_absolute	955.0	469.0	222.0	1
216585	IDCT_Lichkey3	on_die	ANY	0	7		2	spawn	281388	1	10	for_the_fight_absolute	925.0	470.0	226.0	1
216585	IDCT_Lichkey3	on_die	ANY	0	7		3	spawn	281388	1	10	for_the_fight_absolute	808.0	465.0	222.0	1
216585	IDCT_Lichkey3	on_die	ANY	0	7		4	spawn	281388	1	10	for_the_fight_absolute	790.0	460.0	222.0	1
216585	IDCT_Lichkey3	on_die	ANY	0	7		5	spawn	281388	1	10	for_the_fight_absolute	797.0	320.0	221.0	1
216585	IDCT_Lichkey3	on_die	ANY	0	7		6	spawn	281388	1	10	for_the_fight_absolute	784.0	226.0	225.0	1
216585	IDCT_Lichkey3	on_die	ANY	0	7		7	spawn	281388	1	10	for_the_fight_absolute	769.3	278.7	222.0	1
216587	IDCT_Lichkey1	on_die	ANY	0	7		0	var	0	1	0	lichkey1	0.0	0.0	0.0	0
216587	IDCT_Lichkey1	on_die	ANY	0	7		1	var	0	1	0	debufflich	0.0	0.0	0.0	0
216588	IDCT_Lichkey2	on_die	ANY	0	7		0	var	0	1	0	lichkey2	0.0	0.0	0.0	0
216589	IDCT_Lichkey3	on_die	ANY	0	7		0	var	0	1	0	lichkey3	0.0	0.0	0.0	0
216589	IDCT_Lichkey3	on_die	ANY	0	7		1	spawn	281388	1	10	for_the_fight_absolute	955.0	469.0	222.0	1
216589	IDCT_Lichkey3	on_die	ANY	0	7		2	spawn	281388	1	10	for_the_fight_absolute	925.0	470.0	226.0	1
216589	IDCT_Lichkey3	on_die	ANY	0	7		3	spawn	281388	1	10	for_the_fight_absolute	808.0	465.0	222.0	1
216589	IDCT_Lichkey3	on_die	ANY	0	7		4	spawn	281388	1	10	for_the_fight_absolute	790.0	460.0	222.0	1
216589	IDCT_Lichkey3	on_die	ANY	0	7		5	spawn	281388	1	10	for_the_fight_absolute	797.0	320.0	221.0	1
216589	IDCT_Lichkey3	on_die	ANY	0	7		6	spawn	281388	1	10	for_the_fight_absolute	784.0	226.0	225.0	1
216589	IDCT_Lichkey3	on_die	ANY	0	7		7	spawn	281388	1	10	for_the_fight_absolute	769.3	278.7	222.0	1
216882	Dread02_SurkanaNm05	on_die	ANY	0	7	race:TargetRace:ELYOS	0	var	0	1	0	TELEPORT_L_DESTROYED	0.0	0.0	0.0	0
216882	Dread02_SurkanaNm05	on_die	ANY	0	7	race:TargetRace:ELYOS	1	sysmsg	1400652	0	0		0.0	0.0	0.0	0
216882	Dread02_SurkanaNm05	on_die	ANY	1	7	race:TargetRace:ASMODIANS	0	var	0	1	0	TELEPORT_D_DESTROYED	0.0	0.0	0.0	0
216882	Dread02_SurkanaNm05	on_die	ANY	1	7	race:TargetRace:ASMODIANS	1	sysmsg	1400652	0	0		0.0	0.0	0.0	0
216937	Elim_ComadFe2	on_die	ANY	0	7		0	var	0	1	0	IDElim_3F_Heal_Plant_Giant	0.0	0.0	0.0	0
216938	Elim_ComadFe2	on_die	ANY	0	7		0	var	0	1	0	IDElim_3F_Heal_Plant_Giant	0.0	0.0	0.0	0
216939	Elim_ComadMe2	on_die	ANY	0	7		0	var	0	1	0	IDElim_3F_Heal_Plant_Giant	0.0	0.0	0.0	0
216940	Elim_ComadMe2	on_die	ANY	0	7		0	var	0	1	0	IDElim_3F_Heal_Plant_Giant	0.0	0.0	0.0	0
216942	IDAbRe_Core_Cannon	on_die	ANY	0	5		0	spawn	700863	5	0	for_the_fight_self	0.0	0.0	0.0	1
216942	IDAbRe_Core_Cannon	on_die	ANY	0	5		1	spawn	282106	1	3	for_the_fight_self	0.0	0.0	0.0	1
216954	IDAbRe_Core_Cannon	on_die	ANY	0	5		0	spawn	700863	5	0	for_the_fight_self	0.0	0.0	0.0	1
216954	IDAbRe_Core_Cannon	on_die	ANY	0	5		1	spawn	282106	1	3	for_the_fight_self	0.0	0.0	0.0	1
216999	Cromede_Relic3_Noshow	on_die	ANY	0	7		0	var	2	0	0	Cromede_Butler	0.0	0.0	0.0	0
217119	Cromede_Named_ScaredQ	on_die	ANY	0	7		0	despawn	1	0	0		0.0	0.0	0.0	0
217119	Cromede_Named_ScaredQ	on_die	ANY	0	7		1	spawn	282115	1	60	for_the_fight_absolute	749.8	628.18	198.37	0
217119	Cromede_Named_ScaredQ	on_die	ANY	0	7		2	spawn	282115	1	60	for_the_fight_absolute	512.55	574.35	217.6	0
217119	Cromede_Named_ScaredQ	on_die	ANY	0	7		3	spawn	282115	1	60	for_the_fight_absolute	568.19	833.13	226.33	0
217186	IDF4Re_Drana_golem	on_die	ANY	0	7		0	spawn	282379	1	5	for_the_fight_self	0.0	0.0	0.0	1
217186	IDF4Re_Drana_golem	on_die	ANY	0	7		1	broadcast	10	30	0		0.0	0.0	0.0	0
217196	IDF4Re_Drana_golem	on_die	ANY	0	7		0	spawn	282379	1	5	for_the_fight_self	0.0	0.0	0.0	1
217196	IDF4Re_Drana_golem	on_die	ANY	0	7		1	broadcast	10	30	0		0.0	0.0	0.0	0
217204	IDF4Re_Drana_Named_C	on_die	ANY	0	7		0	say	1500199	0	0		0.0	0.0	0.0	0
217204	IDF4Re_Drana_Named_C	on_die	ANY	0	7		1	spawn	282435	1	10	for_the_fight_absolute	1311.0	1174.0	192.0	2
217204	IDF4Re_Drana_Named_C	on_die	ANY	0	7		2	var	1	0	0	IDF4Re_Dra_03_Boss_Kill	0.0	0.0	0.0	0
217234	IDForest_Prime_Boss	on_die	ANY	0	16		0	var	1	0	0	FARMER_DESPAWN	0.0	0.0	0.0	0
217234	IDForest_Prime_Boss	on_die	ANY	0	16		1	spawn	282983	1	10	for_the_fight_self	0.0	0.0	0.0	1
217234	IDForest_Prime_Boss	on_die	ANY	0	16		2	say	1500457	0	0		0.0	0.0	0.0	0
217235	IDForest_Rollingstone_Boss	on_die	ANY	0	12		0	say	1500444	0	0		0.0	0.0	0.0	0
217235	IDForest_Rollingstone_Boss	on_die	ANY	0	12		1	var	0	1	0	STONE_DESPAWN	0.0	0.0	0.0	0
217235	IDForest_Rollingstone_Boss	on_die	ANY	0	12		2	spawn	205495	1	0	for_the_fight_self	0.0	0.0	0.0	1
217235	IDForest_Rollingstone_Boss	on_die	ANY	0	12		3	spawn	701009	1	0	for_the_fight_absolute	451.706	534.313	131.979	1
217236	IDForest_Rollingstone_Boss	on_die	ANY	0	12		0	say	1500444	0	0		0.0	0.0	0.0	0
217236	IDForest_Rollingstone_Boss	on_die	ANY	0	12		1	var	0	1	0	STONE_DESPAWN	0.0	0.0	0.0	0
217236	IDForest_Rollingstone_Boss	on_die	ANY	0	12		2	spawn	205495	1	0	for_the_fight_self	0.0	0.0	0.0	1
217236	IDForest_Rollingstone_Boss	on_die	ANY	0	12		3	spawn	701009	1	0	for_the_fight_absolute	451.706	534.313	131.979	1
217238	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		0	say	1500450	0	0		0.0	0.0	0.0	0
217238	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		1	despawn	1	0	0		0.0	0.0	0.0	0
217238	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		2	var	0	1	0	FARMER_SPAWN	0.0	0.0	0.0	0
217238	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		3	spawn	282204	1	300	for_the_fight_absolute	473.453	819.449	131.65	2
217238	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		4	spawn_each	282245	12	0	Ascending	100.0	0.0	3.0	1
217245	IDForest_Prime_Boss	on_die	ANY	0	16		0	var	1	0	0	FARMER_DESPAWN	0.0	0.0	0.0	0
217245	IDForest_Prime_Boss	on_die	ANY	0	16		1	spawn	282983	1	10	for_the_fight_self	0.0	0.0	0.0	1
217245	IDForest_Prime_Boss	on_die	ANY	0	16		2	say	1500457	0	0		0.0	0.0	0.0	0
217246	IDForest_Rollingstone_Boss	on_die	ANY	0	12		0	say	1500444	0	0		0.0	0.0	0.0	0
217246	IDForest_Rollingstone_Boss	on_die	ANY	0	12		1	var	0	1	0	STONE_DESPAWN	0.0	0.0	0.0	0
217246	IDForest_Rollingstone_Boss	on_die	ANY	0	12		2	spawn	205495	1	0	for_the_fight_self	0.0	0.0	0.0	1
217246	IDForest_Rollingstone_Boss	on_die	ANY	0	12		3	spawn	701009	1	0	for_the_fight_absolute	451.706	534.313	131.979	1
217247	IDForest_Rollingstone_Boss	on_die	ANY	0	12		0	say	1500444	0	0		0.0	0.0	0.0	0
217247	IDForest_Rollingstone_Boss	on_die	ANY	0	12		1	var	0	1	0	STONE_DESPAWN	0.0	0.0	0.0	0
217247	IDForest_Rollingstone_Boss	on_die	ANY	0	12		2	spawn	205495	1	0	for_the_fight_self	0.0	0.0	0.0	1
217247	IDForest_Rollingstone_Boss	on_die	ANY	0	12		3	spawn	701009	1	0	for_the_fight_absolute	451.706	534.313	131.979	1
217249	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		0	say	1500450	0	0		0.0	0.0	0.0	0
217249	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		1	despawn	1	0	0		0.0	0.0	0.0	0
217249	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		2	var	0	1	0	FARMER_SPAWN	0.0	0.0	0.0	0
217249	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		3	spawn	282204	1	300	for_the_fight_absolute	473.453	819.449	131.65	2
217249	IDForest_Wave_Trico_Boss	on_die	ANY	0	14		4	spawn_each	282245	12	0	Ascending	100.0	0.0	3.0	1
217251	IDHouse_Zadra_Boss_Phase3	on_die	ANY	0	6		0	var	0	1	0	ZADRA2_SPAWN	0.0	0.0	0.0	0
217252	IDHouse_Zadra_Boss_Phase3	on_die	ANY	0	6		0	var	0	1	0	ZADRA2_SPAWN	0.0	0.0	0.0	0
217263	IDForest_Nr_Golem_Ranger	on_die	ANY	0	3		0	spawn	282465	1	10	for_the_fight_self	0.0	0.0	0.0	1
217263	IDForest_Nr_Golem_Ranger	on_die	ANY	0	3		1	spawn	282441	1	0	for_the_fight_self	0.0	0.0	0.0	1
217279	Event_Santa_L	on_killed_by_user	KilledByPlayer	0	3	chance:25	0	spawn	280820	1	18	for_the_fight_self	0.0	0.0	0.0	0
217280	Event_Santa_D	on_killed_by_user	KilledByPlayer	0	3	chance:25	0	spawn	280821	1	18	for_the_fight_self	0.0	0.0	0.0	0
217282	IDF4Re_KeyNamed_3	on_die	ANY	0	7		0	sysmsg	1400919	0	0		0.0	0.0	0.0	0
217282	IDF4Re_KeyNamed_3	on_die	ANY	0	7		1	var	0	1	0	IDF4Re_Dra_02_KeyNamed_Kill	0.0	0.0	0.0	0
217282	IDF4Re_KeyNamed_3	on_die	ANY	0	7		2	var	0	1	0	Drana_2nd_gate_1	0.0	0.0	0.0	0
217292	IDYun_Temp_31	on_die	ANY	0	1		0	spawn	282551	1	10	for_the_fight_self	0.0	0.0	0.0	1
217299	IDYun_Drakan_ND3	on_die	ANY	0	4		0	spawn	282528	1	10	for_the_fight_self	0.0	0.0	0.0	1
217301	IDYun_Temp_22	on_die	ANY	0	1	chance:35	0	spawn	282384	3	30	for_the_fight_self	0.0	0.0	0.0	1
217301	IDYun_Temp_22	on_die	ANY	0	1	chance:35	1	spawn	282382	1	30	for_the_fight_self	0.0	0.0	0.0	1
217314	IDYun_hiddennm	on_die	ANY	0	7		0	spawn	701009	1	0	for_the_fight_self	0.0	0.0	0.0	0
217315	IDYun_TheThingFromAnotherWorld_01	on_killed_by_user	KilledByPlayer	0	5	race:KillerRace:ELYOS	0	spawn	855953	1	30	for_the_fight_self	0.0	0.0	0.0	0
217315	IDYun_TheThingFromAnotherWorld_01	on_killed_by_user	KilledByPlayer	1	4	race:KillerRace:ASMODIANS	0	spawn	855953	1	30	for_the_fight_self	0.0	0.0	0.0	0
217316	IDYun_TheThingFromAnotherWorld_02	on_killed_by_user	KilledByPlayer	0	5	race:KillerRace:ELYOS	0	spawn	855953	1	30	for_the_fight_self	0.0	0.0	0.0	0
217316	IDYun_TheThingFromAnotherWorld_02	on_killed_by_user	KilledByPlayer	1	4	race:KillerRace:ASMODIANS	0	spawn	855953	1	30	for_the_fight_self	0.0	0.0	0.0	0
217327	IDYun_Temp_19	on_die	ANY	0	1		0	spawn	282551	1	10	for_the_fight_self	0.0	0.0	0.0	1
217330	IDYun_Drakan_ND3	on_die	ANY	0	4		0	spawn	282528	1	10	for_the_fight_self	0.0	0.0	0.0	1
217370	Station_DrakanD	on_die	ANY	0	7		0	var	0	1	0	IDStation_Score	0.0	0.0	0.0	0
217371	Station_HugenNM	on_die	ANY	0	15		0	say	1500583	0	0		0.0	0.0	0.0	0
217371	Station_HugenNM	on_die	ANY	0	15		1	spawn	730374	1	0	for_the_fight_self	0.0	0.0	0.0	0
217371	Station_HugenNM	on_die	ANY	0	15		2	spawn	730412	1	12	for_the_fight_self	0.0	0.0	0.0	0
217454	Raksha_EvileyeLight	on_die	ANY	0	7	set_flag_var:0	0	sysmsg	1401160	0	0		0.0	0.0	0.0	0
217454	Raksha_EvileyeLight	on_die	ANY	0	7	set_flag_var:0	1	var	0	1	0	idraksha_evileyenamedspawn	0.0	0.0	0.0	0
217455	Raksha_EvileyeLight	on_die	ANY	0	7	set_flag_var:0	0	sysmsg	1401160	0	0		0.0	0.0	0.0	0
217455	Raksha_EvileyeLight	on_die	ANY	0	7	set_flag_var:0	1	var	0	1	0	idraksha_evileyenamedspawn	0.0	0.0	0.0	0
217477	IDArena_S1_Monster_1	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_L	0.0	0.0	0.0	0
217478	IDArena_S1_Monster_4	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_L	0.0	0.0	0.0	0
217480	IDArena_S1_Monster_2	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_L	0.0	0.0	0.0	0
217482	IDArena_S1_Monster_5	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_L	0.0	0.0	0.0	0
217483	IDArena_S1_Monster_3	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_L	0.0	0.0	0.0	0
217486	IDArena_S1_D_Monster_1	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_D	0.0	0.0	0.0	0
217487	IDArena_S1_D_Monster_4	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_D	0.0	0.0	0.0	0
217489	IDArena_S1_D_Monster_2	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_D	0.0	0.0	0.0	0
217491	IDArena_S1_D_Monster_5	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_D	0.0	0.0	0.0	0
217492	IDArena_S1_D_Monster_3	on_die	ANY	0	7	set_flag_var:0	0	var	0	1	0	Condition_S1_D	0.0	0.0	0.0	0
217494	IDArena_S2_Monster_1	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_L	0.0	0.0	0.0	0
217495	IDArena_S2_Monster_2	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_L	0.0	0.0	0.0	0
217496	IDArena_S2_Monster_3	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_L	0.0	0.0	0.0	0
217497	IDArena_S2_Monster_4	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_L	0.0	0.0	0.0	0
217498	IDArena_S2_Monster_5	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_L	0.0	0.0	0.0	0
217499	IDArena_S2_Monster_6	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_L	0.0	0.0	0.0	0
217500	IDArena_S2_Monster_7	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_L	0.0	0.0	0.0	0
217502	IDArena_S2_Monster_R1	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_D	0.0	0.0	0.0	0
217503	IDArena_S2_Monster_R2	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_D	0.0	0.0	0.0	0
217504	IDArena_S2_Monster_R3	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_D	0.0	0.0	0.0	0
217505	IDArena_S2_Monster_R4	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_D	0.0	0.0	0.0	0
217505	IDArena_S2_Monster_R4	on_killed_by_user	KilledByPlayer	0	6		0	despawn	1	0	0		0.0	0.0	0.0	0
217506	IDArena_S2_Monster_R5	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_D	0.0	0.0	0.0	0
217507	IDArena_S2_Monster_R6	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_D	0.0	0.0	0.0	0
217508	IDArena_S2_Monster_R7	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_D	0.0	0.0	0.0	0
217509	IDArena_S2_Monster_R8	on_die	ANY	0	7		0	var	0	1	0	Condition_S2_D	0.0	0.0	0.0	0
217511	IDArena_S3_Monster_E1	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217512	IDArena_S3_Monster_1	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217513	IDArena_S3_Monster_W1	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217514	IDArena_S3_Monster_A1	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217515	IDArena_S3_Monster_E2	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217516	IDArena_S3_Monster_2	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217517	IDArena_S3_Monster_W2	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217518	IDArena_S3_Monster_A2	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217519	IDArena_S3_Monster_E3	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217520	IDArena_S3_Monster_3	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217521	IDArena_S3_Monster_W3	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217522	IDArena_S3_Monster_A3	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217523	IDArena_S3_Monster_E4	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217524	IDArena_S3_Monster_4	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217525	IDArena_S3_Monster_W4	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217526	IDArena_S3_Monster_A4	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217527	IDArena_S3_Named_1	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217528	IDArena_S3_Named_2	on_die	ANY	0	7		0	var	0	1	0	Condition_S3_L	0.0	0.0	0.0	0
217529	IDArena_S4_Monster_1	on_die	ANY	0	7		0	var	0	1	0	Condition_S5_L	0.0	0.0	0.0	0
217530	IDArena_S4_Monster_2	on_die	ANY	0	7		0	var	0	1	0	Condition_S5_L	0.0	0.0	0.0	0
