npc	pattern	order	name	set	modify	vanishes
231879	LDF5_Village_KillerCtrl05_L	0	v05ctrl	2	0	FALSE
231880	LDF5_Village_KillerCtrl05_D	0	v05ctrl	3	0	FALSE
231881	LDF5_Village_KillerCtrl05_DR	0	v05ctrl	1	0	FALSE
231882	LDF5_Village_KillerCtrl06_L	0	v06ctrl	2	0	FALSE
231883	LDF5_Village_KillerCtrl06_D	0	v06ctrl	3	0	FALSE
231884	LDF5_Village_KillerCtrl06_DR	0	v06ctrl	1	0	FALSE
231885	LDF5_Village_KillerCtrl07_L	0	v07ctrl	2	0	FALSE
231886	LDF5_Village_KillerCtrl07_D	0	v07ctrl	3	0	FALSE
231887	LDF5_Village_KillerCtrl07_DR	0	v07ctrl	1	0	FALSE
231888	LDF5_Village_KillerCtrl08_L	0	v08ctrl	2	0	FALSE
231889	LDF5_Village_KillerCtrl08_D	0	v08ctrl	3	0	FALSE
231890	LDF5_Village_KillerCtrl08_DR	0	v08ctrl	1	0	FALSE
231891	LDF5_Village_KillerCtrl09_L	0	v09ctrl	2	0	FALSE
231892	LDF5_Village_KillerCtrl09_D	0	v09ctrl	3	0	FALSE
231893	LDF5_Village_KillerCtrl09_DR	0	v09ctrl	1	0	FALSE
231894	LDF5_Village_KillerCtrl10_L	0	v10ctrl	2	0	FALSE
231895	LDF5_Village_KillerCtrl10_D	0	v01ctrl	3	0	FALSE
231896	LDF5_Village_KillerCtrl10_DR	0	v10ctrl	1	0	FALSE
231897	LDF5_Village_KillerCtrl11_L	0	v11ctrl	2	0	FALSE
231898	LDF5_Village_KillerCtrl11_D	0	v11ctrl	3	0	FALSE
231899	LDF5_Village_KillerCtrl11_DR	0	v11ctrl	1	0	FALSE
231900	LDF5_Village_KillerCtrl12_L	0	v12ctrl	2	0	FALSE
231901	LDF5_Village_KillerCtrl12_D	0	v12ctrl	3	0	FALSE
231902	LDF5_Village_KillerCtrl12_DR	0	v12ctrl	1	0	FALSE
231903	LDF5_Village_KillerCtrl13_L	0	v13ctrl	2	0	FALSE
231904	LDF5_Village_KillerCtrl13_D	0	v13ctrl	3	0	FALSE
231905	LDF5_Village_KillerCtrl13_DR	0	v13ctrl	1	0	FALSE
231906	LDF5_Village_KillerCtrl14_L	0	v14ctrl	2	0	FALSE
231907	LDF5_Village_KillerCtrl14_D	0	v14ctrl	3	0	FALSE
231908	LDF5_Village_KillerCtrl14_DR	0	v14ctrl	1	0	FALSE
231909	LDF5_Village_KillerCtrl15_L	0	v15ctrl	2	0	FALSE
231910	LDF5_Village_KillerCtrl15_D	0	v15ctrl	3	0	FALSE
231911	LDF5_Village_KillerCtrl15_DR	0	v15ctrl	1	0	FALSE
231912	LDF5_Village_KillerCtrl16_L	0	v16ctrl	2	0	FALSE
231913	LDF5_Village_KillerCtrl16_D	0	v16ctrl	3	0	FALSE
231914	LDF5_Village_KillerCtrl16_DR	0	v16ctrl	1	0	FALSE
231915	LDF5_Village_KillerCtrl17_L	0	v17ctrl	2	0	FALSE
231916	LDF5_Village_KillerCtrl17_D	0	v17ctrl	3	0	FALSE
231917	LDF5_Village_KillerCtrl17_DR	0	v17ctrl	1	0	FALSE
231920	LDF5_Village_KillerCtrl18_DR	0	v18ctrl	1	0	FALSE
231921	LDF5_Village_KillerCtrl19_L	0	v19ctrl	2	0	FALSE
231922	LDF5_Village_KillerCtrl19_D	0	v19ctrl	3	0	FALSE
231923	LDF5_Village_KillerCtrl19_DR	0	v19ctrl	1	0	FALSE
233576	IDLDF5_Under_01_War_Guard_07	0	Drakan	2	0	FALSE
233577	IDLDF5_Under_01_War_Guard_08	0	Drakan	2	0	FALSE
233584	IDLDF5_Under_01_War_MSG_05	0	SouthNorth	1	0	FALSE
233585	IDLDF5_Under_01_War_MSG_06	0	EastWest	1	0	FALSE
233586	IDLDF5_Under_01_War_MSG_07	0	Drakan	1	0	FALSE
233587	IDLDF5_Under_01_War_MSG_08	0	Drakan	1	0	FALSE
233589	IDLDF5_Under_01_War_MSG_10	0	Q_NPCSpawn_On	1	0	FALSE
234128	LDF5_Village_KillerCtrl01_L	0	v01ctrl	2	0	FALSE
234129	LDF5_Village_KillerCtrl01_D	0	v01ctrl	3	0	FALSE
234130	LDF5_Village_KillerCtrl01_DR	0	v01ctrl	1	0	FALSE
234131	LDF5_Village_KillerCtrl02_L	0	v02ctrl	2	0	FALSE
234132	LDF5_Village_KillerCtrl02_D	0	v02ctrl	3	0	FALSE
234133	LDF5_Village_KillerCtrl02_DR	0	v02ctrl	1	0	FALSE
235679	IDSweep_Gold_PIG_A	0	PIG_DIE_A	0	1	FALSE
235686	IDSweep_Gold_PIG_B	0	PIG_DIE_B	0	1	FALSE
235687	IDSweep_Gold_PIG_C	0	PIG_DIE_C	0	1	FALSE
236497	LF4_WindBox2	0	C5_WINDBOX_ON	2	0	FALSE
257242	LF4_Condition_2011_Li	0	condition_2011	1	0	FALSE
257243	LF4_Condition_2011_Da	0	condition_2011	2	0	FALSE
257244	LF4_Condition_2011_Dr	0	condition_2011	0	0	FALSE
257542	LF4_Condition_2021_Li	0	condition_2021	1	0	FALSE
257543	LF4_Condition_2021_Da	0	condition_2021	2	0	FALSE
257544	LF4_Condition_2021_Dr	0	condition_2021	0	0	FALSE
257842	DF4_Condition_3011_Li	0	condition_3011	1	0	FALSE
257843	DF4_Condition_3011_Da	0	condition_3011	2	0	FALSE
257844	DF4_Condition_3011_Dr	0	condition_3011	0	0	FALSE
258142	DF4_Condition_3021_Li	0	condition_3021	1	0	FALSE
258143	DF4_Condition_3021_Da	0	condition_3021	2	0	FALSE
258144	DF4_Condition_3021_Dr	0	condition_3021	0	0	FALSE
258274	LDF5a_5011_Checker_MistOff	0	5011on	-1	0	FALSE
258274	LDF5a_5011_Checker_MistOff	1	5011off	1	0	FALSE
258274	LDF5a_5011_Checker_MistOff	2	5011_Mercenary01	-1	0	FALSE
258274	LDF5a_5011_Checker_MistOff	3	5011_Mercenary02	-1	0	FALSE
258274	LDF5a_5011_Checker_MistOff	4	5011_Mercenary03	-1	0	FALSE
258275	LDF5a_5011_Checker_MistOn	0	5011on	1	0	FALSE
258275	LDF5a_5011_Checker_MistOn	1	5011off	-1	0	FALSE
258276	LDF5a_6011_Checker_MistOff	0	6011on	-1	0	FALSE
258276	LDF5a_6011_Checker_MistOff	1	6011off	1	0	FALSE
258276	LDF5a_6011_Checker_MistOff	2	6011_Mercenary01	-1	0	FALSE
258276	LDF5a_6011_Checker_MistOff	3	6011_Mercenary02	-1	0	FALSE
258276	LDF5a_6011_Checker_MistOff	4	6011_Mercenary03	-1	0	FALSE
258276	LDF5a_6011_Checker_MistOff	5	6011Boss	-1	0	FALSE
258277	LDF5a_6011_Checker_MistOn	0	6011on	1	0	FALSE
258277	LDF5a_6011_Checker_MistOn	1	6011off	-1	0	FALSE
258278	LDF5a_6021_Checker_MistOff	0	6021on	-1	0	FALSE
258278	LDF5a_6021_Checker_MistOff	1	6021off	1	0	FALSE
258278	LDF5a_6021_Checker_MistOff	2	6021_Mercenary01	-1	0	FALSE
258278	LDF5a_6021_Checker_MistOff	3	6021_Mercenary02	-1	0	FALSE
258278	LDF5a_6021_Checker_MistOff	4	6021_Mercenary03	-1	0	FALSE
258278	LDF5a_6021_Checker_MistOff	5	6021Boss	-1	0	FALSE
258279	LDF5a_6021_Checker_MistOn	0	6021on	1	0	FALSE
258279	LDF5a_6021_Checker_MistOn	1	6021off	-1	0	FALSE
258309	LDF5b_6011_BossCheker	0	6011Boss	1	0	FALSE
258310	LDF5b_6021_BossCheker	0	6021Boss	1	0	FALSE
277126	LDF5_Village_KillerCtrl01_DR	0	v01ctrl	1	0	FALSE
277127	LDF5_Village_KillerCtrl02_DR	0	v02ctrl	1	0	FALSE
277128	LDF5_Village_KillerCtrl03_DR	0	v03ctrl	1	0	FALSE
277129	LDF5_Village_KillerCtrl04_DR	0	v04ctrl	1	0	FALSE
277130	LDF5_Village_KillerCtrl05_DR	0	v05ctrl	1	0	FALSE
277131	LDF5_Village_KillerCtrl06_DR	0	v06ctrl	1	0	FALSE
277132	LDF5_Village_KillerCtrl07_DR	0	v07ctrl	1	0	FALSE
277133	LDF5_Village_KillerCtrl08_DR	0	v08ctrl	1	0	FALSE
277134	LDF5_Village_KillerCtrl09_DR	0	v09ctrl	1	0	FALSE
277135	LDF5_Village_KillerCtrl10_DR	0	v10ctrl	1	0	FALSE
277136	LDF5_Village_KillerCtrl11_DR	0	v11ctrl	1	0	FALSE
277137	LDF5_Village_KillerCtrl12_DR	0	v12ctrl	1	0	FALSE
277138	LDF5_Village_KillerCtrl13_DR	0	v13ctrl	1	0	FALSE
277139	LDF5_Village_KillerCtrl14_DR	0	v14ctrl	1	0	FALSE
277140	LDF5_Village_KillerCtrl15_DR	0	v15ctrl	1	0	FALSE
277141	LDF5_Village_KillerCtrl16_DR	0	v16ctrl	1	0	FALSE
277142	LDF5_Village_KillerCtrl17_DR	0	v17ctrl	1	0	FALSE
277143	LDF5_Village_KillerCtrl18_DR	0	v18ctrl	1	0	FALSE
277144	LDF5_Village_KillerCtrl19_DR	0	v19ctrl	1	0	FALSE
277145	LDF5_Village_KillerCtrl01_L	0	v01ctrl	2	0	FALSE
277146	LDF5_Village_KillerCtrl02_L	0	v02ctrl	2	0	FALSE
277147	LDF5_Village_KillerCtrl03_L	0	v03ctrl	2	0	FALSE
277148	LDF5_Village_KillerCtrl04_L	0	v04ctrl	2	0	FALSE
277149	LDF5_Village_KillerCtrl05_L	0	v05ctrl	2	0	FALSE
277150	LDF5_Village_KillerCtrl06_L	0	v06ctrl	2	0	FALSE
277151	LDF5_Village_KillerCtrl07_L	0	v07ctrl	2	0	FALSE
277152	LDF5_Village_KillerCtrl08_L	0	v08ctrl	2	0	FALSE
277153	LDF5_Village_KillerCtrl09_L	0	v09ctrl	2	0	FALSE
277154	LDF5_Village_KillerCtrl10_L	0	v10ctrl	2	0	FALSE
277155	LDF5_Village_KillerCtrl11_L	0	v11ctrl	2	0	FALSE
277156	LDF5_Village_KillerCtrl12_L	0	v12ctrl	2	0	FALSE
277157	LDF5_Village_KillerCtrl13_L	0	v13ctrl	2	0	FALSE
277158	LDF5_Village_KillerCtrl14_L	0	v14ctrl	2	0	FALSE
277159	LDF5_Village_KillerCtrl15_L	0	v15ctrl	2	0	FALSE
277160	LDF5_Village_KillerCtrl16_L	0	v16ctrl	2	0	FALSE
277161	LDF5_Village_KillerCtrl17_L	0	v17ctrl	2	0	FALSE
277162	LDF5_Village_KillerCtrl18_L	0	v18ctrl	2	0	FALSE
277163	LDF5_Village_KillerCtrl19_L	0	v19ctrl	2	0	FALSE
277164	LDF5_Village_KillerCtrl01_D	0	v01ctrl	3	0	FALSE
277165	LDF5_Village_KillerCtrl02_D	0	v02ctrl	3	0	FALSE
277166	LDF5_Village_KillerCtrl03_D	0	v03ctrl	3	0	FALSE
277167	LDF5_Village_KillerCtrl04_D	0	v04ctrl	3	0	FALSE
277168	LDF5_Village_KillerCtrl05_D	0	v05ctrl	3	0	FALSE
277169	LDF5_Village_KillerCtrl06_D	0	v06ctrl	3	0	FALSE
277170	LDF5_Village_KillerCtrl07_D	0	v07ctrl	3	0	FALSE
277171	LDF5_Village_KillerCtrl08_D	0	v08ctrl	3	0	FALSE
277172	LDF5_Village_KillerCtrl09_D	0	v09ctrl	3	0	FALSE
277173	LDF5_Village_KillerCtrl10_D	0	v01ctrl	3	0	FALSE
277174	LDF5_Village_KillerCtrl11_D	0	v11ctrl	3	0	FALSE
277175	LDF5_Village_KillerCtrl12_D	0	v12ctrl	3	0	FALSE
277176	LDF5_Village_KillerCtrl13_D	0	v13ctrl	3	0	FALSE
277177	LDF5_Village_KillerCtrl14_D	0	v14ctrl	3	0	FALSE
277178	LDF5_Village_KillerCtrl15_D	0	v15ctrl	3	0	FALSE
277179	LDF5_Village_KillerCtrl16_D	0	v16ctrl	3	0	FALSE
277180	LDF5_Village_KillerCtrl17_D	0	v17ctrl	3	0	FALSE
277181	LDF5_Village_KillerCtrl18_D	0	v18ctrl	3	0	FALSE
277182	LDF5_Village_KillerCtrl19_D	0	v19ctrl	3	0	FALSE
277770	Gab1_Vritra_01	0	v01ctrl	1	0	FALSE
277774	Gab1_Vritra_05	0	v01ctrl	6	0	FALSE
277778	Gab1_Boss_Noshow_03	0	v01ctrl	11	0	FALSE
277782	Gab1_Msg_Noshow_03	0	v01ctrl	16	0	FALSE
281822	BLDF4_Dramata_SpawnCloseDoor	0	DRAMATA_ENTERABLE	2	0	FALSE
281822	BLDF4_Dramata_SpawnCloseDoor	1	LDF4_GHArtifactA	3	0	FALSE
281822	BLDF4_Dramata_SpawnCloseDoor	2	LDF4_GHArtifactB	3	0	FALSE
282625	IDRaksha_NoshowNPC_30	0	idraksha_dust2	1	0	FALSE
282955	LDF4b_Tiamat_Temp26	0	EnemySpawnL	0	1	FALSE
282956	LDF4b_Tiamat_Temp27	0	YunSpawnL	0	1	FALSE
282957	LDF4b_Tiamat_Temp28	0	DrakanSpawnL	0	1	FALSE
282966	LDF4b_Tiamat_Temp29	0	EnemySpawnD	0	1	FALSE
282967	LDF4b_Tiamat_Temp30	0	YunSpawnD	0	1	FALSE
282968	LDF4b_Tiamat_Temp31	0	DrakanSpawnD	0	1	FALSE
283146	IDTiamat_Temp1	0	KAHRUN_SPAWN	0	1	FALSE
283146	IDTiamat_Temp1	1	KAISINEL_SPAWN	0	1	FALSE
283147	IDTiamat_Temp2	0	KAHRUN_SPAWN	0	1	FALSE
283147	IDTiamat_Temp2	1	MARCHUTAN_SPAWN	0	1	FALSE
283148	IDTiamat_Temp3	0	TIAMAT_SPAWN	0	1	FALSE
283150	IDTiamat_Temp4	0	RELIC_SPAWN	0	1	FALSE
283152	IDTiamat_Temp5	0	ISRAPHEL_SPAWN	0	1	FALSE
283153	IDTiamat_Temp6	0	KAHRUN_TALK	0	1	FALSE
283153	IDTiamat_Temp6	1	IDTIAMAT_REAL_COLLISION	1	0	FALSE
283154	IDTiamat_Temp11	0	KAHRUN_SPAWN	0	1	FALSE
283161	IDTiamat_ARIANA_SORUS_Invisible	0	REWARDL_SPAWN	0	1	FALSE
283161	IDTiamat_ARIANA_SORUS_Invisible	1	ARIANASORUS_SPAWN	0	1	FALSE
284456	IDVritra_Base_Drakan_Guardian_Nmd_Gate	0	OBJ_GATE_SELECTION	1	0	FALSE
284458	Q_RuneSpawn_Noshow_1	0	Q_RuneSpawn_On	0	1	FALSE
284459	Q_Kahrun_Noshow_1	0	Q_KahrunSpawn_On	0	1	FALSE
284460	Q_VritraSoldierSpawn_Noshow_1	0	Q_VritraSpawn_On	0	1	FALSE
284701	IDVritra_Base_GameControl	0	GAMECONTROL	1	0	FALSE
284701	IDVritra_Base_GameControl	1	GATECONTROL_B1	1	0	FALSE
284701	IDVritra_Base_GameControl	2	GATECONTROL_B2	1	0	FALSE
284701	IDVritra_Base_GameControl	3	GATECONTROL_B3	1	0	FALSE
284701	IDVritra_Base_GameControl	4	GATECONTROL_B4	1	0	FALSE
284701	IDVritra_Base_GameControl	5	GATECONTROL_B5	1	0	FALSE
286931	Test_JM_Monster_6	0	condition_4	2	0	FALSE
286931	Test_JM_Monster_6	1	condition_5	2	0	FALSE
286936	Test_JM_NoAction_1	0	condition_type	1	0	FALSE
286955	Test_Monster_Jun01	0	v01	1	0	FALSE
286955	Test_Monster_Jun01	1	v02	1	0	FALSE
286955	Test_Monster_Jun01	2	v03	1	0	FALSE
286955	Test_Monster_Jun01	3	v04	1	0	FALSE
286955	Test_Monster_Jun01	4	v05	1	0	FALSE
286955	Test_Monster_Jun01	5	v06	1	0	FALSE
286955	Test_Monster_Jun01	6	v07	1	0	FALSE
286955	Test_Monster_Jun01	7	v08	1	0	FALSE
286955	Test_Monster_Jun01	8	v09	1	0	FALSE
286955	Test_Monster_Jun01	9	v10	1	0	FALSE
286955	Test_Monster_Jun01	10	v11	1	0	FALSE
286955	Test_Monster_Jun01	11	v12	1	0	FALSE
286955	Test_Monster_Jun01	12	v13	1	0	FALSE
286955	Test_Monster_Jun01	13	v14	1	0	FALSE
286955	Test_Monster_Jun01	14	v15	1	0	FALSE
286955	Test_Monster_Jun01	15	v16	1	0	FALSE
286955	Test_Monster_Jun01	16	v17	1	0	FALSE
286955	Test_Monster_Jun01	17	v18	1	0	FALSE
286955	Test_Monster_Jun01	18	v19	1	0	FALSE
287266	IDF4Re_Drana_Named_B	0	condition_type	1	0	FALSE
297569	Ab1_Castle_Deep_1011_Hire_Li_01	0	1011_Mercenary01	-1	0	FALSE
297569	Ab1_Castle_Deep_1011_Hire_Li_01	1	1011_Mercenary02	-1	0	FALSE
297569	Ab1_Castle_Deep_1011_Hire_Li_01	2	1011_Mercenary03	-1	0	FALSE
297569	Ab1_Castle_Deep_1011_Hire_Li_01	3	1011_Mercenary04	-1	0	FALSE
701116	IDStation_QuestChecker	0	questclear	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	0	C_Flag_1	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	1	C_Flag_2	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	2	C_Flag_3	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	3	C_Flag_4	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	4	C_Bridge	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	5	C_Defender_1	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	6	C_Defender_2	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	7	C_Defender_3	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	8	C_Defender_4	1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	9	C_Bridge_On	-1	0	FALSE
701642	IDF5_Under_01_Initial_NPC	10	cBox	1	0	FALSE
701801	LDF5b_6021_Teleport_Li	0	LDF5b_6021_Teleport_On	2	0	FALSE
701802	LDF5b_6021_Teleport_Da	0	LDF5b_6021_Teleport_On	3	0	FALSE
701803	LDF5b_6021_Teleport_Dr	0	LDF5b_6021_Teleport_On	1	0	FALSE
701918	IDKamar_Invisible_Flag_1	0	v01	1	0	FALSE
701919	IDKamar_Invisible_Flag_2	0	v02	1	0	FALSE
701920	IDKamar_Invisible_Flag_3	0	v03	1	0	FALSE
701921	IDKamar_Invisible_Flag_4	0	v04	1	0	FALSE
701997	IDLDF5_Under_01_War_Guard_07	0	Drakan	2	0	FALSE
701998	IDLDF5_Under_01_War_Guard_08	0	Drakan	2	0	FALSE
702005	IDLDF5_Under_01_War_MSG_05	0	SouthNorth	1	0	FALSE
702006	IDLDF5_Under_01_War_MSG_06	0	EastWest	1	0	FALSE
702007	IDLDF5_Under_01_War_MSG_07	0	Drakan	1	0	FALSE
702008	IDLDF5_Under_01_War_MSG_08	0	Drakan	1	0	FALSE
702054	IDF5_U1_War_01_NoShowNPC_Base01_05_1	0	RewardLight_1_3_05	1	0	FALSE
702055	IDF5_U1_War_01_NoShowNPC_Base01_05_2	0	RewardDark_1_3_05	1	0	FALSE
702056	IDF5_U1_War_01_NoShowNPC_Base01_05_3	0	RewardDrakan_1_3_05	1	0	FALSE
702057	IDF5_U1_War_01_NoShowNPC_Base01_05_4	0	RewardLight_1_2_05	1	0	FALSE
702058	IDF5_U1_War_01_NoShowNPC_Base01_05_5	0	RewardDark_1_2_05	1	0	FALSE
702059	IDF5_U1_War_01_NoShowNPC_Base01_05_6	0	RewardDrakan_1_2_05	1	0	FALSE
702060	IDF5_U1_War_01_NoShowNPC_Base01_10_1	0	RewardLight_1_4_10	1	0	FALSE
702061	IDF5_U1_War_01_NoShowNPC_Base01_10_2	0	RewardDark_1_4_10	1	0	FALSE
702062	IDF5_U1_War_01_NoShowNPC_Base01_10_3	0	RewardDrakan_1_4_10	1	0	FALSE
702063	IDF5_U1_War_01_NoShowNPC_Base01_10_4	0	RewardLight_1_1_10	1	0	FALSE
702064	IDF5_U1_War_01_NoShowNPC_Base01_10_5	0	RewardDark_1_1_10	1	0	FALSE
702065	IDF5_U1_War_01_NoShowNPC_Base01_10_6	0	RewardDrakan_1_1_10	1	0	FALSE
702066	IDF5_U1_War_01_NoShowNPC_Base01_10_7	0	RewardLight_1_3_10	1	0	FALSE
702067	IDF5_U1_War_01_NoShowNPC_Base01_10_8	0	RewardDark_1_3_10	1	0	FALSE
702068	IDF5_U1_War_01_NoShowNPC_Base01_10_9	0	RewardDrakan_1_3_10	1	0	FALSE
702069	IDF5_U1_War_01_NoShowNPC_Base01_10_10	0	RewardLight_1_2_10	1	0	FALSE
702070	IDF5_U1_War_01_NoShowNPC_Base01_10_11	0	RewardDark_1_2_10	1	0	FALSE
702071	IDF5_U1_War_01_NoShowNPC_Base01_10_12	0	RewardDrakan_1_2_10	1	0	FALSE
702072	IDF5_U1_War_01_NoShowNPC_Base01_15_1	0	RewardLight_1_4_15	1	0	FALSE
702073	IDF5_U1_War_01_NoShowNPC_Base01_15_2	0	RewardDark_1_4_15	1	0	FALSE
702074	IDF5_U1_War_01_NoShowNPC_Base01_15_3	0	RewardDrakan_1_4_15	1	0	FALSE
702075	IDF5_U1_War_01_NoShowNPC_Base01_15_4	0	RewardLight_1_1_15	1	0	FALSE
702076	IDF5_U1_War_01_NoShowNPC_Base01_15_5	0	RewardDark_1_1_15	1	0	FALSE
702077	IDF5_U1_War_01_NoShowNPC_Base01_15_6	0	RewardDrakan_1_1_15	1	0	FALSE
702078	IDF5_U1_War_01_NoShowNPC_Base01_15_7	0	RewardLight_1_3_15	1	0	FALSE
702079	IDF5_U1_War_01_NoShowNPC_Base01_15_8	0	RewardDark_1_3_15	1	0	FALSE
702080	IDF5_U1_War_01_NoShowNPC_Base01_15_9	0	RewardDrakan_1_3_15	1	0	FALSE
702081	IDF5_U1_War_01_NoShowNPC_Base01_15_10	0	RewardLight_1_2_15	1	0	FALSE
702082	IDF5_U1_War_01_NoShowNPC_Base01_15_11	0	RewardDark_1_2_15	1	0	FALSE
702083	IDF5_U1_War_01_NoShowNPC_Base01_15_12	0	RewardDrakan_1_2_15	1	0	FALSE
702263	IDF5_TD_Wave_01_Up	0	Wave_01_Boss	0	1	FALSE
702264	IDF5_TD_Wave_02_Up	0	Wave_02_Boss	0	1	FALSE
702265	IDF5_TD_Wave_03_Up	0	Wave_03_Boss	0	1	FALSE
702266	IDF5_TD_Wave_04_Up	0	Wave_04_Boss	0	1	FALSE
702270	IDF5_TD_Castle_gate_01_Bomb	0	castle_gate_01_Bomb	2	0	FALSE
702271	IDF5_TD_Castle_gate_02_Bomb	0	castle_gate_02_Bomb	2	0	FALSE
702272	IDF5_TD_Castle_gate_03_Bomb	0	castle_gate_03_Bomb	1	0	FALSE
702273	IDF5_TD_TimeWave_Down	0	TimeWave_Down	0	-1	FALSE
702340	Gab1_TurretSwitch_RideOn_01	0	Tur13	21	0	FALSE
702341	Gab1_TurretSwitch_RideOn_02	0	Tur14	21	0	FALSE
702342	Gab1_TurretSwitch_RideOn_03	0	Tur15	21	0	FALSE
702343	Gab1_TurretSwitch_RideOn_04	0	Tur16	21	0	FALSE
702344	Gab1_TurretSwitch_RideOn_05	0	Tur17	21	0	FALSE
702345	Gab1_TurretSwitch_RideOn_06	0	Tur18	21	0	FALSE
702369	Gab1_TurretSwitch_RideOn_07	0	Tur19	21	0	FALSE
702370	Gab1_TurretSwitch_RideOn_08	0	Tur20	21	0	FALSE
702371	Gab1_TurretSwitch_RideOn_09	0	Tur21	21	0	FALSE
702372	Gab1_TurretSwitch_RideOn_10	0	Tur22	21	0	FALSE
702373	Gab1_TurretSwitch_RideOn_11	0	Tur23	21	0	FALSE
702374	Gab1_TurretSwitch_RideOn_12	0	Tur24	21	0	FALSE
702375	Gab1_TurretSwitch_RideOn_13	0	Tur25	21	0	FALSE
702376	Gab1_TurretSwitch_RideOn_14	0	Tur26	21	0	FALSE
702377	Gab1_TurretSwitch_RideOn_15	0	Tur27	21	0	FALSE
702378	Gab1_TurretSwitch_RideOn_16	0	Tur28	21	0	FALSE
702379	Gab1_TurretSwitch_RideOn_17	0	Tur29	21	0	FALSE
702380	Gab1_TurretSwitch_RideOn_18	0	Tur30	21	0	FALSE
702381	Gab1_TurretSwitch_RideOn_19	0	Tur31	21	0	FALSE
702382	Gab1_TurretSwitch_RideOn_20	0	Tur32	21	0	FALSE
702383	Gab1_TurretSwitch_RideOn_21	0	Tur33	21	0	FALSE
702384	Gab1_TurretSwitch_RideOn_22	0	Tur34	21	0	FALSE
702385	Gab1_TurretSwitch_RideOn_23	0	Tur35	21	0	FALSE
702386	Gab1_TurretSwitch_RideOn_24	0	Tur36	21	0	FALSE
702419	Gab1_04_Guard_Noshow_01	0	v01	21	0	FALSE
702419	Gab1_04_Guard_Noshow_01	1	v02	21	0	FALSE
702419	Gab1_04_Guard_Noshow_01	2	v03	21	0	FALSE
702419	Gab1_04_Guard_Noshow_01	3	v04	21	0	FALSE
702419	Gab1_04_Guard_Noshow_01	4	v05	22	0	FALSE
702419	Gab1_04_Guard_Noshow_01	5	v06	22	0	FALSE
702419	Gab1_04_Guard_Noshow_01	6	v07	22	0	FALSE
702419	Gab1_04_Guard_Noshow_01	7	v08	22	0	FALSE
702419	Gab1_04_Guard_Noshow_01	8	v09	22	0	FALSE
702419	Gab1_04_Guard_Noshow_01	9	v10	22	0	FALSE
702419	Gab1_04_Guard_Noshow_01	10	v11	22	0	FALSE
702419	Gab1_04_Guard_Noshow_01	11	v12	22	0	FALSE
702611	LDF5_Fortress_Block_FOBJ_01	0	Li_Vil	1	0	FALSE
702612	LDF5_Fortress_Block_FOBJ_02	0	Da_Vil	1	0	FALSE
702613	LDF5_Fortress_GuardBase_01_Owner_L	0	Li_Vil	-1	0	FALSE
702614	LDF5_Fortress_GuardBase_01_Owner_D	0	Da_Vil	-1	0	FALSE
