band	step	timer	next_timer	delay_ms	label	skill_indices	npc_id	count	x	y	z	dir	live
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	470.6	518.7	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	474	519.7	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	477.3	520.7	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	480.1	521.5	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	483.9	523.8	417.4	0	0
51-75	10	6	7	18000	BreathR_75-51	3	283157	1	485.5	514.7	417.4	105	7
51-75	11	7	8	18000	BreathM_75-51	2	283156	1	458.5	514.7	417.4	0	7
51-75	12	8	0	18000	BreathL_75-51	1	283155	1	458.5	514.7	417.4	17	7
26-50	13	0	1	12000	BreathL_50-26	7,0	283236	1	445	550.7	417.4	0	7
26-50	14	1	2	12000	BreathM_50-26	9,0	283240	1	458.5	514.7	417.4	0	7
26-50	15	2	3	12000	BreathR_50-26	11,0	283244	1	454.1	474.9	417.4	105	7
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	459.4	510.2	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	463.5	509.5	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	468.3	508.7	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	473.6	507.8	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	478.8	506.9	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	484.2	505.9	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	489.6	505	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	470.8	506.1	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	473.5	505.3	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	476	504.5	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	479.1	503.3	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	482.1	502.2	417.4	0	0
26-50	16	3	4	2000	Thorn_L_50-26		283057	1	484.1	501.4	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	459.5	514.5	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	463.7	514.5	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	467.8	514.6	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	470.6	514.6	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	474.7	514.7	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	477.4	514.7	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	480.2	514.8	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	469.9	513.4	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	470	516.2	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	473.1	516.8	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	473.2	512.4	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	475.9	511.4	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	475.8	517.9	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	478.9	510.3	417.4	0	0
26-50	17	4	5	2000	Thorn_M_50-26		283057	1	478.8	519.2	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	461.6	517.5	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	466	519.2	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	469.8	520.7	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	472.7	521.8	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	475.5	523	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	478	523.9	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	479.8	524.6	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	467.2	517.7	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	470.6	518.7	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	474	519.7	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	477.3	520.7	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	480.1	521.5	417.4	0	0
26-50	18	5	6	2000	Thorn_R_50-26		283057	1	483.9	523.8	417.4	0	0
26-50	19	6	7	2000	Cyclops_50-26		283139	1	462.32	460.06	417.4	18	0
26-50	19	6	7	2000	Cyclops_50-26		283139	1	463.5	567.21	417.7	103	0
26-50	19	6	7	2000	Cyclops_50-26		283139	1	543.9	462.5	417.4	18	0
26-50	19	6	7	2000	Cyclops_50-26		283139	1	545.4	568.9	417.4	103	0
26-50	20	7	8	12000	BreathR_50-26	11,0	283244	1	454.1	474.9	417.4	105	7
26-50	21	8	9	12000	BreathM_50-26	9,0	283240	1	458.5	514.7	417.4	0	7
26-50	22	9	10	12000	BreathL_50-26	7,0	283236	1	445	550.7	417.4	0	7
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	461.6	517.5	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	466	519.2	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	469.8	520.7	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	472.7	521.8	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	475.5	523	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	478	523.9	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	479.8	524.6	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	467.2	517.7	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	470.6	518.7	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	474	519.7	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	477.3	520.7	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	480.1	521.5	417.4	0	0
26-50	23	10	11	2000	Thorn_R_50-26		283057	1	483.9	523.8	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	459.5	514.5	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	463.7	514.5	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	467.8	514.6	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	470.6	514.6	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	474.7	514.7	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	477.4	514.7	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	480.2	514.8	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	469.9	513.4	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	470	516.2	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	473.1	516.8	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	473.2	512.4	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	475.9	511.4	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	475.8	517.9	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	478.9	510.3	417.4	0	0
26-50	24	11	12	2000	Thorn_M_50-26		283057	1	478.8	519.2	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	459.4	510.2	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	463.5	509.5	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	468.3	508.7	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	473.6	507.8	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	478.8	506.9	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	484.2	505.9	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	489.6	505	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	470.8	506.1	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	473.5	505.3	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	476	504.5	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	479.1	503.3	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	482.1	502.2	417.4	0	0
26-50	25	12	13	2000	Thorn_L_50-26		283057	1	484.1	501.4	417.4	0	0
26-50	26	13	0	2000	Cyclops_50-26		283139	1	462.32	460.06	417.4	18	0
26-50	26	13	0	2000	Cyclops_50-26		283139	1	463.5	567.21	417.7	103	0
26-50	26	13	0	2000	Cyclops_50-26		283139	1	543.9	462.5	417.4	18	0
26-50	26	13	0	2000	Cyclops_50-26		283139	1	545.4	568.9	417.4	0	0
0-25	27	0	1	8000	BreathL_25-00	6,0	283234	1	445	550.7	417.4	0	7
0-25	28	1	2	12000	BreathM_25-00	8,0	283238	1	458.5	514.7	417.4	0	7
0-25	29	2	3	12000	BreathR_25-00	10,0	283242	1	454.1	474.9	417.4	105	7
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	459.4	510.2	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	463.5	509.5	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	468.3	508.7	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	473.6	507.8	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	478.8	506.9	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	484.2	505.9	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	489.6	505	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	470.8	506.1	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	473.5	505.3	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	476	504.5	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	479.1	503.3	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	482.1	502.2	417.4	0	0
0-25	30	3	4	2000	Thorn_L_25-00	0	283057	1	484.1	501.4	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	459.5	514.5	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	463.7	514.5	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	467.8	514.6	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	470.6	514.6	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	474.7	514.7	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	477.4	514.7	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	480.2	514.8	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	469.9	513.4	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	470	516.2	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	473.1	516.8	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	473.2	512.4	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	475.9	511.4	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	475.8	517.9	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	478.9	510.3	417.4	0	0
0-25	31	4	5	2000	Thorn_M_25-00	0	283057	1	478.8	519.2	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	461.6	517.5	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	466	519.2	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	469.8	520.7	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	472.7	521.8	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	475.5	523	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	478	523.9	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	479.8	524.6	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	467.2	517.7	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	470.6	518.7	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	474	519.7	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	477.3	520.7	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	480.1	521.5	417.4	0	0
0-25	32	5	6	2000	Thorn_R_25-00	0	283057	1	483.9	523.8	417.4	0	0
0-25	33	6	7	2000	Cyclops_25-00		283139	1	462.32	460.06	417.4	18	0
0-25	33	6	7	2000	Cyclops_25-00		283139	1	463.5	567.21	417.7	103	0
0-25	33	6	7	2000	Cyclops_25-00		283139	1	543.9	462.5	417.4	18	0
0-25	33	6	7	2000	Cyclops_25-00		283139	1	545.4	568.9	417.4	0	0
0-25	34	7	8	2000	Gravity_25-00		283141	1	543.9	462.5	417.4	18	120
0-25	34	7	8	2000	Gravity_25-00		283141	1	545.4	568.9	417.4	103	120
0-25	35	8	9	8000	BreathR_25-00	10,0	283242	1	454.1	474.9	417.4	105	7
0-25	36	9	10	8000	BreathM_25-00	8,0	283238	1	458.5	514.7	417.4	0	7
0-25	37	10	11	8000	BreathL_25-00	6,0	283234	1	445	550.7	417.4	0	7
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	461.6	517.5	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	466	519.2	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	469.8	520.7	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	472.7	521.8	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	475.5	523	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	478	523.9	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	479.8	524.6	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	467.2	517.7	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	470.6	518.7	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	474	519.7	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	477.3	520.7	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	480.1	521.5	417.4	0	0
0-25	38	11	12	2000	Thorn_R_25-00	0	283057	1	483.9	523.8	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	459.5	514.5	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	463.7	514.5	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	467.8	514.6	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	470.6	514.6	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	474.7	514.7	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	477.4	514.7	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	480.2	514.8	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	469.9	513.4	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	470	516.2	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	473.1	516.8	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	473.2	512.4	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	475.9	511.4	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	475.8	517.9	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	478.9	510.3	417.4	0	0
0-25	39	12	13	2000	Thorn_M_25-00	0	283057	1	478.8	519.2	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	459.4	510.2	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	463.5	509.5	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	468.3	508.7	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	473.6	507.8	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	478.8	506.9	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	484.2	505.9	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	489.6	505	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	470.8	506.1	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	473.5	505.3	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	476	504.5	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	479.1	503.3	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	482.1	502.2	417.4	0	0
0-25	40	13	14	2000	Thorn_L_25-00	0	283057	1	484.1	501.4	417.4	0	0
0-25	41	14	15	2000	Cyclops_25-00		283139	1	462.32	460.06	417.4	18	0
0-25	41	14	15	2000	Cyclops_25-00		283139	1	463.5	567.21	417.7	103	0
0-25	41	14	15	2000	Cyclops_25-00		283139	1	543.9	462.5	417.4	18	0
0-25	41	14	15	2000	Cyclops_25-00		283139	1	545.4	568.9	417.4	0	0
0-25	42	15	16	2000	Gravity_25-00		283141	1	543.9	462.5	417.4	18	120
0-25	42	15	16	2000	Gravity_25-00		283141	1	545.4	568.9	417.4	103	120
0-25	43	16	0	2000	Quake_25-00		283143	1	503.03	514.52	417.4	0	7
any	44	0	0	3000	Repeat_0			0					0
