npc_id	call	idle_points	busy_points	pattern
219831	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
219832	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
219833	23000	1	100	LDF5_LGuard_Safety_Hold_Rn
219834	23000	1	100	LDF5_LGuard_Safety_Hold_Rn
219835	23000	1	100	LDF5_LGuard_Safety_Hold_Rn
219836	23000	1	100	LDF5_LGuard_Safety_Hold_Rn
219837	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Kn
219838	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Kn
219839	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Kn
219840	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Kn
219841	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
219842	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
219843	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
219844	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
219845	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
219846	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
219847	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
219848	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
219849	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
219850	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
219851	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
219868	23200	1	100	F5_PvP_DGuard_Kn_Ae
219875	23200	1	100	F5_PvP_DGuard_Kn_Ae
219881	23200	1	100	F5_PvP_DGuard_Kn_Ae
219888	23200	1	100	F5_PvP_DGuard_Kn_Ae
219894	23200	1	100	F5_PvP_DGuard_Kn_Ae
219900	23200	1	100	F5_PvP_DGuard_Kn_Ae
219907	23200	1	100	F5_PvP_DGuard_Kn_Ae
219920	23200	1	100	F5_PvP_DGuard_Kn_Ae
220063	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
220064	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
220065	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
220066	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
220067	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
220068	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
220069	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
220070	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
220071	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
220072	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
220073	23200	1	100	F5_PvP_DGuard_Kn_Ae
220077	23200	1	100	F5_PvP_DGuard_Kn_Ae
220085	23200	1	100	F5_PvP_DGuard_Kn_Ae
220089	23200	1	100	F5_PvP_DGuard_Kn_Ae
220093	23200	1	100	F5_PvP_DGuard_Kn_Ae
220097	23200	1	100	F5_PvP_DGuard_Kn_Ae
220106	23100	1	100	F5_PvP_LGuard_Kn_Ae
220108	23100	1	100	F5_PvP_LGuard_Kn_Ae
220139	23100	1	100	F5_PvP_LGuard_Kn_Ae
220143	23100	1	100	F5_PvP_LGuard_Kn_Ae
220145	23100	1	100	F5_PvP_LGuard_Kn_Ae
220151	23200	1	100	F5_PvP_DGuard_Kn_Ae
220152	23200	1	100	F5_PvP_DGuard_Kn_Ae
220157	23200	1	100	F5_PvP_DGuard_Kn_Ae
220160	23200	1	100	F5_PvP_DGuard_Kn_Ae
220163	23200	1	100	F5_PvP_DGuard_Kn_Ae
220166	23200	1	100	F5_PvP_DGuard_Kn_Ae
220169	23200	1	100	F5_PvP_DGuard_Kn_Ae
220193	23200	1	100	F5_PvP_DGuard_Kn_Ae
220197	23200	1	100	F5_PvP_DGuard_Kn_Ae
220201	23200	1	100	F5_PvP_DGuard_Kn_Ae
220205	23200	1	100	F5_PvP_DGuard_Kn_Ae
220209	23200	1	100	F5_PvP_DGuard_Kn_Ae
220213	23200	1	100	F5_PvP_DGuard_Kn_Ae
220217	23200	1	100	F5_PvP_DGuard_Kn_Ae
220221	23200	1	100	F5_PvP_DGuard_Kn_Ae
220223	23100	1	100	F5_PvP_LGuard_Kn_Ae
220227	23100	1	100	F5_PvP_LGuard_Kn_Ae
220231	23100	1	100	F5_PvP_LGuard_Kn_Ae
220235	23100	1	100	F5_PvP_LGuard_Kn_Ae
220239	23100	1	100	F5_PvP_LGuard_Kn_Ae
220243	23100	1	100	F5_PvP_LGuard_Kn_Ae
220247	23100	1	100	F5_PvP_LGuard_Kn_Ae
220251	23100	1	100	F5_PvP_LGuard_Kn_Ae
232846	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
232852	23000	1	100	LDF5_LGuard_DisputeRvR_Defend_PM_Ke
232857	23100	1	100	F5_RvR_LGuard_Kn_Ae
232858	23100	1	100	F5_RvR_LGuard_Kn_Ae
233127	23100	1000	-1	IDF5_U2_Light_Wi_party_65_Ae
233128	23100	1000	-1	IDF5_U2_Light_Pr_party_65_Ae
233130	23200	1000	-1	IDF5_U2_Dark_Wi_party_65_Ae
233131	23200	1000	-1	IDF5_U2_Dark_Pr_party_65_Ae
234044	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Kn
234045	23100	1	100	F5_PvPLight_LGuard_Kn_An
234046	23200	1	100	F5_PvPLight_DGuard_Kn_An
234047	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
234050	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
234059	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Kn
234062	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
234068	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
234074	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Ke
234075	23100	1	100	F5_PvP_LGuard_Kn_Ae
234076	23200	1	100	F5_PvP_DGuard_Kn_Ae
234077	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
234080	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Re
234083	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
234086	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
234089	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Ke
234090	23100	1	100	F5_PvP_LGuard_Kn_Ae
234091	23200	1	100	F5_PvP_DGuard_Kn_Ae
234092	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
234095	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Re
234098	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
234101	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
234136	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
234139	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
234966	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
234967	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
235172	23100	1	100	F5_PvP_LGuard_Kn_Ae
235178	23100	1	100	F5_PvP_LGuard_Kn_Ae
235184	23100	1	100	F5_PvP_LGuard_Kn_Ae
235187	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
235190	23100	1	100	F5_PvP_LGuard_Kn_Ae
235193	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
235196	23200	1	100	F5_PvP_DGuard_Kn_Ae
235202	23200	1	100	F5_PvP_DGuard_Kn_Ae
235921	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
235922	23000	1	100	LDF5_LGuard_Safety_Hold_Rn
235923	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Kn
235924	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
235925	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
235926	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
235927	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
235928	23000	1	100	LDF5_LGuard_Safety_Hold_Rn
235929	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Kn
235930	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
235931	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
235932	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
235933	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
235934	23000	1	100	LDF5_LGuard_Safety_Hold_Rn
235935	23000	1	100	LDF5_LGuard_DisputePvP_Defend_PM_Kn
235936	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
235937	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
235938	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
236029	23100	1	100	F5_PvP_LGuard_Kn_Ae
236042	23100	1	100	F5_PvP_LGuard_Kn_Ae
236062	23100	1	100	F5_PvP_LGuard_Kn_Ae
236068	23100	1	100	F5_PvP_LGuard_Kn_Ae
236250	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
236253	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
236254	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
236256	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
236257	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
236261	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
236262	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
236264	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
236265	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
236673	23100	1	100	F5_PvP_LGuard_Kn_Ae
236677	23100	1	100	F5_PvP_LGuard_Kn_Ae
236681	23100	1	100	F5_PvP_LGuard_Kn_Ae
236685	23100	1	100	F5_PvP_LGuard_Kn_Ae
236689	23100	1	100	F5_PvP_LGuard_Kn_Ae
236693	23100	1	100	F5_PvP_LGuard_Kn_Ae
236697	23100	1	100	F5_PvP_LGuard_Kn_Ae
236701	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
236702	23000	1	100	LDF5_LGuard_Safety_Hold_Rn
236703	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
251086	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
251094	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
251097	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Re
251099	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
251102	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
251107	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
251110	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
251113	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Re
251115	23000	1	100	LDF5_LGuard_DisputePvP_Strike_PR_Ge
251118	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
251123	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
251126	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
251129	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Re
251151	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
251152	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251153	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
251154	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
251160	23000	1	100	AB1_DrGuard_Artifact_Killer
251179	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
251180	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251181	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
251182	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
251206	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
251207	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251208	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
251209	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
251233	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
251234	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251235	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
251260	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
251261	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251262	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
251263	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
251287	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
251288	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251289	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
251314	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
251315	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251316	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
251317	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
251450	23100	1	100	AB1_DrGuard_Artifact
251455	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
251456	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Re
251457	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
251461	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251467	23100	1	100	AB1_LDGuard_Artifact
251480	23100	1	100	AB1_LDGuard_Artifact
251493	23100	1	100	AB1_DrGuard_Artifact
251498	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
251499	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Re
251500	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
251504	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251510	23100	1	100	AB1_LDGuard_Artifact
251523	23100	1	100	AB1_LDGuard_Artifact
251536	23100	1	100	AB1_DrGuard_Artifact
251541	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
251542	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Re
251543	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
251547	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
251553	23100	1	100	AB1_LDGuard_Artifact
251566	23100	1	100	AB1_LDGuard_Artifact
251843	23100	1	100	F5_RvR_LGuard_Kn_Ae
251883	23100	1	100	F5_RvR_LGuard_Kn_Ae
251923	23200	1	100	F5_RvR_DGuard_Kn_Ae
251963	23200	1	100	F5_RvR_DGuard_Kn_Ae
252003	23000	1	100	LDF5_LGuard_DisputeRvR_Defend_PM_Ke
252008	23000	1	100	LDF5_LGuard_DisputeRvR_Charge_PM_Fe
252013	23000	1	100	LDF5_DisputeRvR_Watch_NoBroad_Ra
252018	23000	1	100	LDF5_DisputeRvR_Watch_NoBroad_Ra
252028	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Heal_Pe
252033	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Mez_We
252038	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Deform_Ee
252043	23000	1	100	LDF5_LGuard_DisputeRvR_Defend_PM_Ke
252048	23000	1	100	LDF5_LGuard_DisputeRvR_Charge_PM_Fe
252053	23000	1	100	LDF5_DisputeRvR_Watch_NoBroad_Ra
252058	23000	1	100	LDF5_DisputeRvR_Watch_NoBroad_Ra
252063	23000	1	100	LDF5_LGuard_DisputeRvR_Strike_PR_Ge
252068	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Heal_Pe
252073	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Mez_We
252078	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Deform_Ee
252083	23000	1	100	LDF5_LGuard_DisputeRvR_Strike_PR_Ge
252088	23000	1	100	LDF5_LGuard_DisputeRvR_Strike_PR_Ge
252181	23100	1	100	LDF5_Fortress_LDGuard_Artifact
252186	23100	1	100	LDF5_Fortress_LDGuard_Artifact
252191	23100	1	100	LDF5_Fortress_DrGuard_Artifact
252196	23100	1	100	LDF5_Fortress_LDGuard_Artifact
252201	23100	1	100	LDF5_Fortress_LDGuard_Artifact
252206	23100	1	100	LDF5_Fortress_DrGuard_Artifact
252211	23100	1	100	LDF5_Fortress_LDGuard_Artifact
252216	23100	1	100	LDF5_Fortress_LDGuard_Artifact
252221	23100	1	100	LDF5_Fortress_DrGuard_Artifact
252223	23100	1	100	F5_RvR_LGuard_Kn_Ae
252227	23200	1	100	F5_RvR_DGuard_Kn_Ae
252231	23000	1	100	LDF5_LGuard_DisputeRvR_Defend_PM_Ke
252232	23000	1	100	LDF5_DisputeRvR_Watch_NoBroad_Ra
252233	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Heal_Pe
252234	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Mez_We
252235	23100	1	100	F5_RvR_LGuard_Kn_Ae
252239	23200	1	100	F5_RvR_DGuard_Kn_Ae
252243	23000	1	100	LDF5_LGuard_DisputeRvR_Charge_PM_Fe
252244	23000	1	100	LDF5_DisputeRvR_Watch_NoBroad_Ra
252245	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Heal_Pe
252246	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Mez_We
252247	23100	1	100	F5_RvR_LGuard_Kn_Ae
252251	23200	1	100	F5_RvR_DGuard_Kn_Ae
252255	23000	1	100	LDF5_LGuard_DisputeRvR_Charge_PM_Fe
252256	23000	1	100	LDF5_DisputeRvR_Watch_NoBroad_Ra
252257	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Heal_Pe
252258	23000	1	100	LDF5_LGuard_DisputeRvR_Support_Mez_We
252272	23000	1	100	LDF5_LGuard_DisputeRvR_Charge_PM_Fe
252287	23000	1	100	LDF5_LGuard_DisputeRvR_Charge_PM_Fe
252431	23000	1	100	LDF5_Fortress_DrGuard_Artifact_Killer
252432	23000	1	100	LDF5_Fortress_DrGuard_Artifact_Killer
252433	23000	1	100	LDF5_Fortress_DrGuard_Artifact_Killer
252434	23100	1	100	AB1_LDGuard_Artifact
252439	23100	1	100	AB1_LDGuard_Artifact
252444	23100	1	100	AB1_DrGuard_Artifact
252449	23100	1	100	AB1_LDGuard_Artifact
252454	23100	1	100	AB1_LDGuard_Artifact
252459	23100	1	100	AB1_DrGuard_Artifact
252464	23100	1	100	AB1_LDGuard_Artifact
252469	23100	1	100	AB1_LDGuard_Artifact
252474	23100	1	100	AB1_DrGuard_Artifact
252479	23100	1	100	AB1_LDGuard_Artifact
252484	23100	1	100	AB1_LDGuard_Artifact
252489	23100	1	100	AB1_DrGuard_Artifact
256697	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
256700	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
256703	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
256706	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
256709	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
256712	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
256715	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
256718	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
256721	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
256724	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
256727	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
256730	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
256733	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
256736	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
256739	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
256742	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
257038	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
257044	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
257047	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
257056	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
257059	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
257062	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
257065	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
257068	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
257071	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pn
257102	23100	1	100	AB1_LDGuard_Artifact
257107	23100	1	100	AB1_LDGuard_Artifact
257112	23100	1	100	AB1_DrGuard_Artifact
257119	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
257122	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
257128	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
257131	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
257147	23100	1	100	AB1_LDGuard_Artifact
257152	23100	1	100	AB1_LDGuard_Artifact
257157	23100	1	100	AB1_DrGuard_Artifact
257164	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
257167	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
257173	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
257176	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
257332	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
257341	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
257344	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
257347	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
257353	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
257356	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
257359	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
257362	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
257365	23000	1	100	LDF5_LGuard_DisputePvP_Watch_PR_Rn
257368	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_Wn
257371	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pn
257402	23100	1	100	AB1_LDGuard_Artifact
257407	23100	1	100	AB1_LDGuard_Artifact
257412	23100	1	100	AB1_DrGuard_Artifact
257419	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
257422	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
257428	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
257431	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
257447	23100	1	100	AB1_LDGuard_Artifact
257452	23100	1	100	AB1_LDGuard_Artifact
257457	23100	1	100	AB1_DrGuard_Artifact
257464	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fe
257467	23000	1	100	LDF5_LGuard_DisputePvP_Hide_PM_Ae
257473	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pe
257476	23000	1	100	LDF5_LGuard_DisputePvP_Strike_MRArea_We
257529	23000	1	100	LDF5_LGuard_DisputePvP_Support_HBuff_Pn
257530	23000	1	100	LDF5_LGuard_DisputePvP_Charge_PM_Fn
