npc_id	first_ms	period_ms	range	pattern
234042	0	37000	20	LDF5_Fortress_MistOn_Vil_Chief04
234043	0	37000	20	LDF5_Fortress_MistOn_Vil_Chief04
234162	5000	5000	50	LDF4_Advance_village_19
234164	5000	5000	50	LDF4_Advance_village_01
234166	5000	5000	50	LDF4_Advance_village_10
234196	5000	5000	50	LDF4_Advance_village_03
234197	5000	5000	50	LDF4_Advance_village_06
234198	5000	5000	50	LDF4_Advance_village_08
234199	5000	5000	50	LDF4_Advance_village_17
234200	5000	5000	50	LDF4_Advance_village_20
234201	5000	5000	50	LDF4_Advance_village_03
234202	5000	5000	50	LDF4_Advance_village_06
234203	5000	5000	50	LDF4_Advance_village_08
234204	5000	5000	50	LDF4_Advance_village_17
234205	5000	5000	50	LDF4_Advance_village_20
234206	5000	5000	50	LDF4_Advance_village_12
234207	5000	5000	50	LDF4_Advance_village_15
234208	5000	5000	50	LDF4_Advance_village_09
234209	5000	5000	50	LDF4_Advance_village_18
234210	5000	5000	50	LDF4_Advance_village_21
234211	5000	5000	50	LDF4_Advance_village_12
234212	5000	5000	50	LDF4_Advance_village_15
234213	5000	5000	50	LDF4_Advance_village_09
234214	5000	5000	50	LDF4_Advance_village_18
234215	5000	5000	50	LDF4_Advance_village_21
234616	5000	5000	50	LDF4_Advance_village_02
234617	5000	5000	50	LDF4_Advance_village_04
234618	5000	5000	50	LDF4_Advance_village_05
234619	5000	5000	50	LDF4_Advance_village_07
234620	5000	5000	50	LDF4_Advance_village_11
234621	5000	5000	50	LDF4_Advance_village_13
234622	5000	5000	50	LDF4_Advance_village_14
234623	5000	5000	50	LDF4_Advance_village_16
234624	5000	5000	50	LDF4_Advance_village_02
234625	5000	5000	50	LDF4_Advance_village_04
234626	5000	5000	50	LDF4_Advance_village_05
234627	5000	5000	50	LDF4_Advance_village_07
234628	5000	5000	50	LDF4_Advance_village_11
234629	5000	5000	50	LDF4_Advance_village_13
234630	5000	5000	50	LDF4_Advance_village_14
234631	5000	5000	50	LDF4_Advance_village_16
234632	5000	5000	50	LDF4_Advance_village_02
234633	5000	5000	50	LDF4_Advance_village_04
234634	5000	5000	50	LDF4_Advance_village_05
234635	5000	5000	50	LDF4_Advance_village_07
234636	5000	5000	50	LDF4_Advance_village_11
234637	5000	5000	50	LDF4_Advance_village_13
234638	5000	5000	50	LDF4_Advance_village_14
234639	5000	5000	50	LDF4_Advance_village_16
234640	5000	5000	50	LDF4_Advance_village_01
234641	5000	5000	50	LDF4_Advance_village_10
234642	5000	5000	50	LDF4_Advance_village_19
234643	5000	5000	50	LDF4_Advance_village_01
234644	5000	5000	50	LDF4_Advance_village_10
234645	5000	5000	50	LDF4_Advance_village_19
235066	5000	5000	50	LDF4_Advance_village_02
235067	5000	5000	50	LDF4_Advance_village_03
235068	5000	5000	50	LDF4_Advance_village_04
235069	5000	5000	50	LDF4_Advance_village_05
235070	5000	5000	50	LDF4_Advance_village_06
235071	5000	5000	50	LDF4_Advance_village_07
235072	5000	5000	50	LDF4_Advance_village_08
235073	5000	5000	50	LDF4_Advance_village_09
235141	5000	5000	50	LDF4_Advance_village_12
235142	5000	5000	50	LDF4_Advance_village_10
235143	5000	5000	50	LDF4_Advance_village_11
235144	5000	5000	50	LDF4_Advance_village_01
235145	5000	5000	50	LDF4_Advance_village_13
235146	5000	5000	50	LDF4_Advance_village_14
235147	5000	5000	50	LDF4_Advance_village_15
235148	5000	5000	50	LDF4_Advance_village_16
235149	5000	5000	50	LDF4_Advance_village_17
235150	5000	5000	50	LDF4_Advance_village_18
235151	5000	5000	50	LDF4_Advance_village_19
235152	5000	5000	50	LDF4_Advance_village_20
235153	5000	5000	50	LDF4_Advance_village_21
235154	5000	5000	50	LDF4_Advance_village_22
235155	5000	5000	50	LDF4_Advance_village_23
235156	5000	5000	50	LDF4_Advance_village_24
235157	5000	5000	50	LDF4_Advance_village_25
235158	5000	5000	50	LDF4_Advance_village_13
235159	5000	5000	50	LDF4_Advance_village_26
235160	5000	5000	50	LDF4_Advance_village_27
235161	5000	5000	50	LDF4_Advance_village_28
235162	5000	5000	50	LDF4_Advance_village_29
235163	5000	5000	50	LDF4_Advance_village_30
235164	5000	5000	50	LDF4_Advance_village_31
235165	5000	5000	50	LDF4_Advance_village_32
235166	5000	5000	50	LDF4_Advance_village_33
235167	5000	5000	50	LDF4_Advance_village_34
235168	5000	5000	50	LDF4_Advance_village_35
235169	5000	5000	50	LDF4_Advance_village_36
235170	5000	5000	50	LDF4_Advance_village_37
235171	5000	5000	50	LDF4_Advance_village_13
246061	27500	28000	50	AB1_DrGuard_Artifact
246066	27500	28000	50	AB1_DrGuard_Artifact
251450	27500	28000	50	AB1_DrGuard_Artifact
251451	27500	28000	50	AB1_DrGuard_Artifact
251452	27500	28000	50	AB1_DrGuard_Artifact
251453	27500	28000	50	AB1_DrGuard_Artifact
251454	27500	28000	50	AB1_DrGuard_Artifact
251467	21500	22000	50	AB1_LDGuard_Artifact
251468	21500	22000	50	AB1_LDGuard_Artifact
251469	21500	22000	50	AB1_LDGuard_Artifact
251470	21500	22000	50	AB1_LDGuard_Artifact
251471	21500	22000	50	AB1_LDGuard_Artifact
251480	21500	22000	50	AB1_LDGuard_Artifact
251481	21500	22000	50	AB1_LDGuard_Artifact
251482	21500	22000	50	AB1_LDGuard_Artifact
251483	21500	22000	50	AB1_LDGuard_Artifact
251484	21500	22000	50	AB1_LDGuard_Artifact
251493	27500	28000	50	AB1_DrGuard_Artifact
251494	27500	28000	50	AB1_DrGuard_Artifact
251495	27500	28000	50	AB1_DrGuard_Artifact
251496	27500	28000	50	AB1_DrGuard_Artifact
251497	27500	28000	50	AB1_DrGuard_Artifact
251510	21500	22000	50	AB1_LDGuard_Artifact
251511	21500	22000	50	AB1_LDGuard_Artifact
251512	21500	22000	50	AB1_LDGuard_Artifact
251513	21500	22000	50	AB1_LDGuard_Artifact
251514	21500	22000	50	AB1_LDGuard_Artifact
251523	21500	22000	50	AB1_LDGuard_Artifact
251524	21500	22000	50	AB1_LDGuard_Artifact
251525	21500	22000	50	AB1_LDGuard_Artifact
251526	21500	22000	50	AB1_LDGuard_Artifact
251527	21500	22000	50	AB1_LDGuard_Artifact
251536	27500	28000	50	AB1_DrGuard_Artifact
251537	27500	28000	50	AB1_DrGuard_Artifact
251538	27500	28000	50	AB1_DrGuard_Artifact
251539	27500	28000	50	AB1_DrGuard_Artifact
251540	27500	28000	50	AB1_DrGuard_Artifact
251553	21500	22000	50	AB1_LDGuard_Artifact
251554	21500	22000	50	AB1_LDGuard_Artifact
251555	21500	22000	50	AB1_LDGuard_Artifact
251556	21500	22000	50	AB1_LDGuard_Artifact
251557	21500	22000	50	AB1_LDGuard_Artifact
251566	21500	22000	50	AB1_LDGuard_Artifact
251567	21500	22000	50	AB1_LDGuard_Artifact
251568	21500	22000	50	AB1_LDGuard_Artifact
251569	21500	22000	50	AB1_LDGuard_Artifact
251570	21500	22000	50	AB1_LDGuard_Artifact
251822	21500	22000	50	AB1_LDGuard_Artifact
251823	21500	22000	50	AB1_LDGuard_Artifact
251824	27500	28000	50	AB1_DrGuard_Artifact
252178	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252179	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252180	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252181	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252182	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252183	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252184	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252185	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252186	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252187	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252188	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252189	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252190	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252191	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252192	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252193	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252194	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252195	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252196	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252197	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252198	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252199	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252200	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252201	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252202	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252203	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252204	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252205	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252206	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252207	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252208	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252209	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252210	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252211	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252212	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252213	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252214	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252215	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252216	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252217	21500	22000	50	LDF5_Fortress_LDGuard_Artifact
252218	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252219	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252220	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252221	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252222	27500	28000	50	LDF5_Fortress_DrGuard_Artifact
252434	21500	22000	50	AB1_LDGuard_Artifact
252435	21500	22000	50	AB1_LDGuard_Artifact
252436	21500	22000	50	AB1_LDGuard_Artifact
252437	21500	22000	50	AB1_LDGuard_Artifact
252438	21500	22000	50	AB1_LDGuard_Artifact
252439	21500	22000	50	AB1_LDGuard_Artifact
252440	21500	22000	50	AB1_LDGuard_Artifact
252441	21500	22000	50	AB1_LDGuard_Artifact
252442	21500	22000	50	AB1_LDGuard_Artifact
252443	21500	22000	50	AB1_LDGuard_Artifact
252444	27500	28000	50	AB1_DrGuard_Artifact
252445	27500	28000	50	AB1_DrGuard_Artifact
252446	27500	28000	50	AB1_DrGuard_Artifact
252447	27500	28000	50	AB1_DrGuard_Artifact
252448	27500	28000	50	AB1_DrGuard_Artifact
252449	21500	22000	50	AB1_LDGuard_Artifact
252450	21500	22000	50	AB1_LDGuard_Artifact
252451	21500	22000	50	AB1_LDGuard_Artifact
252452	21500	22000	50	AB1_LDGuard_Artifact
252453	21500	22000	50	AB1_LDGuard_Artifact
252454	21500	22000	50	AB1_LDGuard_Artifact
252455	21500	22000	50	AB1_LDGuard_Artifact
252456	21500	22000	50	AB1_LDGuard_Artifact
252457	21500	22000	50	AB1_LDGuard_Artifact
252458	21500	22000	50	AB1_LDGuard_Artifact
252459	27500	28000	50	AB1_DrGuard_Artifact
252460	27500	28000	50	AB1_DrGuard_Artifact
252461	27500	28000	50	AB1_DrGuard_Artifact
252462	27500	28000	50	AB1_DrGuard_Artifact
252463	27500	28000	50	AB1_DrGuard_Artifact
252464	21500	22000	50	AB1_LDGuard_Artifact
252465	21500	22000	50	AB1_LDGuard_Artifact
252466	21500	22000	50	AB1_LDGuard_Artifact
252467	21500	22000	50	AB1_LDGuard_Artifact
252468	21500	22000	50	AB1_LDGuard_Artifact
252469	21500	22000	50	AB1_LDGuard_Artifact
252470	21500	22000	50	AB1_LDGuard_Artifact
252471	21500	22000	50	AB1_LDGuard_Artifact
252472	21500	22000	50	AB1_LDGuard_Artifact
252473	21500	22000	50	AB1_LDGuard_Artifact
252474	27500	28000	50	AB1_DrGuard_Artifact
252475	27500	28000	50	AB1_DrGuard_Artifact
252476	27500	28000	50	AB1_DrGuard_Artifact
252477	27500	28000	50	AB1_DrGuard_Artifact
252478	27500	28000	50	AB1_DrGuard_Artifact
252479	21500	22000	50	AB1_LDGuard_Artifact
252480	21500	22000	50	AB1_LDGuard_Artifact
252481	21500	22000	50	AB1_LDGuard_Artifact
252482	21500	22000	50	AB1_LDGuard_Artifact
252483	21500	22000	50	AB1_LDGuard_Artifact
252484	21500	22000	50	AB1_LDGuard_Artifact
252485	21500	22000	50	AB1_LDGuard_Artifact
252486	21500	22000	50	AB1_LDGuard_Artifact
252487	21500	22000	50	AB1_LDGuard_Artifact
252488	21500	22000	50	AB1_LDGuard_Artifact
252489	27500	28000	50	AB1_DrGuard_Artifact
252490	27500	28000	50	AB1_DrGuard_Artifact
252491	27500	28000	50	AB1_DrGuard_Artifact
252492	27500	28000	50	AB1_DrGuard_Artifact
252493	27500	28000	50	AB1_DrGuard_Artifact
257102	21500	22000	50	AB1_LDGuard_Artifact
257103	21500	22000	50	AB1_LDGuard_Artifact
257104	21500	22000	50	AB1_LDGuard_Artifact
257105	21500	22000	50	AB1_LDGuard_Artifact
257106	21500	22000	50	AB1_LDGuard_Artifact
257107	21500	22000	50	AB1_LDGuard_Artifact
257108	21500	22000	50	AB1_LDGuard_Artifact
257109	21500	22000	50	AB1_LDGuard_Artifact
257110	21500	22000	50	AB1_LDGuard_Artifact
257111	21500	22000	50	AB1_LDGuard_Artifact
257112	27500	28000	50	AB1_DrGuard_Artifact
257113	27500	28000	50	AB1_DrGuard_Artifact
257114	27500	28000	50	AB1_DrGuard_Artifact
257115	27500	28000	50	AB1_DrGuard_Artifact
257116	27500	28000	50	AB1_DrGuard_Artifact
257147	21500	22000	50	AB1_LDGuard_Artifact
257148	21500	22000	50	AB1_LDGuard_Artifact
257149	21500	22000	50	AB1_LDGuard_Artifact
257150	21500	22000	50	AB1_LDGuard_Artifact
257151	21500	22000	50	AB1_LDGuard_Artifact
257152	21500	22000	50	AB1_LDGuard_Artifact
257153	21500	22000	50	AB1_LDGuard_Artifact
257154	21500	22000	50	AB1_LDGuard_Artifact
257155	21500	22000	50	AB1_LDGuard_Artifact
257156	21500	22000	50	AB1_LDGuard_Artifact
257157	27500	28000	50	AB1_DrGuard_Artifact
257158	27500	28000	50	AB1_DrGuard_Artifact
257159	27500	28000	50	AB1_DrGuard_Artifact
257160	27500	28000	50	AB1_DrGuard_Artifact
257161	27500	28000	50	AB1_DrGuard_Artifact
257402	21500	22000	50	AB1_LDGuard_Artifact
257403	21500	22000	50	AB1_LDGuard_Artifact
257404	21500	22000	50	AB1_LDGuard_Artifact
257405	21500	22000	50	AB1_LDGuard_Artifact
257406	21500	22000	50	AB1_LDGuard_Artifact
257407	21500	22000	50	AB1_LDGuard_Artifact
257408	21500	22000	50	AB1_LDGuard_Artifact
257409	21500	22000	50	AB1_LDGuard_Artifact
257410	21500	22000	50	AB1_LDGuard_Artifact
257411	21500	22000	50	AB1_LDGuard_Artifact
257412	27500	28000	50	AB1_DrGuard_Artifact
257413	27500	28000	50	AB1_DrGuard_Artifact
257414	27500	28000	50	AB1_DrGuard_Artifact
257415	27500	28000	50	AB1_DrGuard_Artifact
257416	27500	28000	50	AB1_DrGuard_Artifact
257447	21500	22000	50	AB1_LDGuard_Artifact
257448	21500	22000	50	AB1_LDGuard_Artifact
257449	21500	22000	50	AB1_LDGuard_Artifact
257450	21500	22000	50	AB1_LDGuard_Artifact
257451	21500	22000	50	AB1_LDGuard_Artifact
257452	21500	22000	50	AB1_LDGuard_Artifact
257453	21500	22000	50	AB1_LDGuard_Artifact
257454	21500	22000	50	AB1_LDGuard_Artifact
257455	21500	22000	50	AB1_LDGuard_Artifact
257456	21500	22000	50	AB1_LDGuard_Artifact
257457	27500	28000	50	AB1_DrGuard_Artifact
257458	27500	28000	50	AB1_DrGuard_Artifact
257459	27500	28000	50	AB1_DrGuard_Artifact
257460	27500	28000	50	AB1_DrGuard_Artifact
257461	27500	28000	50	AB1_DrGuard_Artifact
257702	21500	22000	50	AB1_LDGuard_Artifact
257703	21500	22000	50	AB1_LDGuard_Artifact
257704	21500	22000	50	AB1_LDGuard_Artifact
257705	21500	22000	50	AB1_LDGuard_Artifact
257706	21500	22000	50	AB1_LDGuard_Artifact
257707	21500	22000	50	AB1_LDGuard_Artifact
257708	21500	22000	50	AB1_LDGuard_Artifact
257709	21500	22000	50	AB1_LDGuard_Artifact
257710	21500	22000	50	AB1_LDGuard_Artifact
257711	21500	22000	50	AB1_LDGuard_Artifact
257712	27500	28000	50	AB1_DrGuard_Artifact
257713	27500	28000	50	AB1_DrGuard_Artifact
257714	27500	28000	50	AB1_DrGuard_Artifact
257715	27500	28000	50	AB1_DrGuard_Artifact
257716	27500	28000	50	AB1_DrGuard_Artifact
257747	21500	22000	50	AB1_LDGuard_Artifact
257748	21500	22000	50	AB1_LDGuard_Artifact
257749	21500	22000	50	AB1_LDGuard_Artifact
257750	21500	22000	50	AB1_LDGuard_Artifact
257751	21500	22000	50	AB1_LDGuard_Artifact
257752	21500	22000	50	AB1_LDGuard_Artifact
257753	21500	22000	50	AB1_LDGuard_Artifact
257754	21500	22000	50	AB1_LDGuard_Artifact
257755	21500	22000	50	AB1_LDGuard_Artifact
257756	21500	22000	50	AB1_LDGuard_Artifact
257757	27500	28000	50	AB1_DrGuard_Artifact
257758	27500	28000	50	AB1_DrGuard_Artifact
257759	27500	28000	50	AB1_DrGuard_Artifact
257760	27500	28000	50	AB1_DrGuard_Artifact
257761	27500	28000	50	AB1_DrGuard_Artifact
258002	21500	22000	50	AB1_LDGuard_Artifact
258003	21500	22000	50	AB1_LDGuard_Artifact
258004	21500	22000	50	AB1_LDGuard_Artifact
258005	21500	22000	50	AB1_LDGuard_Artifact
258006	21500	22000	50	AB1_LDGuard_Artifact
258007	21500	22000	50	AB1_LDGuard_Artifact
258008	21500	22000	50	AB1_LDGuard_Artifact
258009	21500	22000	50	AB1_LDGuard_Artifact
258010	21500	22000	50	AB1_LDGuard_Artifact
258011	21500	22000	50	AB1_LDGuard_Artifact
258012	27500	28000	50	AB1_DrGuard_Artifact
258013	27500	28000	50	AB1_DrGuard_Artifact
258014	27500	28000	50	AB1_DrGuard_Artifact
258015	27500	28000	50	AB1_DrGuard_Artifact
258016	27500	28000	50	AB1_DrGuard_Artifact
258047	21500	22000	50	AB1_LDGuard_Artifact
258048	21500	22000	50	AB1_LDGuard_Artifact
258049	21500	22000	50	AB1_LDGuard_Artifact
258050	21500	22000	50	AB1_LDGuard_Artifact
258051	21500	22000	50	AB1_LDGuard_Artifact
258052	21500	22000	50	AB1_LDGuard_Artifact
258053	21500	22000	50	AB1_LDGuard_Artifact
258054	21500	22000	50	AB1_LDGuard_Artifact
258055	21500	22000	50	AB1_LDGuard_Artifact
258056	21500	22000	50	AB1_LDGuard_Artifact
258057	27500	28000	50	AB1_DrGuard_Artifact
258058	27500	28000	50	AB1_DrGuard_Artifact
258059	27500	28000	50	AB1_DrGuard_Artifact
258060	27500	28000	50	AB1_DrGuard_Artifact
258061	27500	28000	50	AB1_DrGuard_Artifact
260301	21500	22000	50	AB1_LDGuard_Artifact
260302	21500	22000	50	AB1_LDGuard_Artifact
260303	21500	22000	50	AB1_LDGuard_Artifact
260304	21500	22000	50	AB1_LDGuard_Artifact
260305	21500	22000	50	AB1_LDGuard_Artifact
260306	21500	22000	50	AB1_LDGuard_Artifact
260307	21500	22000	50	AB1_LDGuard_Artifact
260308	21500	22000	50	AB1_LDGuard_Artifact
260309	21500	22000	50	AB1_LDGuard_Artifact
260310	21500	22000	50	AB1_LDGuard_Artifact
260311	27500	28000	50	AB1_DrGuard_Artifact
260312	27500	28000	50	AB1_DrGuard_Artifact
260313	27500	28000	50	AB1_DrGuard_Artifact
260314	27500	28000	50	AB1_DrGuard_Artifact
260315	27500	28000	50	AB1_DrGuard_Artifact
260601	21500	22000	50	AB1_LDGuard_Artifact
260602	21500	22000	50	AB1_LDGuard_Artifact
260603	21500	22000	50	AB1_LDGuard_Artifact
260604	21500	22000	50	AB1_LDGuard_Artifact
260605	21500	22000	50	AB1_LDGuard_Artifact
260606	21500	22000	50	AB1_LDGuard_Artifact
260607	21500	22000	50	AB1_LDGuard_Artifact
260608	21500	22000	50	AB1_LDGuard_Artifact
260609	21500	22000	50	AB1_LDGuard_Artifact
260610	21500	22000	50	AB1_LDGuard_Artifact
260611	27500	28000	50	AB1_DrGuard_Artifact
260612	27500	28000	50	AB1_DrGuard_Artifact
260613	27500	28000	50	AB1_DrGuard_Artifact
260614	27500	28000	50	AB1_DrGuard_Artifact
260615	27500	28000	50	AB1_DrGuard_Artifact
260901	21500	22000	50	AB1_LDGuard_Artifact
260902	21500	22000	50	AB1_LDGuard_Artifact
260903	21500	22000	50	AB1_LDGuard_Artifact
260904	21500	22000	50	AB1_LDGuard_Artifact
260905	21500	22000	50	AB1_LDGuard_Artifact
260906	21500	22000	50	AB1_LDGuard_Artifact
260907	21500	22000	50	AB1_LDGuard_Artifact
260908	21500	22000	50	AB1_LDGuard_Artifact
260909	21500	22000	50	AB1_LDGuard_Artifact
260910	21500	22000	50	AB1_LDGuard_Artifact
260911	27500	28000	50	AB1_DrGuard_Artifact
260912	27500	28000	50	AB1_DrGuard_Artifact
260913	27500	28000	50	AB1_DrGuard_Artifact
260914	27500	28000	50	AB1_DrGuard_Artifact
260915	27500	28000	50	AB1_DrGuard_Artifact
261201	21500	22000	50	AB1_LDGuard_Artifact
261202	21500	22000	50	AB1_LDGuard_Artifact
261203	21500	22000	50	AB1_LDGuard_Artifact
261204	21500	22000	50	AB1_LDGuard_Artifact
261205	21500	22000	50	AB1_LDGuard_Artifact
261206	21500	22000	50	AB1_LDGuard_Artifact
261207	21500	22000	50	AB1_LDGuard_Artifact
261208	21500	22000	50	AB1_LDGuard_Artifact
261209	21500	22000	50	AB1_LDGuard_Artifact
261210	21500	22000	50	AB1_LDGuard_Artifact
261211	27500	28000	50	AB1_DrGuard_Artifact
261212	27500	28000	50	AB1_DrGuard_Artifact
261213	27500	28000	50	AB1_DrGuard_Artifact
261214	27500	28000	50	AB1_DrGuard_Artifact
261215	27500	28000	50	AB1_DrGuard_Artifact
261501	21500	22000	50	AB1_LDGuard_Artifact
261502	21500	22000	50	AB1_LDGuard_Artifact
261503	21500	22000	50	AB1_LDGuard_Artifact
261504	21500	22000	50	AB1_LDGuard_Artifact
261505	21500	22000	50	AB1_LDGuard_Artifact
261506	21500	22000	50	AB1_LDGuard_Artifact
261507	21500	22000	50	AB1_LDGuard_Artifact
261508	21500	22000	50	AB1_LDGuard_Artifact
261509	21500	22000	50	AB1_LDGuard_Artifact
261510	21500	22000	50	AB1_LDGuard_Artifact
261511	27500	28000	50	AB1_DrGuard_Artifact
261512	27500	28000	50	AB1_DrGuard_Artifact
261513	27500	28000	50	AB1_DrGuard_Artifact
261514	27500	28000	50	AB1_DrGuard_Artifact
261515	27500	28000	50	AB1_DrGuard_Artifact
261801	21500	22000	50	AB1_LDGuard_Artifact
261802	21500	22000	50	AB1_LDGuard_Artifact
261803	21500	22000	50	AB1_LDGuard_Artifact
261804	21500	22000	50	AB1_LDGuard_Artifact
261805	21500	22000	50	AB1_LDGuard_Artifact
261806	21500	22000	50	AB1_LDGuard_Artifact
261807	21500	22000	50	AB1_LDGuard_Artifact
261808	21500	22000	50	AB1_LDGuard_Artifact
261809	21500	22000	50	AB1_LDGuard_Artifact
261810	21500	22000	50	AB1_LDGuard_Artifact
261811	27500	28000	50	AB1_DrGuard_Artifact
261812	27500	28000	50	AB1_DrGuard_Artifact
261813	27500	28000	50	AB1_DrGuard_Artifact
261814	27500	28000	50	AB1_DrGuard_Artifact
261815	27500	28000	50	AB1_DrGuard_Artifact
262101	21500	22000	50	AB1_LDGuard_Artifact
262102	21500	22000	50	AB1_LDGuard_Artifact
262103	21500	22000	50	AB1_LDGuard_Artifact
262104	21500	22000	50	AB1_LDGuard_Artifact
262105	21500	22000	50	AB1_LDGuard_Artifact
262106	21500	22000	50	AB1_LDGuard_Artifact
262107	21500	22000	50	AB1_LDGuard_Artifact
262108	21500	22000	50	AB1_LDGuard_Artifact
262109	21500	22000	50	AB1_LDGuard_Artifact
262110	21500	22000	50	AB1_LDGuard_Artifact
262111	27500	28000	50	AB1_DrGuard_Artifact
262112	27500	28000	50	AB1_DrGuard_Artifact
262113	27500	28000	50	AB1_DrGuard_Artifact
262114	27500	28000	50	AB1_DrGuard_Artifact
262115	27500	28000	50	AB1_DrGuard_Artifact
