npc_id	range	pattern
234035	50	LDF5_Village_chief02
234036	50	LDF5_Village_chief02
234037	50	LDF5_Village_chief02
234038	50	LDF5_Fortress_MistOn_Vil_Chief03
234039	50	LDF5_Fortress_MistOn_Vil_Chief03
234040	50	LDF5_Fortress_MistOn_Vil_Chief03
234041	50	LDF5_Fortress_MistOn_Vil_Chief04
234042	50	LDF5_Fortress_MistOn_Vil_Chief04
234043	50	LDF5_Fortress_MistOn_Vil_Chief04
251467	50	AB1_LDGuard_Artifact
251468	50	AB1_LDGuard_Artifact
251469	50	AB1_LDGuard_Artifact
251470	50	AB1_LDGuard_Artifact
251471	50	AB1_LDGuard_Artifact
251480	50	AB1_LDGuard_Artifact
251481	50	AB1_LDGuard_Artifact
251482	50	AB1_LDGuard_Artifact
251483	50	AB1_LDGuard_Artifact
251484	50	AB1_LDGuard_Artifact
251510	50	AB1_LDGuard_Artifact
251511	50	AB1_LDGuard_Artifact
251512	50	AB1_LDGuard_Artifact
251513	50	AB1_LDGuard_Artifact
251514	50	AB1_LDGuard_Artifact
251523	50	AB1_LDGuard_Artifact
251524	50	AB1_LDGuard_Artifact
251525	50	AB1_LDGuard_Artifact
251526	50	AB1_LDGuard_Artifact
251527	50	AB1_LDGuard_Artifact
251553	50	AB1_LDGuard_Artifact
251554	50	AB1_LDGuard_Artifact
251555	50	AB1_LDGuard_Artifact
251556	50	AB1_LDGuard_Artifact
251557	50	AB1_LDGuard_Artifact
251566	50	AB1_LDGuard_Artifact
251567	50	AB1_LDGuard_Artifact
251568	50	AB1_LDGuard_Artifact
251569	50	AB1_LDGuard_Artifact
251570	50	AB1_LDGuard_Artifact
251822	50	AB1_LDGuard_Artifact
251823	50	AB1_LDGuard_Artifact
252178	50	LDF5_Fortress_LDGuard_Artifact
252179	50	LDF5_Fortress_LDGuard_Artifact
252180	50	LDF5_Fortress_LDGuard_Artifact
252181	50	LDF5_Fortress_LDGuard_Artifact
252182	50	LDF5_Fortress_LDGuard_Artifact
252183	50	LDF5_Fortress_LDGuard_Artifact
252184	50	LDF5_Fortress_LDGuard_Artifact
252185	50	LDF5_Fortress_LDGuard_Artifact
252186	50	LDF5_Fortress_LDGuard_Artifact
252187	50	LDF5_Fortress_LDGuard_Artifact
252193	50	LDF5_Fortress_LDGuard_Artifact
252194	50	LDF5_Fortress_LDGuard_Artifact
252195	50	LDF5_Fortress_LDGuard_Artifact
252196	50	LDF5_Fortress_LDGuard_Artifact
252197	50	LDF5_Fortress_LDGuard_Artifact
252198	50	LDF5_Fortress_LDGuard_Artifact
252199	50	LDF5_Fortress_LDGuard_Artifact
252200	50	LDF5_Fortress_LDGuard_Artifact
252201	50	LDF5_Fortress_LDGuard_Artifact
252202	50	LDF5_Fortress_LDGuard_Artifact
252208	50	LDF5_Fortress_LDGuard_Artifact
252209	50	LDF5_Fortress_LDGuard_Artifact
252210	50	LDF5_Fortress_LDGuard_Artifact
252211	50	LDF5_Fortress_LDGuard_Artifact
252212	50	LDF5_Fortress_LDGuard_Artifact
252213	50	LDF5_Fortress_LDGuard_Artifact
252214	50	LDF5_Fortress_LDGuard_Artifact
252215	50	LDF5_Fortress_LDGuard_Artifact
252216	50	LDF5_Fortress_LDGuard_Artifact
252217	50	LDF5_Fortress_LDGuard_Artifact
252434	50	AB1_LDGuard_Artifact
252435	50	AB1_LDGuard_Artifact
252436	50	AB1_LDGuard_Artifact
252437	50	AB1_LDGuard_Artifact
252438	50	AB1_LDGuard_Artifact
252439	50	AB1_LDGuard_Artifact
252440	50	AB1_LDGuard_Artifact
252441	50	AB1_LDGuard_Artifact
252442	50	AB1_LDGuard_Artifact
252443	50	AB1_LDGuard_Artifact
252449	50	AB1_LDGuard_Artifact
252450	50	AB1_LDGuard_Artifact
252451	50	AB1_LDGuard_Artifact
252452	50	AB1_LDGuard_Artifact
252453	50	AB1_LDGuard_Artifact
252454	50	AB1_LDGuard_Artifact
252455	50	AB1_LDGuard_Artifact
252456	50	AB1_LDGuard_Artifact
252457	50	AB1_LDGuard_Artifact
252458	50	AB1_LDGuard_Artifact
252464	50	AB1_LDGuard_Artifact
252465	50	AB1_LDGuard_Artifact
252466	50	AB1_LDGuard_Artifact
252467	50	AB1_LDGuard_Artifact
252468	50	AB1_LDGuard_Artifact
252469	50	AB1_LDGuard_Artifact
252470	50	AB1_LDGuard_Artifact
252471	50	AB1_LDGuard_Artifact
252472	50	AB1_LDGuard_Artifact
252473	50	AB1_LDGuard_Artifact
252479	50	AB1_LDGuard_Artifact
252480	50	AB1_LDGuard_Artifact
252481	50	AB1_LDGuard_Artifact
252482	50	AB1_LDGuard_Artifact
252483	50	AB1_LDGuard_Artifact
252484	50	AB1_LDGuard_Artifact
252485	50	AB1_LDGuard_Artifact
252486	50	AB1_LDGuard_Artifact
252487	50	AB1_LDGuard_Artifact
252488	50	AB1_LDGuard_Artifact
257102	50	AB1_LDGuard_Artifact
257103	50	AB1_LDGuard_Artifact
257104	50	AB1_LDGuard_Artifact
257105	50	AB1_LDGuard_Artifact
257106	50	AB1_LDGuard_Artifact
257107	50	AB1_LDGuard_Artifact
257108	50	AB1_LDGuard_Artifact
257109	50	AB1_LDGuard_Artifact
257110	50	AB1_LDGuard_Artifact
257111	50	AB1_LDGuard_Artifact
257147	50	AB1_LDGuard_Artifact
257148	50	AB1_LDGuard_Artifact
257149	50	AB1_LDGuard_Artifact
257150	50	AB1_LDGuard_Artifact
257151	50	AB1_LDGuard_Artifact
257152	50	AB1_LDGuard_Artifact
257153	50	AB1_LDGuard_Artifact
257154	50	AB1_LDGuard_Artifact
257155	50	AB1_LDGuard_Artifact
257156	50	AB1_LDGuard_Artifact
257402	50	AB1_LDGuard_Artifact
257403	50	AB1_LDGuard_Artifact
257404	50	AB1_LDGuard_Artifact
257405	50	AB1_LDGuard_Artifact
257406	50	AB1_LDGuard_Artifact
257407	50	AB1_LDGuard_Artifact
257408	50	AB1_LDGuard_Artifact
257409	50	AB1_LDGuard_Artifact
257410	50	AB1_LDGuard_Artifact
257411	50	AB1_LDGuard_Artifact
257447	50	AB1_LDGuard_Artifact
257448	50	AB1_LDGuard_Artifact
257449	50	AB1_LDGuard_Artifact
257450	50	AB1_LDGuard_Artifact
257451	50	AB1_LDGuard_Artifact
257452	50	AB1_LDGuard_Artifact
257453	50	AB1_LDGuard_Artifact
257454	50	AB1_LDGuard_Artifact
257455	50	AB1_LDGuard_Artifact
257456	50	AB1_LDGuard_Artifact
257702	50	AB1_LDGuard_Artifact
257703	50	AB1_LDGuard_Artifact
257704	50	AB1_LDGuard_Artifact
257705	50	AB1_LDGuard_Artifact
257706	50	AB1_LDGuard_Artifact
257707	50	AB1_LDGuard_Artifact
257708	50	AB1_LDGuard_Artifact
257709	50	AB1_LDGuard_Artifact
257710	50	AB1_LDGuard_Artifact
257711	50	AB1_LDGuard_Artifact
257747	50	AB1_LDGuard_Artifact
257748	50	AB1_LDGuard_Artifact
257749	50	AB1_LDGuard_Artifact
257750	50	AB1_LDGuard_Artifact
257751	50	AB1_LDGuard_Artifact
257752	50	AB1_LDGuard_Artifact
257753	50	AB1_LDGuard_Artifact
257754	50	AB1_LDGuard_Artifact
257755	50	AB1_LDGuard_Artifact
257756	50	AB1_LDGuard_Artifact
258002	50	AB1_LDGuard_Artifact
258003	50	AB1_LDGuard_Artifact
258004	50	AB1_LDGuard_Artifact
258005	50	AB1_LDGuard_Artifact
258006	50	AB1_LDGuard_Artifact
258007	50	AB1_LDGuard_Artifact
258008	50	AB1_LDGuard_Artifact
258009	50	AB1_LDGuard_Artifact
258010	50	AB1_LDGuard_Artifact
258011	50	AB1_LDGuard_Artifact
258047	50	AB1_LDGuard_Artifact
258048	50	AB1_LDGuard_Artifact
258049	50	AB1_LDGuard_Artifact
258050	50	AB1_LDGuard_Artifact
258051	50	AB1_LDGuard_Artifact
258052	50	AB1_LDGuard_Artifact
258053	50	AB1_LDGuard_Artifact
258054	50	AB1_LDGuard_Artifact
258055	50	AB1_LDGuard_Artifact
258056	50	AB1_LDGuard_Artifact
260301	50	AB1_LDGuard_Artifact
260302	50	AB1_LDGuard_Artifact
260303	50	AB1_LDGuard_Artifact
260304	50	AB1_LDGuard_Artifact
260305	50	AB1_LDGuard_Artifact
260306	50	AB1_LDGuard_Artifact
260307	50	AB1_LDGuard_Artifact
260308	50	AB1_LDGuard_Artifact
260309	50	AB1_LDGuard_Artifact
260310	50	AB1_LDGuard_Artifact
260601	50	AB1_LDGuard_Artifact
260602	50	AB1_LDGuard_Artifact
260603	50	AB1_LDGuard_Artifact
260604	50	AB1_LDGuard_Artifact
260605	50	AB1_LDGuard_Artifact
260606	50	AB1_LDGuard_Artifact
260607	50	AB1_LDGuard_Artifact
260608	50	AB1_LDGuard_Artifact
260609	50	AB1_LDGuard_Artifact
260610	50	AB1_LDGuard_Artifact
260901	50	AB1_LDGuard_Artifact
260902	50	AB1_LDGuard_Artifact
260903	50	AB1_LDGuard_Artifact
260904	50	AB1_LDGuard_Artifact
260905	50	AB1_LDGuard_Artifact
260906	50	AB1_LDGuard_Artifact
260907	50	AB1_LDGuard_Artifact
260908	50	AB1_LDGuard_Artifact
260909	50	AB1_LDGuard_Artifact
260910	50	AB1_LDGuard_Artifact
261201	50	AB1_LDGuard_Artifact
261202	50	AB1_LDGuard_Artifact
261203	50	AB1_LDGuard_Artifact
261204	50	AB1_LDGuard_Artifact
261205	50	AB1_LDGuard_Artifact
261206	50	AB1_LDGuard_Artifact
261207	50	AB1_LDGuard_Artifact
261208	50	AB1_LDGuard_Artifact
261209	50	AB1_LDGuard_Artifact
261210	50	AB1_LDGuard_Artifact
261501	50	AB1_LDGuard_Artifact
261502	50	AB1_LDGuard_Artifact
261503	50	AB1_LDGuard_Artifact
261504	50	AB1_LDGuard_Artifact
261505	50	AB1_LDGuard_Artifact
261506	50	AB1_LDGuard_Artifact
261507	50	AB1_LDGuard_Artifact
261508	50	AB1_LDGuard_Artifact
261509	50	AB1_LDGuard_Artifact
261510	50	AB1_LDGuard_Artifact
261801	50	AB1_LDGuard_Artifact
261802	50	AB1_LDGuard_Artifact
261803	50	AB1_LDGuard_Artifact
261804	50	AB1_LDGuard_Artifact
261805	50	AB1_LDGuard_Artifact
261806	50	AB1_LDGuard_Artifact
261807	50	AB1_LDGuard_Artifact
261808	50	AB1_LDGuard_Artifact
261809	50	AB1_LDGuard_Artifact
261810	50	AB1_LDGuard_Artifact
262101	50	AB1_LDGuard_Artifact
262102	50	AB1_LDGuard_Artifact
262103	50	AB1_LDGuard_Artifact
262104	50	AB1_LDGuard_Artifact
262105	50	AB1_LDGuard_Artifact
262106	50	AB1_LDGuard_Artifact
262107	50	AB1_LDGuard_Artifact
262108	50	AB1_LDGuard_Artifact
262109	50	AB1_LDGuard_Artifact
262110	50	AB1_LDGuard_Artifact
262401	50	AB1_LDGuard_Artifact
262402	50	AB1_LDGuard_Artifact
262403	50	AB1_LDGuard_Artifact
262404	50	AB1_LDGuard_Artifact
262405	50	AB1_LDGuard_Artifact
262406	50	AB1_LDGuard_Artifact
262407	50	AB1_LDGuard_Artifact
262408	50	AB1_LDGuard_Artifact
262409	50	AB1_LDGuard_Artifact
262410	50	AB1_LDGuard_Artifact
262701	50	AB1_LDGuard_Artifact
262702	50	AB1_LDGuard_Artifact
262703	50	AB1_LDGuard_Artifact
262704	50	AB1_LDGuard_Artifact
262705	50	AB1_LDGuard_Artifact
262706	50	AB1_LDGuard_Artifact
262707	50	AB1_LDGuard_Artifact
262708	50	AB1_LDGuard_Artifact
262709	50	AB1_LDGuard_Artifact
262710	50	AB1_LDGuard_Artifact
268101	50	AB1_LDGuard_Artifact
268102	50	AB1_LDGuard_Artifact
268103	50	AB1_LDGuard_Artifact
268104	50	AB1_LDGuard_Artifact
268105	50	AB1_LDGuard_Artifact
268106	50	AB1_LDGuard_Artifact
268107	50	AB1_LDGuard_Artifact
268108	50	AB1_LDGuard_Artifact
268109	50	AB1_LDGuard_Artifact
268110	50	AB1_LDGuard_Artifact
268401	50	AB1_LDGuard_Artifact
268402	50	AB1_LDGuard_Artifact
268403	50	AB1_LDGuard_Artifact
268404	50	AB1_LDGuard_Artifact
268405	50	AB1_LDGuard_Artifact
268406	50	AB1_LDGuard_Artifact
268407	50	AB1_LDGuard_Artifact
268408	50	AB1_LDGuard_Artifact
268409	50	AB1_LDGuard_Artifact
268410	50	AB1_LDGuard_Artifact
268701	50	AB1_LDGuard_Artifact
268702	50	AB1_LDGuard_Artifact
268703	50	AB1_LDGuard_Artifact
268704	50	AB1_LDGuard_Artifact
268705	50	AB1_LDGuard_Artifact
268706	50	AB1_LDGuard_Artifact
268707	50	AB1_LDGuard_Artifact
268708	50	AB1_LDGuard_Artifact
268709	50	AB1_LDGuard_Artifact
268710	50	AB1_LDGuard_Artifact
269301	50	AB1_LDGuard_Artifact
269302	50	AB1_LDGuard_Artifact
269303	50	AB1_LDGuard_Artifact
269304	50	AB1_LDGuard_Artifact
269305	50	AB1_LDGuard_Artifact
269306	50	AB1_LDGuard_Artifact
269307	50	AB1_LDGuard_Artifact
269308	50	AB1_LDGuard_Artifact
269309	50	AB1_LDGuard_Artifact
269310	50	AB1_LDGuard_Artifact
269601	50	AB1_LDGuard_Artifact
269602	50	AB1_LDGuard_Artifact
269603	50	AB1_LDGuard_Artifact
269604	50	AB1_LDGuard_Artifact
269605	50	AB1_LDGuard_Artifact
269606	50	AB1_LDGuard_Artifact
269607	50	AB1_LDGuard_Artifact
269608	50	AB1_LDGuard_Artifact
269609	50	AB1_LDGuard_Artifact
269610	50	AB1_LDGuard_Artifact
270201	50	AB1_LDGuard_Artifact
270202	50	AB1_LDGuard_Artifact
270203	50	AB1_LDGuard_Artifact
270204	50	AB1_LDGuard_Artifact
270205	50	AB1_LDGuard_Artifact
270206	50	AB1_LDGuard_Artifact
270207	50	AB1_LDGuard_Artifact
270208	50	AB1_LDGuard_Artifact
270209	50	AB1_LDGuard_Artifact
270210	50	AB1_LDGuard_Artifact
270501	50	AB1_LDGuard_Artifact
270502	50	AB1_LDGuard_Artifact
270503	50	AB1_LDGuard_Artifact
270504	50	AB1_LDGuard_Artifact
270505	50	AB1_LDGuard_Artifact
270506	50	AB1_LDGuard_Artifact
270507	50	AB1_LDGuard_Artifact
270508	50	AB1_LDGuard_Artifact
270509	50	AB1_LDGuard_Artifact
270510	50	AB1_LDGuard_Artifact
277069	50	LDF5_Village_chief01
277070	50	LDF5_Village_chief01
277071	50	LDF5_Village_chief01
277072	50	LDF5_Village_chief02
277073	50	LDF5_Village_chief02
277074	50	LDF5_Village_chief02
277075	50	LDF5_Village_chief03
277076	50	LDF5_Village_chief03
277077	50	LDF5_Village_chief03
277078	50	LDF5_Village_chief04
277079	50	LDF5_Village_chief04
277080	50	LDF5_Village_chief04
277081	50	LDF5_Village_chief05
277082	50	LDF5_Village_chief05
277083	50	LDF5_Village_chief05
277084	50	LDF5_Village_chief06
277085	50	LDF5_Village_chief06
277086	50	LDF5_Village_chief06
277087	50	LDF5_Village_chief07
277088	50	LDF5_Village_chief07
277089	50	LDF5_Village_chief07
277090	50	LDF5_Village_chief08
277091	50	LDF5_Village_chief08
277092	50	LDF5_Village_chief08
277093	50	LDF5_Village_chief09
277094	50	LDF5_Village_chief09
277095	50	LDF5_Village_chief09
277096	50	LDF5_Village_chief10
277097	50	LDF5_Village_chief10
277098	50	LDF5_Village_chief10
277099	50	LDF5_Village_chief11
277100	50	LDF5_Village_chief11
277101	50	LDF5_Village_chief11
277102	50	LDF5_Village_chief12
277103	50	LDF5_Village_chief12
277104	50	LDF5_Village_chief12
277105	50	LDF5_Village_chief13
277106	50	LDF5_Village_chief13
277107	50	LDF5_Village_chief13
277108	50	LDF5_Village_chief14
277109	50	LDF5_Village_chief14
277110	50	LDF5_Village_chief14
277111	50	LDF5_Village_chief15
277112	50	LDF5_Village_chief15
277113	50	LDF5_Village_chief15
277114	50	LDF5_Village_chief16
277115	50	LDF5_Village_chief16
277116	50	LDF5_Village_chief16
277117	50	LDF5_Village_chief17
277118	50	LDF5_Village_chief17
277119	50	LDF5_Village_chief17
277120	50	LDF5_Village_chief18
277121	50	LDF5_Village_chief18
277122	50	LDF5_Village_chief18
277123	50	LDF5_Village_chief19
277124	50	LDF5_Village_chief19
277125	50	LDF5_Village_chief19
297158	50	AB1_LDGuard_Artifact
297159	50	AB1_LDGuard_Artifact
297203	50	AB1_LDGuard_Artifact
297204	50	AB1_LDGuard_Artifact
297516	50	LDF5_Fortress_LDGuard_Artifact
297517	50	LDF5_Fortress_LDGuard_Artifact
